Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Arema - Persik Kediri 0:3,Indonesia. Liga 1,2025-05-11,GK,102,3,0.9,4,1,0,1,1,1,11,11,3,2,1
Persis Solo - Arema 0:1,Indonesia. Liga 1,2025-05-05,GK,100,0,0.59,4,4,1,5,4,3,10,9,18,0,18
Arema - Persebaya Surabaya 1:1,Indonesia. Liga 1,2025-04-28,GK,98,1,1.53,6,5,3,1,10,6,14,13,4,2,2
Arema - Madura United 0:1,Indonesia. Liga 1,2025-04-24,GK,99,1,0.35,3,2,1,3,5,2,14,14,3,1,2
Persita - Arema 3:2,Indonesia. Liga 1,2025-04-20,GK,102,3,1.99,7,4,0,0,2,2,12,12,4,2,2
Arema - Barito Putera 4:2,Indonesia. Liga 1,2025-03-13,GK,102,2,0.32,3,1,1,2,7,4,4,4,9,2,7
Persija - Arema 1:3,Indonesia. Liga 1,2025-03-09,GK,108,1,0.54,2,1,1,1,0,0,8,8,2,2,0
Malut United FC - Arema 2:1,Indonesia. Liga 1,2025-03-04,GK,96,2,1.5,5,3,1,1,0,0,12,12,8,5,3
Arema - PSS Sleman 6:2,Indonesia. Liga 1,2025-02-17,GK,96,1,0.1,2,1,1,0,1,1,3,3,9,2,7
Arema - PSM 1:1,Indonesia. Liga 1,2025-02-10,GK,104,1,0.78,2,1,0,1,2,2,15,15,5,2,3
Arema - Bali United 1:0,Indonesia. Liga 1,2025-02-03,GK,101,0,0.43,1,1,1,1,3,2,9,9,9,1,8
Arema - Persib 1:3,Indonesia. Liga 1,2025-01-24,GK,101,3,1.54,4,1,1,2,2,0,20,20,4,3,1
Borneo FC - Arema 3:1,Indonesia. Liga 1,2025-01-19,GK,96,3,2.03,9,6,3,1,7,3,12,11,13,3,10
Dewa United - Arema 2:0,Indonesia. Liga 1,2025-01-11,GK,98,2,1.58,4,2,0,1,4,1,20,20,8,6,2
Semen Padang - Arema 1:2,Indonesia. Liga 1,2024-12-27,GK,104,1,1.43,3,2,2,1,3,1,17,17,19,3,16
Arema - PSBS Biak Numfor 3:2,Indonesia. Liga 1,2024-12-21,GK,106,2,1.77,5,3,2,3,8,6,9,8,5,0,5
Persik Kediri - Arema 1:0,Indonesia. Liga 1,2024-12-16,GK,100,1,2.41,5,4,2,4,13,6,5,3,8,0,8
Arema - Persis Solo 1:1,Indonesia. Liga 1,2024-12-12,GK,101,1,1.89,4,3,2,3,11,9,5,5,8,3,5
Persebaya Surabaya - Arema 3:2,Indonesia. Liga 1,2024-12-07,GK,103,3,1.85,5,2,0,1,2,0,13,13,3,1,2
Arema - Persita 3:0,Indonesia. Liga 1,2024-12-03,GK,100,0,1.04,4,4,2,3,5,3,6,6,10,0,10
Madura United - Arema 2:4,Indonesia. Liga 1,2024-11-21,GK,105,2,1.46,7,5,1,4,7,5,12,12,11,0,11
Barito Putera - Arema 1:3,Indonesia. Liga 1,2024-11-01,GK,103,1,1.19,5,4,3,2,9,5,11,11,10,2,8
Arema - Persija 1:2,Indonesia. Liga 1,2024-10-26,GK,99,2,1.94,6,4,2,1,6,3,16,16,6,3,3
Arema - Malut United FC 3:1,Indonesia. Liga 1,2024-10-19,GK,101,1,1.52,4,3,3,1,7,4,22,22,8,6,2
PSIS Semarang - Arema 1:2,Indonesia. Liga 1,2024-09-26,GK,108,1,0.81,1,0,0,0,3,2,7,7,1,1,0
PSS Sleman - Arema 3:1,Indonesia. Liga 1,2024-09-20,GK,101,3,2.23,5,2,1,0,1,1,11,11,4,2,2
PSM - Arema 0:1,Indonesia. Liga 1,2024-09-15,GK,101,0,1.39,3,3,3,7,4,2,6,6,7,0,7
Persib - Arema 1:1,Indonesia. Liga 1,2024-08-25,GK,103,1,1.0,5,4,2,5,5,4,8,7,13,2,11
Arema - Borneo FC 0:2,Indonesia. Liga 1,2024-08-17,GK,97,2,0.72,5,3,2,2,5,4,9,7,6,2,4
Arema - Dewa United 0:0,Indonesia. Liga 1,2024-08-12,GK,101,0,0.31,3,3,3,0,6,2,4,3,13,6,6
