Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persija - Bali United 3:0,Indonesia. Liga 1,2025-05-10,GK,101,3,2.56,5,2,2,1,3,2,2,2,4,4,0
Bali United - PSIS Semarang 4:0,Indonesia. Liga 1,2025-05-01,GK,100,0,1.22,2,2,2,2,1,0,7,7,9,6,3
PSM - Bali United 0:1,Indonesia. Liga 1,2025-04-25,GK,106,0,0.46,4,4,4,7,5,3,3,3,15,7,8
Bali United - Dewa United 0:0,Indonesia. Liga 1,2025-04-10,GK,101,0,1.05,4,4,4,1,5,3,4,4,6,5,1
Bali United - PSBS Biak Numfor 0:2,Indonesia. Liga 1,2025-03-11,GK,97,2,2.46,8,6,2,2,5,2,10,10,2,1,1
Persis Solo - Bali United 2:2,Indonesia. Liga 1,2025-03-06,GK,104,2,1.83,5,3,0,2,5,2,2,2,10,7,3
Bali United - Persita 1:1,Indonesia. Liga 1,2025-03-02,GK,102,1,1.77,3,2,2,2,3,2,7,7,6,5,1
Barito Putera - Bali United 3:1,Indonesia. Liga 1,2025-02-24,GK,105,3,0.85,3,0,0,1,2,1,3,3,4,4,0
Bali United - Malut United FC 1:1,Indonesia. Liga 1,2025-02-17,GK,92,1,0.18,4,3,1,0,1,0,6,6,5,2,3
PSS Sleman - Bali United 1:2,Indonesia. Liga 1,2025-02-09,GK,101,1,0.77,2,1,0,1,5,1,1,1,13,4,9
Arema - Bali United 1:0,Indonesia. Liga 1,2025-02-03,GK,101,1,0.96,4,3,2,2,4,1,9,9,6,6,0
Bali United - Borneo FC 3:2,Indonesia. Liga 1,2025-01-28,GK,100,2,1.16,5,3,1,0,3,2,2,2,9,6,3
Semen Padang - Bali United 1:5,Indonesia. Liga 1,2025-01-20,GK,103,1,1.85,4,3,3,2,0,0,4,4,7,5,2
Bali United - Persik Kediri 1:3,Indonesia. Liga 1,2025-01-12,GK,103,3,2.16,6,3,3,0,3,1,8,8,10,9,1
Bali United - Persib 1:1,Indonesia. Liga 1,2025-01-07,GK,105,1,1.01,4,3,1,2,3,3,2,2,10,6,4
Bali United - Persebaya Surabaya 2:0,Indonesia. Liga 1,2024-12-28,GK,96,0,1.56,6,6,3,0,4,3,10,10,6,2,4
Madura United - Bali United 2:1,Indonesia. Liga 1,2024-12-20,GK,99,2,2.55,5,3,3,2,5,2,3,3,6,3,3
Bali United - Persija 3:1,Indonesia. Liga 1,2024-12-15,GK,110,1,0.77,1,0,0,4,6,4,2,2,8,3,5
PSIS Semarang - Bali United 2:1,Indonesia. Liga 1,2024-12-11,GK,103,2,2.01,4,2,2,5,1,1,5,5,6,3,3
Bali United - PSM 1:1,Indonesia. Liga 1,2024-12-07,GK,101,1,1.78,6,5,2,3,3,0,3,3,5,3,2
Dewa United - Bali United 1:0,Indonesia. Liga 1,2024-11-23,GK,99,1,0.88,3,2,2,2,2,1,6,6,9,7,2
PSBS Biak Numfor - Bali United 2:0,Indonesia. Liga 1,2024-11-03,GK,97,2,2.43,6,4,4,0,3,1,4,3,10,10,0
Bali United - Persis Solo 3:0,Indonesia. Liga 1,2024-10-27,GK,97,0,0.79,7,7,1,1,5,2,6,6,12,9,3
Persita - Bali United 0:1,Indonesia. Liga 1,2024-10-20,GK,101,0,0.26,1,1,1,1,0,0,7,7,10,8,2
Bali United - Barito Putera 3:2,Indonesia. Liga 1,2024-09-27,GK,108,2,1.08,4,2,2,1,1,1,5,5,14,10,4
Malut United FC - Bali United 1:4,Indonesia. Liga 1,2024-09-21,GK,107,1,1.67,6,5,2,1,5,3,5,5,2,2,0
Persik Kediri - Bali United 1:3,Indonesia. Liga 1,2024-08-11,GK,105,1,0.14,1,0,0,3,5,2,1,1,9,3,6
Bali United - Madura United 2:3,Indonesia. Piala Presiden,2024-07-24,GK,112,3,3.43,8,5,4,2,3,1,8,8,7,3,4
Bali United - Arema 0:1,Indonesia. Piala Presiden,2024-07-21,GK,104,1,1.36,4,3,2,2,8,5,7,7,6,5,1
Borneo FC - Bali United 4:2,Indonesia. Liga 1,2024-05-30,GK,105,4,4.27,8,4,3,1,6,6,10,10,2,2,0
Bali United - Borneo FC 0:0,Indonesia. Liga 1,2024-05-25,GK,112,0,0.05,1,1,1,2,5,3,2,2,10,5,5
Persib - Bali United 3:0,Indonesia. Liga 1,2024-05-18,GK,59,2,1.21,4,2,0,0,2,1,6,6,4,4,0
Bali United - Persib 1:1,Indonesia. Liga 1,2024-05-14,GK,113,1,2.89,6,5,5,1,2,1,9,9,7,3,4
Persebaya Surabaya - Bali United 0:2,Indonesia. Liga 1,2024-04-24,GK,98,0,0.04,2,2,1,2,1,0,6,5,5,3,2
Bali United - Bhayangkara F.C. 2:1,Indonesia. Liga 1,2024-04-20,GK,97,1,0.84,4,3,1,0,2,2,4,4,5,1,4
Persikabo 1973 - Bali United 3:2,Indonesia. Liga 1,2024-04-15,GK,99,3,1.66,4,1,1,1,4,4,8,8,6,6,0
Bali United - Persija 1:0,Indonesia. Liga 1,2024-03-30,GK,102,0,1.78,5,5,5,1,2,2,8,8,4,2,2
Rans Nusantara - Bali United 1:1,Indonesia. Liga 1,2024-03-17,GK,98,1,0.39,3,2,2,2,2,1,6,6,11,7,4
Bali United - PSIS Semarang 2:0,Indonesia. Liga 1,2024-03-08,GK,98,0,1.62,7,7,5,1,5,2,2,2,10,3,7
Barito Putera - Bali United 4:3,Indonesia. Liga 1,2024-03-04,GK,101,4,3.14,7,3,2,1,7,3,2,2,9,6,3
Bali United - Persis Solo 3:2,Indonesia. Liga 1,2024-02-29,GK,100,2,2.18,6,4,3,3,1,1,6,6,8,5,3
PSM - Bali United 0:0,Indonesia. Liga 1,2024-02-24,GK,98,0,0.47,4,4,0,2,2,1,5,5,13,10,3
Persik Kediri - Bali United 1:0,Indonesia. Liga 1,2024-02-05,GK,99,1,2.85,9,8,2,6,4,3,9,8,4,1,3
Ha Noi - Bali United 1:1 (P),World. Club Friendlies,2024-01-27,GK,47,0,0.59,3,3,2,3,4,3,1,1,2,0,2
Bali United - Persib 0:0,Indonesia. Liga 1,2023-12-18,GK,102,0,0.43,2,2,1,1,3,2,4,4,12,9,3
Dewa United - Bali United 1:1,Indonesia. Liga 1,2023-12-08,GK,95,1,1.5,7,6,1,2,4,1,5,5,7,7,0
Bali United - Arema 3:2,Indonesia. Liga 1,2023-12-04,GK,100,2,1.88,6,4,3,0,8,3,8,7,12,7,5
Bali United - Stallion 5:2,Asia. AFC Champions League Two,2023-11-29,GK,72,0,0.0,0,0,0,1,2,2,4,4,6,6,0
Madura United - Bali United 1:2,Indonesia. Liga 1,2023-11-23,GK,102,1,1.26,5,4,2,2,5,2,6,6,17,5,12
Bali United - Borneo FC 1:2,Indonesia. Liga 1,2023-11-12,GK,98,2,3.09,6,4,3,1,10,3,7,7,11,5,6
Bali United - Central Coast Mariners 1:2,Asia. AFC Champions League Two,2023-11-08,GK,101,2,1.15,2,0,0,2,2,0,5,5,5,5,0
PSS Sleman - Bali United 0:1,Indonesia. Liga 1,2023-11-03,GK,104,0,1.37,4,4,4,4,7,3,4,4,8,3,5
Bali United - Persita 3:0,Indonesia. Liga 1,2023-10-30,GK,98,0,1.12,4,4,3,1,5,2,8,8,8,5,3
Central Coast Mariners - Bali United 6:3,Asia. AFC Champions League Two,2023-10-26,GK,101,6,4.51,8,2,2,0,6,5,9,9,13,9,4
Bali United - Persebaya Surabaya 3:1,Indonesia. Liga 1,2023-10-20,GK,96,1,1.1,4,3,1,2,3,3,2,2,11,4,7
Bhayangkara F.C. - Bali United 1:2,Indonesia. Liga 1,2023-10-08,GK,99,1,0.99,3,2,1,1,6,4,10,10,11,4,7
Bali United - Terengganu 1:1,Asia. AFC Champions League Two,2023-10-04,GK,97,1,1.39,6,5,2,1,3,2,5,5,12,8,4
Bali United - Persikabo 1973 2:0,Indonesia. Liga 1,2023-09-29,GK,101,0,0.09,5,5,0,2,3,2,6,6,7,7,0
Persija - Bali United 1:1,Indonesia. Liga 1,2023-09-24,GK,98,1,0.68,7,6,1,1,4,1,2,2,15,5,10
Stallion - Bali United 2:5,Asia. AFC Champions League Two,2023-09-20,GK,100,2,2.42,7,5,2,3,6,3,6,6,15,11,4
Bali United - Rans Nusantara 1:2,Indonesia. Liga 1,2023-09-15,GK,99,2,2.84,9,7,5,2,2,1,7,7,4,2,2
PSIS Semarang - Bali United 2:1,Indonesia. Liga 1,2023-09-02,GK,97,2,0.39,5,3,0,2,5,3,8,7,7,5,2
Bali United - Barito Putera 2:1,Indonesia. Liga 1,2023-08-27,GK,99,1,2.89,7,6,4,6,4,1,8,8,7,2,5
Persis Solo - Bali United 3:1,Indonesia. Liga 1,2023-08-19,GK,100,3,1.74,4,1,0,3,4,3,2,2,7,1,6
Warriors - Bali United 5:1,Asia. AFC Champions League Elite,2023-08-16,GK,96,5,3.33,10,5,3,0,2,1,9,9,7,3,4
