Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persib - Barito Putera 1:1,Indonesia. Liga 1,2025-05-09,GK,105,1,0.48,5,4,2,4,5,3,5,5,12,5,7
Barito Putera - Dewa United 1:1,Indonesia. Liga 1,2025-05-02,GK,103,1,0.39,4,3,2,3,2,1,5,4,11,5,6
Arema - Barito Putera 4:2,Indonesia. Liga 1,2025-03-13,GK,102,4,2.91,8,4,2,2,6,4,5,5,6,3,3
Barito Putera - Malut United FC 1:1,Indonesia. Liga 1,2025-03-08,GK,103,1,0.47,2,1,0,2,0,0,9,9,6,6,0
PSS Sleman - Barito Putera 1:2,Indonesia. Liga 1,2025-03-03,GK,100,1,0.44,3,2,2,0,9,5,3,1,10,4,6
Barito Putera - Bali United 3:1,Indonesia. Liga 1,2025-02-24,GK,105,1,1.16,3,2,0,2,9,6,5,5,12,5,7
Barito Putera - Persib 1:2,Indonesia. Liga 1,2024-12-18,GK,89,1,1.44,5,4,4,1,8,3,7,7,5,3,2
Persis Solo - Barito Putera 0:0,Indonesia. Liga 1,2024-12-03,GK,98,0,0.21,1,1,1,0,4,1,1,1,5,4,1
Barito Putera - Bhayangkara F.C. 1:5,Indonesia. Liga 1,2024-04-25,GK,100,5,1.65,8,3,2,0,3,1,14,14,6,6,0
Barito Putera - Persija 2:2,Indonesia. Liga 1,2024-04-21,GK,98,2,0.89,4,2,2,0,3,2,11,11,11,5,6
Rans Nusantara - Barito Putera 1:1,Indonesia. Liga 1,2024-04-17,GK,97,1,1.52,6,5,3,2,1,1,11,10,8,1,7
Barito Putera - PSIS Semarang 0:0,Indonesia. Liga 1,2024-03-29,GK,97,0,0.05,2,2,1,1,2,0,10,10,13,8,5
Barito Putera - PSM 3:1,Indonesia. Liga 1,2024-03-15,GK,97,1,0.99,9,8,1,1,8,3,7,7,11,2,9
Dewa United - Barito Putera 2:2,Indonesia. Liga 1,2024-02-06,GK,21,0,1.8,3,3,2,1,1,0,3,2,2,1,1
Arema - Barito Putera 1:0,Indonesia. Liga 1,2023-02-18,GK,95,1,1.57,4,3,2,3,4,3,6,6,9,4,5
Barito Putera - Rans Nusantara 4:1,Indonesia. Liga 1,2023-02-14,GK,96,1,2.65,7,6,4,1,2,2,8,7,7,5,2
PSM - Barito Putera 4:1,Indonesia. Liga 1,2023-02-09,GK,48,3,2.33,7,4,3,0,2,2,1,1,5,1,4
Barito Putera - Persikabo 1973 1:1,Indonesia. Liga 1,2022-12-17,GK,96,1,0.28,3,2,1,1,1,1,11,11,5,3,2
Persis Solo - Barito Putera 0:0,Indonesia. Liga 1,2022-12-14,GK,97,0,0.0,1,1,0,1,3,2,2,2,8,0,8
Barito Putera - Dewa United 0:0,Indonesia. Liga 1,2022-12-11,GK,95,0,0.19,3,3,2,1,7,4,7,6,13,1,12
Persebaya Surabaya - Barito Putera 3:2,Indonesia. Liga 1,2022-12-06,GK,98,3,0.56,3,0,0,1,8,4,2,1,7,2,5
Barito Putera - Persik Kediri 2:2,Indonesia. Liga 1,2022-09-29,GK,101,2,2.05,5,3,2,0,6,3,21,21,2,2,0
Persib - Barito Putera 5:2,Indonesia. Liga 1,2022-09-16,GK,49,1,0.52,3,2,1,0,3,1,6,6,4,2,2
Barito Putera - Arema 1:1,Indonesia. Liga 1,2022-09-04,GK,99,1,1.12,4,3,1,3,6,2,3,3,9,3,6
Rans Nusantara - Barito Putera 2:1,Indonesia. Liga 1,2022-08-29,GK,102,2,1.79,4,2,0,1,6,4,9,9,9,5,4
