Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
PSBS Biak Numfor - Barito Putera 2:1,Indonesia. Liga 1,2025-04-26,GK,102,2,1.04,3,1,0,1,4,2,5,4,8,4,4
Barito Putera - Persis Solo 0:1,Indonesia. Liga 1,2025-04-19,GK,103,1,0.44,4,3,1,3,4,2,7,7,10,10,0
Persita - Barito Putera 2:1,Indonesia. Liga 1,2025-04-13,GK,104,2,1.08,4,2,1,2,1,1,8,8,7,3,4
Borneo FC - Barito Putera 2:1,Indonesia. Liga 1,2025-02-16,GK,105,2,2.15,4,2,2,2,4,2,10,8,11,5,6
Barito Putera - Semen Padang 2:1,Indonesia. Liga 1,2025-02-08,GK,101,1,0.22,3,2,1,0,4,3,7,7,5,2,3
Persik Kediri - Barito Putera 1:1,Indonesia. Liga 1,2025-01-31,GK,101,1,0.6,2,1,0,5,5,3,2,2,12,6,6
Barito Putera - Persebaya Surabaya 3:0,Indonesia. Liga 1,2025-01-25,GK,101,0,1.27,7,7,7,2,9,8,7,7,12,3,9
Madura United - Barito Putera 2:4,Indonesia. Liga 1,2025-01-18,GK,101,2,2.03,4,2,2,3,3,3,11,11,3,2,1
Barito Putera - Persija 2:3,Indonesia. Liga 1,2025-01-10,GK,96,3,2.0,7,4,3,3,5,4,8,8,4,0,4
Barito Putera - PSIS Semarang 0:0,Indonesia. Liga 1,2024-12-29,GK,97,0,0.07,2,2,1,1,2,2,11,11,3,3,0
Dewa United - Barito Putera 1:1,Indonesia. Liga 1,2024-12-12,GK,105,1,0.42,4,3,1,4,5,5,7,7,2,1,1
Barito Putera - PSBS Biak Numfor 0:3,Indonesia. Liga 1,2024-12-08,GK,100,3,1.79,5,2,1,0,10,5,7,7,10,7,3
Barito Putera - Persita 0:2,Indonesia. Liga 1,2024-11-23,GK,99,2,1.9,4,2,1,0,5,5,10,10,2,2,0
Barito Putera - Arema 1:3,Indonesia. Liga 1,2024-11-01,GK,103,3,2.47,8,5,4,1,3,1,3,3,10,10,0
Malut United FC - Barito Putera 0:0,Indonesia. Liga 1,2024-10-26,GK,95,0,0.38,4,4,2,0,4,2,9,9,8,5,3
Barito Putera - PSS Sleman 0:3,Indonesia. Liga 1,2024-10-20,GK,103,3,1.27,5,2,1,0,1,1,15,15,3,3,0
Bali United - Barito Putera 3:2,Indonesia. Liga 1,2024-09-27,GK,108,3,2.58,8,5,4,1,3,2,7,7,8,5,3
Barito Putera - Borneo FC 1:1,Indonesia. Liga 1,2024-09-23,GK,102,1,0.93,2,1,0,1,6,4,5,4,13,10,3
