Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Borneo FC - Persik Kediri 0:4,Indonesia. Liga 1,2024-12-27,GK,104,4,1.88,6,2,1,0,10,7,20,20,7,5,2
Persebaya Surabaya - Borneo FC 2:1,Indonesia. Liga 1,2024-12-20,GK,53,0,0.04,1,1,1,0,2,2,8,8,4,3,1
Barito Putera - Borneo FC 1:1,Indonesia. Liga 1,2024-09-23,GK,102,1,0.35,5,4,3,4,3,1,22,22,5,3,2
Borneo FC - Malut United FC 1:0,Indonesia. Liga 1,2024-09-17,GK,95,0,0.51,3,3,1,0,4,3,13,12,4,4,0
PSS Sleman - Borneo FC 1:1,Indonesia. Liga 1,2024-09-12,GK,95,1,1.03,5,4,4,3,9,8,17,17,15,6,9
Borneo FC - PSM 1:1,Indonesia. Piala Presiden,2024-07-25,GK,105,1,1.61,8,7,4,3,6,2,20,20,7,5,2
Bali United - Borneo FC 0:0,Indonesia. Liga 1,2024-05-25,GK,112,0,0.68,3,3,1,0,1,0,20,18,8,3,5
Borneo FC - Madura United 2:3,Indonesia. Liga 1,2024-05-19,GK,108,3,1.32,6,3,1,1,1,0,10,10,6,6,0
Madura United - Borneo FC 1:0,Indonesia. Liga 1,2024-05-15,GK,102,1,1.22,4,3,3,3,9,5,7,7,5,3,2
Dewa United - Borneo FC 2:1,Indonesia. Liga 1,2024-04-30,GK,25,0,0.33,1,1,1,0,0,0,4,4,1,1,0
PSM - Borneo FC 3:0,Indonesia. Liga 1,2023-04-16,GK,93,3,1.38,6,3,1,0,0,0,20,20,6,3,3
Borneo FC - Bali United 5:1,Indonesia. Liga 1,2023-04-03,GK,95,1,0.85,6,5,4,3,4,3,16,15,5,3,2
Arema - Borneo FC 0:0,Indonesia. Liga 1,2023-03-24,GK,95,0,0.45,2,2,2,0,2,1,6,6,6,4,2
PSS Sleman - Borneo FC 2:1,Indonesia. Liga 1,2023-03-18,GK,97,2,0.79,3,1,1,3,7,3,8,8,7,0,7
Borneo FC - PSIS Semarang 6:1,Indonesia. Liga 1,2023-03-12,GK,97,1,1.85,9,8,6,1,4,3,11,11,7,4,3
Borneo FC - Persija 3:1,Indonesia. Liga 1,2023-03-08,GK,92,1,0.93,1,0,0,1,12,5,4,4,12,1,11
Madura United - Borneo FC 0:1,Indonesia. Liga 1,2023-03-03,GK,98,0,0.0,0,0,0,6,9,4,5,5,9,1,8
Borneo FC - Bhayangkara F.C. 1:3,Indonesia. Liga 1,2023-02-25,GK,102,3,1.76,6,3,1,6,2,1,13,13,6,3,3
Persita - Borneo FC 1:1,Indonesia. Liga 1,2023-02-20,GK,100,1,1.02,3,2,1,3,7,5,5,5,9,5,4
Borneo FC - Persikabo 1973 3:1,Indonesia. Liga 1,2023-02-16,GK,98,1,0.86,2,1,1,0,4,1,6,5,6,2,4
Persis Solo - Borneo FC 1:1,Indonesia. Liga 1,2023-02-12,GK,101,1,1.7,8,7,5,0,15,8,13,13,3,0,3
Dewa United - Borneo FC 1:0,Indonesia. Liga 1,2023-02-08,GK,97,1,0.79,3,2,1,2,3,3,6,6,6,6,0
Persebaya Surabaya - Borneo FC 3:2,Indonesia. Liga 1,2023-02-03,GK,99,3,1.68,7,4,2,0,5,3,6,6,8,4,4
Borneo FC - Persik Kediri 2:0,Indonesia. Liga 1,2023-01-30,GK,97,0,0.0,0,0,0,0,9,6,12,12,8,3,5
Persib - Borneo FC 1:0,Indonesia. Liga 1,2023-01-26,GK,98,1,1.12,4,3,1,2,6,6,5,5,7,4,3
Borneo FC - Barito Putera 0:0,Indonesia. Liga 1,2023-01-21,GK,100,0,0.14,1,1,0,1,8,2,16,16,4,3,1
Borneo FC - PSM 1:1,Indonesia. Liga 1,2022-12-23,GK,98,1,1.08,3,2,1,2,2,0,7,7,5,2,3
Rans Nusantara - Borneo FC 0:0,Indonesia. Liga 1,2022-12-19,GK,97,0,0.44,3,3,0,2,3,2,11,11,9,5,4
Bali United - Borneo FC 1:3,Indonesia. Liga 1,2022-12-15,GK,101,1,0.88,1,0,0,4,2,2,5,5,5,0,5
Borneo FC - PSS Sleman 0:0,Indonesia. Liga 1,2022-12-12,GK,96,0,0.0,0,0,0,1,4,0,9,9,7,6,1
PSIS Semarang - Borneo FC 2:4,Indonesia. Liga 1,2022-12-09,GK,102,2,1.84,6,4,1,2,7,6,5,5,12,6,6
Persija - Borneo FC 1:0,Indonesia. Liga 1,2022-12-06,GK,98,1,0.29,3,2,1,4,4,2,14,14,6,4,1
Borneo FC - Madura United 3:0,Indonesia. Liga 1,2022-10-01,GK,96,0,0.06,1,1,1,2,4,3,3,3,6,1,5
Bhayangkara F.C. - Borneo FC 2:2,Indonesia. Liga 1,2022-09-13,GK,96,2,2.8,8,6,2,4,3,2,7,7,9,3,6
Borneo FC - Persita 2:2,Indonesia. Liga 1,2022-09-09,GK,99,2,1.84,6,4,3,2,10,6,5,4,6,2,4
Barito Putera - Borneo FC 3:1,Indonesia. Liga 1,2022-07-30,GK,25,0,0.06,1,1,1,0,4,2,5,4,0,0,0
Borneo FC - Arema 3:0,Indonesia. Liga 1,2022-07-24,GK,95,0,0.35,1,1,1,1,10,9,3,3,8,1,7
Borneo FC - Arema 0:0,Indonesia. Piala Presiden,2022-07-17,GK,105,0,0.0,0,0,0,1,4,2,16,16,4,1,3
Arema - Borneo FC 1:0,Indonesia. Piala Presiden,2022-07-14,GK,98,1,0.54,1,0,0,2,4,2,3,3,9,2,7
Borneo FC - PSS Sleman 4:0,Indonesia. Piala Presiden,2022-07-11,GK,96,0,0.0,0,0,0,0,3,1,6,5,5,3,2
