Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Madura United - Borneo FC 2:3,Indonesia. Liga 1,2025-05-10,GK,109,2,3.01,8,6,5,1,2,1,9,9,4,3,1
Borneo FC - Persija 1:0,Indonesia. Liga 1,2025-05-04,GK,98,0,0.0,0,0,0,0,3,1,16,16,3,2,1
PSIS Semarang - Borneo FC 2:5,Indonesia. Liga 1,2025-04-25,GK,101,2,2.05,5,3,3,1,3,3,7,7,7,2,5
Borneo FC - PSM 1:1,Indonesia. Liga 1,2025-04-18,GK,102,1,0.87,2,1,1,2,8,5,10,9,12,5,7
Borneo FC - Persib 2:2,Indonesia. Liga 1,2025-04-11,GK,102,2,2.04,3,1,1,1,3,1,22,22,1,1,0
Dewa United - Borneo FC 0:1,Indonesia. Liga 1,2025-03-10,GK,99,0,0.92,4,4,1,0,3,2,7,7,9,3,6
PSBS Biak Numfor - Borneo FC 1:0,Indonesia. Liga 1,2025-03-06,GK,102,1,0.57,3,2,2,2,3,2,10,10,14,7,7
Borneo FC - Persis Solo 0:1,Indonesia. Liga 1,2025-03-02,GK,105,1,0.88,6,5,4,1,2,2,9,9,5,4,1
Persita - Borneo FC 1:2,Indonesia. Liga 1,2025-02-22,GK,101,1,1.19,3,2,1,5,7,5,6,6,9,4,5
Borneo FC - Barito Putera 2:1,Indonesia. Liga 1,2025-02-16,GK,105,1,0.67,1,0,0,3,4,3,14,13,6,3,3
Malut United FC - Borneo FC 3:0,Indonesia. Liga 1,2025-02-10,GK,104,3,2.03,5,2,2,2,4,3,7,7,6,5,1
Borneo FC - PSS Sleman 1:0,Indonesia. Liga 1,2025-02-02,GK,99,0,0.79,4,4,3,1,4,3,14,14,14,4,10
Bali United - Borneo FC 3:2,Indonesia. Liga 1,2025-01-28,GK,100,3,3.59,6,3,3,2,3,3,14,14,3,3,0
Borneo FC - Kaya 2:1,Asia. ASEAN Club Championship,2025-01-23,GK,109,1,1.07,3,2,2,1,6,4,13,13,12,6,6
Borneo FC - Arema 3:1,Indonesia. Liga 1,2025-01-19,GK,96,1,1.55,7,6,5,3,2,1,10,10,6,3,3
Buriram United - Borneo FC 4:0,Asia. ASEAN Club Championship,2025-01-09,GK,99,4,3.93,9,5,4,0,11,4,13,12,7,3,4
Persebaya Surabaya - Borneo FC 2:1,Indonesia. Liga 1,2024-12-20,GK,53,2,0.52,3,1,0,0,3,2,8,8,3,2,1
Borneo FC - Madura United 5:0,Indonesia. Liga 1,2024-12-14,GK,98,0,0.81,4,4,4,2,8,5,26,26,7,7,0
Persija - Borneo FC 1:1,Indonesia. Liga 1,2024-12-10,GK,108,1,1.37,3,2,1,1,1,0,17,17,1,1,0
Borneo FC - PSIS Semarang 0:0,Indonesia. Liga 1,2024-12-06,GK,101,0,0.0,0,0,0,3,1,0,10,10,5,3,2
PSM - Borneo FC 1:0,Indonesia. Liga 1,2024-12-02,GK,110,1,0.8,2,1,1,2,1,0,29,28,3,2,1
Persib - Borneo FC 1:0,Indonesia. Liga 1,2024-11-22,GK,107,1,0.71,5,4,3,1,1,1,9,9,10,6,4
Borneo FC - Dewa United 1:0,Indonesia. Liga 1,2024-11-02,GK,100,0,0.62,2,2,1,0,3,2,10,10,6,3,3
Borneo FC - PSBS Biak Numfor 3:0,Indonesia. Liga 1,2024-10-25,GK,102,0,0.75,4,4,4,0,11,5,23,23,4,4,0
Persis Solo - Borneo FC 3:2,Indonesia. Liga 1,2024-10-19,GK,100,3,2.1,7,4,2,2,11,9,10,10,8,5,3
Borneo FC - Persita 0:0,Indonesia. Liga 1,2024-09-30,GK,99,0,0.0,0,0,0,2,1,0,15,15,9,4,5
Kuala Lumpur City - Borneo FC 1:0,Asia. ASEAN Club Championship,2024-09-26,GK,101,1,1.79,5,4,0,0,13,8,31,30,2,2,0
PSS Sleman - Borneo FC 1:1,Indonesia. Liga 1,2024-09-12,GK,14,0,0.0,0,0,0,1,0,0,1,1,1,1,0
Borneo FC - Bali United 2:0,Indonesia. Liga 1,2024-08-27,GK,99,0,0.83,4,4,1,1,4,2,26,26,10,5,5
Borneo FC - Lion City Sailors FC 3:0,Asia. ASEAN Club Championship,2024-08-22,GK,100,0,0.51,4,4,4,0,4,2,16,15,4,3,1
Arema - Borneo FC 0:2,Indonesia. Liga 1,2024-08-17,GK,97,0,0.6,5,5,3,1,6,2,14,13,12,6,6
Semen Padang - Borneo FC 1:3,Indonesia. Liga 1,2024-08-12,GK,99,1,1.6,4,3,3,5,4,2,27,27,5,2,3
Borneo FC - Arema 1:1 (P),Indonesia. Piala Presiden,2024-08-04,GK,108,1,0.85,4,3,1,2,5,2,9,9,8,7,1
Borneo FC - Persija 2:1,Indonesia. Piala Presiden,2024-07-30,GK,107,1,0.29,2,1,0,4,2,1,11,11,6,6,0
Persib - Borneo FC 0:1,Indonesia. Piala Presiden,2024-07-22,GK,102,0,1.66,4,4,3,4,7,4,22,22,7,5,2
Borneo FC - Persis Solo 2:0,Indonesia. Piala Presiden,2024-07-19,GK,103,0,0.18,3,3,0,1,4,3,15,14,7,6,1
Borneo FC - Bali United 4:2,Indonesia. Liga 1,2024-05-30,GK,105,2,1.81,5,3,2,0,4,3,14,14,6,3,3
