Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persis Solo - Dewa United 1:1,Indonesia. Liga 1,2025-05-17,GK,103,1,1.18,3,2,1,1,1,0,15,15,8,6,2
Dewa United - Persita 3:0,Indonesia. Liga 1,2025-05-09,GK,98,0,0.87,4,4,2,0,3,1,15,15,7,5,2
Barito Putera - Dewa United 1:1,Indonesia. Liga 1,2025-05-02,GK,103,1,0.59,6,5,2,0,3,1,17,17,11,5,6
Dewa United - Malut United FC 1:2,Indonesia. Liga 1,2025-04-25,GK,102,2,1.78,8,6,4,2,9,6,20,20,7,4,3
PSS Sleman - Dewa United 0:1,Indonesia. Liga 1,2025-04-17,GK,112,0,0.71,5,5,2,5,8,3,11,11,14,7,7
Bali United - Dewa United 0:0,Indonesia. Liga 1,2025-04-10,GK,101,0,1.21,5,5,3,0,2,1,16,16,10,5,5
Dewa United - Borneo FC 0:1,Indonesia. Liga 1,2025-03-10,GK,99,1,0.81,5,4,2,2,7,4,11,11,8,7,1
Dewa United - Semen Padang 6:0,Indonesia. Liga 1,2025-03-05,GK,95,0,0.0,0,0,0,0,4,2,12,12,3,1,2
Persik Kediri - Dewa United 1:2,Indonesia. Liga 1,2025-03-01,GK,99,1,0.53,3,2,1,0,9,6,12,12,6,5,1
Dewa United - Persebaya Surabaya 2:0,Indonesia. Liga 1,2025-02-21,GK,95,0,0.51,5,5,4,1,3,2,23,23,5,1,4
Madura United - Dewa United 3:1,Indonesia. Liga 1,2025-02-15,GK,91,2,0.96,4,2,1,0,3,2,9,8,1,1,0
Dewa United - Persija 2:1,Indonesia. Liga 1,2025-02-08,GK,105,1,1.19,5,4,3,0,3,1,15,15,7,5,2
PSIS Semarang - Dewa United 1:4,Indonesia. Liga 1,2025-02-03,GK,98,1,3.52,7,6,5,3,2,1,18,18,7,4,3
Dewa United - PSM 3:2,Indonesia. Liga 1,2025-01-27,GK,98,2,1.69,4,2,1,0,2,1,19,17,6,2,4
Persib - Dewa United 0:2,Indonesia. Liga 1,2025-01-17,GK,99,0,0.79,4,4,2,2,6,3,17,16,10,5,5
Dewa United - Arema 2:0,Indonesia. Liga 1,2025-01-11,GK,98,0,1.0,6,6,3,2,10,6,13,12,12,2,10
PSBS Biak Numfor - Dewa United 3:1,Indonesia. Liga 1,2024-12-28,GK,101,3,2.7,8,5,4,0,6,3,17,16,6,6,0
Dewa United - Persis Solo 2:0,Indonesia. Liga 1,2024-12-21,GK,99,0,0.13,3,3,1,2,8,4,15,15,7,4,3
Persita - Dewa United 0:4,Indonesia. Liga 1,2024-12-16,GK,97,0,0.17,4,4,1,1,3,2,11,11,7,5,2
Dewa United - Barito Putera 1:1,Indonesia. Liga 1,2024-12-12,GK,105,1,1.43,4,3,3,1,5,3,14,14,10,5,5
Malut United FC - Dewa United 1:1,Indonesia. Liga 1,2024-12-07,GK,99,1,0.68,6,5,3,0,4,1,19,19,13,9,4
Dewa United - PSS Sleman 2:1,Indonesia. Liga 1,2024-12-03,GK,103,1,1.9,5,4,3,3,3,0,13,13,9,6,3
Dewa United - Bali United 1:0,Indonesia. Liga 1,2024-11-23,GK,99,0,1.6,7,7,5,0,5,2,9,9,9,2,7
Borneo FC - Dewa United 1:0,Indonesia. Liga 1,2024-11-02,GK,100,1,0.31,4,3,1,2,8,4,4,4,13,0,13
Semen Padang - Dewa United 1:8,Indonesia. Liga 1,2024-10-25,GK,101,1,0.54,5,4,2,0,11,4,15,15,10,2,8
Dewa United - Persik Kediri 2:3,Indonesia. Liga 1,2024-10-17,GK,101,3,3.14,8,5,4,0,5,4,11,11,8,6,2
Persebaya Surabaya - Dewa United 0:0,Indonesia. Liga 1,2024-09-27,GK,101,0,1.41,4,4,4,2,3,2,16,16,11,4,7
Dewa United - Madura United 3:3,Indonesia. Liga 1,2024-09-21,GK,110,3,2.53,10,7,4,1,4,2,13,12,9,5,4
Persija - Dewa United 0:0,Indonesia. Liga 1,2024-09-16,GK,100,0,0.59,2,2,1,0,0,0,14,14,8,3,5
Dewa United - PSIS Semarang 2:1,Indonesia. Liga 1,2024-09-11,GK,101,1,0.81,1,0,0,1,7,2,15,14,7,0,7
PSM - Dewa United 3:1,Indonesia. Liga 1,2024-08-26,GK,103,3,1.9,4,1,0,2,3,1,17,17,8,3,5
Dewa United - Persib 2:2,Indonesia. Liga 1,2024-08-19,GK,99,2,1.56,3,1,0,2,1,0,19,19,6,6,0
Arema - Dewa United 0:0,Indonesia. Liga 1,2024-08-12,GK,101,0,1.25,3,3,3,0,3,2,14,14,12,5,7
Dewa United - Borneo FC 2:1,Indonesia. Liga 1,2024-04-30,GK,99,1,2.4,8,7,5,3,5,2,15,14,7,5,2
PSS Sleman - Dewa United 2:3,Indonesia. Liga 1,2024-04-20,GK,100,2,1.19,5,3,3,2,4,0,11,11,8,2,6
Persebaya Surabaya - Dewa United 0:3,Indonesia. Liga 1,2024-04-16,GK,100,0,1.16,4,4,4,1,4,3,6,6,14,5,9
Dewa United - Persita 4:1,Indonesia. Liga 1,2024-03-27,GK,95,1,1.18,5,4,3,1,4,4,7,7,8,4,4
Bhayangkara F.C. - Dewa United 2:3,Indonesia. Liga 1,2024-03-16,GK,98,2,1.99,4,2,2,0,4,1,7,7,6,2,4
Dewa United - Persikabo 1973 2:1,Indonesia. Liga 1,2024-03-07,GK,97,1,1.87,7,6,4,3,6,2,14,13,6,1,5
Persija - Dewa United 4:1,Indonesia. Liga 1,2024-03-02,GK,98,4,2.41,7,3,2,2,1,0,10,10,5,4,1
Dewa United - Rans Nusantara 5:0,Indonesia. Liga 1,2024-02-27,GK,97,0,1.07,3,3,2,0,6,2,7,7,10,3,7
