Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Madura United - PSM 1:3,Indonesia. Liga 1,2025-03-02,GK,100,3,1.76,4,1,0,2,4,4,7,7,5,3,2
Persib - Madura United 0:0,Indonesia. Liga 1,2025-02-22,GK,52,0,0.0,0,0,0,3,3,3,1,1,6,0,6
Madura United - Barito Putera 2:4,Indonesia. Liga 1,2025-01-18,GK,101,4,1.85,7,3,3,2,0,0,9,9,3,2,1
Malut United FC - Madura United 0:1,Indonesia. Liga 1,2025-01-10,GK,98,0,0.42,4,4,3,4,3,1,1,1,17,11,6
PSS Sleman - Madura United 4:0,Indonesia. Liga 1,2024-12-27,GK,102,4,2.55,6,2,2,2,0,0,12,12,0,0,0
Madura United - Bali United 2:1,Indonesia. Liga 1,2024-12-20,GK,99,1,1.73,5,4,2,2,11,5,8,8,11,11,0
Madura United - Persebaya Surabaya 1:2,Indonesia. Liga 1,2024-12-02,GK,102,2,1.3,5,3,2,2,4,2,6,5,11,4,7
PSIS Semarang - Persita 4:0,Indonesia. Liga 1,2023-11-09,GK,96,4,2.17,8,4,1,2,3,1,9,9,12,8,4
Bali United - Persita 3:0,Indonesia. Liga 1,2023-10-30,GK,98,3,1.0,6,3,3,1,4,3,7,7,11,3,8
Persita - Persis Solo 2:1,Indonesia. Liga 1,2023-10-22,GK,98,1,1.21,7,6,6,6,9,4,3,3,8,0,8
Persita - Madura United 1:3,Indonesia. Liga 1,2023-09-01,GK,99,3,1.36,5,2,0,1,5,3,4,4,3,2,1
Borneo FC - Persita 2:1,Indonesia. Liga 1,2023-08-25,GK,101,2,1.68,5,3,2,1,5,3,2,2,4,4,0
Persita - Bhayangkara F.C. 0:1,Indonesia. Liga 1,2023-08-03,GK,96,1,0.52,3,2,1,0,1,1,3,3,3,1,2
Persikabo 1973 - Persita 2:2,Indonesia. Liga 1,2023-07-28,GK,101,2,2.64,5,3,2,3,1,1,8,8,10,9,1
Persita - Persija 1:0,Indonesia. Liga 1,2023-07-22,GK,95,0,0.0,0,0,0,0,2,2,5,5,6,2,4
Rans Nusantara - Persita 0:1,Indonesia. Liga 1,2023-07-15,GK,102,0,0.76,3,3,1,1,2,0,3,3,9,2,7
Persita - PSIS Semarang 2:0,Indonesia. Liga 1,2023-07-08,GK,98,0,0.59,2,2,2,2,2,2,2,2,5,1,4
Barito Putera - Persita 2:0,Indonesia. Liga 1,2023-07-02,GK,97,2,1.28,2,0,0,1,6,4,9,9,6,3,3
Barito Putera - Persita 1:0,Indonesia. Liga 1,2023-04-14,GK,96,1,1.05,3,2,1,2,10,6,2,2,8,2,6
Persita - Persib 4:0,Indonesia. Liga 1,2023-04-09,GK,96,0,0.05,1,1,1,4,8,7,3,2,10,3,7
Persita - Arema 0:1,Indonesia. Liga 1,2023-04-01,GK,97,1,1.63,2,1,1,1,3,3,2,2,7,1,6
Persik Kediri - Persita 3:1,Indonesia. Liga 1,2023-03-24,GK,95,3,3.24,8,5,1,0,0,0,4,4,5,1,4
Rans Nusantara - Persita 1:2,Indonesia. Liga 1,2023-03-19,GK,96,1,0.89,4,3,2,0,5,2,3,3,6,3,3
Persita - PSM 0:0,Indonesia. Liga 1,2023-03-13,GK,98,0,0.96,4,4,2,2,3,1,6,6,7,6,1
Bali United - Persita 1:1,Indonesia. Liga 1,2023-03-07,GK,91,1,0.53,3,2,1,1,3,3,4,4,4,3,1
Persita - PSS Sleman 2:1,Indonesia. Liga 1,2023-03-02,GK,96,1,1.23,3,2,1,1,3,1,2,2,6,4,2
PSIS Semarang - Persita 1:1,Indonesia. Liga 1,2023-02-25,GK,100,1,3.12,6,5,3,3,5,3,5,4,10,3,7
Persita - Borneo FC 1:1,Indonesia. Liga 1,2023-02-20,GK,100,1,0.83,8,7,4,2,4,2,8,8,12,4,8
Madura United - Persita 1:1,Indonesia. Liga 1,2023-02-15,GK,101,1,1.24,2,1,1,2,1,0,7,7,11,4,7
Persita - Bhayangkara F.C. 1:0,Indonesia. Liga 1,2023-02-11,GK,95,0,0.22,2,2,0,1,1,1,5,5,11,5,6
Persikabo 1973 - Persita 1:1,Indonesia. Liga 1,2023-02-02,GK,98,1,0.81,3,2,2,2,3,3,8,8,2,1,1
Persita - Persis Solo 0:0,Indonesia. Liga 1,2023-01-28,GK,99,0,0.18,1,1,0,1,6,4,8,7,8,3,5
Persib - Barito Putera 5:2,Indonesia. Liga 1,2022-09-16,GK,47,4,3.85,6,2,2,1,2,2,9,9,3,1,2
Barito Putera - Persija 0:1,Indonesia. Liga 1,2022-09-11,GK,98,1,1.17,5,4,3,7,7,5,5,5,8,5,3
Barito Putera - Bali United 1:2,Indonesia. Liga 1,2022-08-18,GK,95,2,0.63,5,3,2,2,5,3,9,9,10,5,5
PSS Sleman - Barito Putera 1:0,Indonesia. Liga 1,2022-08-13,GK,98,1,0.38,3,2,1,1,1,1,6,6,8,1,7
Bhayangkara F.C. - Barito Putera 2:1,Indonesia. Liga 1,2022-02-01,GK,97,2,3.29,11,9,5,8,6,4,6,6,9,0,9
Bali United - Barito Putera 3:0,Indonesia. Liga 1,2022-01-09,GK,95,3,3.59,9,6,3,2,3,3,8,8,14,9,5
Persita - Barito Putera 0:1,Indonesia. Liga 1,2021-12-12,GK,96,0,0.42,1,1,1,2,3,1,1,1,10,2,8
Barito Putera - Madura United 0:3,Indonesia. Liga 1,2021-11-28,GK,84,3,1.94,6,3,2,2,5,4,5,4,3,2,1
Arema - Barito Putera 2:1,Indonesia. Liga 1,2021-11-23,GK,96,2,1.77,4,2,2,0,2,1,11,11,7,1,6
Barito Putera - Persiraja Banda Aceh 4:1,Indonesia. Liga 1,2021-11-19,GK,95,1,0.71,5,4,1,4,6,2,6,6,8,0,8
Persija - Barito Putera 1:1,Indonesia. Liga 1,2021-11-05,GK,103,1,1.53,5,4,2,1,6,2,0,0,7,1,6
Barito Putera - Persela 1:1,Indonesia. Liga 1,2021-10-29,GK,98,1,0.35,2,1,1,3,8,3,3,3,9,2,7
