Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Madura United - Borneo FC 2:3,Indonesia. Liga 1,2025-05-10,GK,109,3,2.97,6,3,3,1,5,2,5,5,10,6,4
Semen Padang - Madura United 2:1,Indonesia. Liga 1,2025-05-04,GK,99,2,2.08,5,3,1,4,8,4,6,6,13,4,9
Madura United - Persik Kediri 2:1,Indonesia. Liga 1,2025-04-28,GK,99,1,0.66,3,2,1,2,10,4,5,5,5,1,4
Arema - Madura United 0:1,Indonesia. Liga 1,2025-04-24,GK,99,0,0.72,2,2,2,2,7,5,2,2,14,3,11
Persebaya Surabaya - Madura United 1:0,Indonesia. Liga 1,2025-04-20,GK,107,1,0.64,3,2,1,1,4,1,5,5,5,2,3
PSIS Semarang - Madura United 1:2,Indonesia. Liga 1,2025-03-16,GK,106,1,1.39,8,7,2,3,7,2,2,2,13,3,10
Persib - Madura United 0:0,Indonesia. Liga 1,2025-02-22,GK,47,0,0.09,2,2,0,1,2,1,3,3,6,3,3
Madura United - Dewa United 3:1,Indonesia. Liga 1,2025-02-15,GK,91,1,1.49,4,3,3,2,12,9,3,3,3,0,3
Madura United - PSBS Biak Numfor 0:0,Indonesia. Liga 1,2025-02-08,GK,97,0,0.54,2,2,1,2,5,3,7,7,10,4,6
Madura United - Persis Solo 2:0,Indonesia. Liga 1,2025-02-01,GK,102,0,0.13,1,1,1,4,8,7,2,2,9,4,5
Persita - Madura United 1:1,Indonesia. Liga 1,2025-01-24,GK,100,1,0.08,3,2,1,2,2,1,6,6,5,1,4
Persik Kediri - Persita 1:1,Indonesia. Liga 1,2024-04-20,GK,67,0,0.0,0,0,0,1,1,0,0,0,4,1,3
Madura United - Persija 0:0,Indonesia. Liga 1,2023-02-26,GK,98,0,0.58,4,4,1,5,4,2,10,10,8,6,2
Madura United - Persis Solo 2:3,Indonesia. Liga 1,2023-02-06,GK,95,2,0.31,2,0,0,0,3,1,8,8,10,7,3
Dewa United - Madura United 1:1,Indonesia. Liga 1,2023-02-02,GK,97,1,1.22,5,4,2,1,3,2,12,12,12,8,4
Madura United - Persebaya Surabaya 0:2,Indonesia. Liga 1,2023-01-29,GK,95,2,2.44,7,5,2,3,4,1,21,20,4,3,1
Persik Kediri - Madura United 2:0,Indonesia. Liga 1,2023-01-24,GK,98,2,1.23,3,1,1,2,0,0,13,13,6,4,2
Madura United - Persib 0:1,Indonesia. Liga 1,2023-01-20,GK,95,1,0.91,1,0,0,3,1,0,8,8,12,5,7
Barito Putera - Madura United 1:2,Indonesia. Liga 1,2023-01-14,GK,97,1,1.14,8,7,2,4,4,1,23,20,13,9,4
Borneo FC - Madura United 3:0,Indonesia. Liga 1,2022-10-01,GK,96,3,1.38,6,3,2,2,5,4,7,6,10,3,7
Persija - Madura United 0:0,Indonesia. Liga 1,2022-09-17,GK,96,0,0.8,4,4,4,4,5,2,10,10,8,3,5
Madura United - Bhayangkara F.C. 1:0,Indonesia. Liga 1,2022-09-08,GK,97,0,0.66,6,6,1,0,6,3,7,7,11,7,4
Persita - Madura United 0:1,Indonesia. Liga 1,2022-09-02,GK,96,0,0.18,5,5,1,7,6,3,2,1,17,4,13
Madura United - Persikabo 1973 2:1,Indonesia. Liga 1,2022-08-27,GK,95,1,0.87,6,5,1,2,6,5,10,10,7,4,3
Persis Solo - Madura United 1:0,Indonesia. Liga 1,2022-08-23,GK,94,1,2.35,8,7,7,1,11,7,12,12,10,6,4
Madura United - Dewa United 1:0,Indonesia. Liga 1,2022-08-19,GK,97,0,0.52,4,4,2,2,0,0,14,14,9,3,6
Madura United - Persija 2:1,Indonesia. Piala Presiden,2022-06-28,GK,95,1,0.53,1,0,0,1,3,1,6,6,11,9,2
Barito Putera - Madura United 1:1,Indonesia. Piala Presiden,2022-06-25,GK,102,1,0.81,2,1,0,0,5,3,3,3,4,1,3
Persija - PSS Sleman 0:2,Indonesia. Liga 1,2022-03-31,GK,96,0,0.12,3,3,1,0,7,4,3,3,7,1,6
PSS Sleman - Persela 3:2,Indonesia. Liga 1,2022-03-24,GK,93,2,1.69,3,1,0,4,2,0,4,4,2,0,2
Persipura - PSS Sleman 4:2,Indonesia. Liga 1,2022-03-20,GK,94,4,2.87,8,4,1,3,6,2,0,0,7,0,7
PSS Sleman - PSIS Semarang 0:1,Indonesia. Liga 1,2022-03-16,GK,98,1,0.33,3,2,1,0,9,6,12,11,13,2,11
PSS Sleman - Persita 0:0,Indonesia. Liga 1,2022-03-11,GK,96,0,0.91,5,5,5,3,8,4,17,17,7,3,4
Bhayangkara F.C. - PSS Sleman 2:1,Indonesia. Liga 1,2022-03-07,GK,96,2,2.13,6,4,3,2,5,2,12,12,10,7,3
PSS Sleman - PSM 0:0,Indonesia. Liga 1,2022-03-01,GK,95,0,0.77,5,5,4,0,3,1,13,13,6,3,3
Persikabo 1973 - PSS Sleman 2:0,Indonesia. Liga 1,2022-02-24,GK,98,2,1.82,4,2,1,0,3,2,6,6,1,1,0
PSS Sleman - Borneo FC 1:0,Indonesia. Liga 1,2022-02-20,GK,96,0,0.4,2,2,1,0,5,4,5,5,6,0,6
PSS Sleman - Persib 1:2,Indonesia. Liga 1,2022-02-11,GK,96,2,2.32,9,7,6,5,14,5,6,5,10,0,10
Barito Putera - PSS Sleman 0:1,Indonesia. Liga 1,2022-02-06,GK,99,0,1.7,9,9,7,3,15,11,8,8,10,1,9
PSS Sleman - Persik Kediri 2:3,Indonesia. Liga 1,2022-02-02,GK,97,3,1.84,7,4,2,2,14,7,9,8,10,6,4
Persebaya Surabaya - PSS Sleman 1:0,Indonesia. Liga 1,2022-01-29,GK,97,1,0.62,3,2,0,1,6,2,13,11,5,1,4
PSS Sleman - Madura United 1:1,Indonesia. Liga 1,2022-01-18,GK,72,1,2.27,7,6,3,3,12,9,8,7,9,3,6
Arema - PSS Sleman 2:0,Indonesia. Liga 1,2022-01-13,GK,95,2,1.58,3,1,0,1,7,3,25,25,7,2,5
PSS Sleman - Persiraja Banda Aceh 4:1,Indonesia. Liga 1,2022-01-07,GK,95,1,1.34,4,3,1,6,2,1,20,20,7,6,1
Persela - PSS Sleman 1:1,Indonesia. Liga 1,2021-12-11,GK,94,1,1.29,4,3,0,3,15,8,14,14,4,1,3
PSS Sleman - Persipura 1:1,Indonesia. Liga 1,2021-12-07,GK,99,1,1.48,7,6,2,2,10,5,5,5,9,1,8
PSIS Semarang - PSS Sleman 1:2,Indonesia. Liga 1,2021-12-03,GK,96,1,0.4,1,0,0,3,7,5,4,4,8,4,4
Persita - PSS Sleman 1:0,Indonesia. Liga 1,2021-11-28,GK,96,1,0.33,1,0,0,3,3,3,19,19,5,5,0
PSS Sleman - Bhayangkara F.C. 0:0,Indonesia. Liga 1,2021-11-22,GK,96,0,1.14,8,8,5,3,9,5,15,15,13,6,7
PSM - PSS Sleman 2:2,Indonesia. Liga 1,2021-11-18,GK,95,2,1.19,7,5,3,1,9,7,14,14,7,3,4
PSS Sleman - Persikabo 1973 3:2,Indonesia. Liga 1,2021-11-07,GK,100,2,1.54,5,3,2,5,9,3,11,10,15,4,11
Borneo FC - PSS Sleman 1:2,Indonesia. Liga 1,2021-11-01,GK,96,1,1.53,9,8,4,5,9,7,3,3,12,2,10
PSS Sleman - Bali United 0:2,Indonesia. Liga 1,2021-10-27,GK,96,2,1.31,2,0,0,2,8,5,9,9,8,1,7
Persib - PSS Sleman 4:2,Indonesia. Liga 1,2021-10-22,GK,96,4,2.38,7,3,3,1,10,5,16,16,9,2,7
PSS Sleman - Barito Putera 3:2,Indonesia. Liga 1,2021-10-15,GK,98,2,1.8,4,2,2,5,4,3,6,5,13,6,7
PSM - PSS Sleman 1:2,Indonesia. Menpora Cup,2021-04-24,GK,97,1,0.86,4,3,2,3,5,2,10,10,10,0,10
PSM - Barito Putera 1:1,Indonesia. Liga 1,2020-03-15,GK,98,1,1.45,6,5,3,1,6,4,9,9,5,1,4
