Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Malut United FC - PSIS Semarang 5:1,Indonesia. Liga 1,2025-05-16,GK,97,1,0.94,2,1,1,6,7,4,16,16,4,0,4
PSM - Malut United FC 3:2,Indonesia. Liga 1,2025-05-10,GK,99,3,1.12,3,0,0,2,9,8,16,16,11,4,7
Malut United FC - Persib 1:0,Indonesia. Liga 1,2025-05-02,GK,100,0,0.02,1,1,1,2,3,2,16,16,6,1,5
Dewa United - Malut United FC 1:2,Indonesia. Liga 1,2025-04-25,GK,102,1,2.09,7,6,3,1,13,8,13,13,8,4,4
Malut United FC - PSBS Biak Numfor 1:1,Indonesia. Liga 1,2025-04-18,GK,99,1,0.8,1,0,0,0,2,2,10,10,12,9,3
Persis Solo - Malut United FC 1:3,Indonesia. Liga 1,2025-04-12,GK,98,1,0.92,4,3,1,5,9,8,13,12,5,1,4
Malut United FC - Persita 2:1,Indonesia. Liga 1,2025-03-12,GK,100,1,0.58,2,1,0,1,2,2,9,9,5,3,2
Barito Putera - Malut United FC 1:1,Indonesia. Liga 1,2025-03-08,GK,103,1,0.23,4,3,1,1,5,4,6,6,8,1,7
Malut United FC - Arema 2:1,Indonesia. Liga 1,2025-03-04,GK,96,1,1.78,5,4,4,1,3,3,11,10,12,8,4
Malut United FC - PSS Sleman 1:0,Indonesia. Liga 1,2025-02-23,GK,97,0,0.87,2,2,1,1,6,3,18,18,7,6,1
Bali United - Malut United FC 1:1,Indonesia. Liga 1,2025-02-17,GK,92,1,0.08,1,0,0,0,9,8,5,5,11,1,10
Semen Padang - Malut United FC 1:1,Indonesia. Liga 1,2025-02-02,GK,100,1,0.67,5,4,2,4,6,3,18,18,10,3,7
Malut United FC - Persik Kediri 2:1,Indonesia. Liga 1,2025-01-25,GK,100,1,0.81,1,0,0,1,10,6,9,9,5,2,3
Persebaya Surabaya - Malut United FC 0:2,Indonesia. Liga 1,2025-01-17,GK,97,0,1.03,6,6,3,3,5,2,10,9,10,3,7
Borneo FC - Madura United 5:0,Indonesia. Liga 1,2024-12-14,GK,98,5,3.76,8,3,2,0,7,4,6,6,4,2,2
Madura United - Semen Padang 0:1,Indonesia. Liga 1,2024-12-10,GK,99,1,1.23,5,4,2,1,5,2,8,8,6,3,3
Persik Kediri - Madura United 1:0,Indonesia. Liga 1,2024-12-06,GK,100,1,0.91,4,3,2,2,4,2,12,11,4,1,3
Madura United - Arema 2:4,Indonesia. Liga 1,2024-11-21,GK,105,4,1.28,7,3,3,0,2,2,7,6,4,0,4
Persija - Madura United 4:1,Indonesia. Liga 1,2024-11-06,GK,107,4,2.37,7,3,3,1,10,5,16,16,9,3,6
PSM - Madura United 2:0,Indonesia. Liga 1,2024-10-18,GK,103,2,0.09,2,0,0,0,5,4,9,9,7,2,5
Madura United - Persib 2:2,Indonesia. Liga 1,2024-09-28,GK,102,2,1.42,5,3,1,0,6,4,6,6,4,3,1
Dewa United - Madura United 3:3,Indonesia. Liga 1,2024-09-21,GK,110,3,2.74,6,3,1,3,11,3,6,5,2,2,0
PSBS Biak Numfor - Madura United 2:1,Indonesia. Liga 1,2024-09-17,GK,98,2,1.64,4,2,2,3,6,4,16,16,6,3,3
Persis Solo - Madura United 4:0,Indonesia. Liga 1,2024-09-13,GK,96,4,2.79,8,4,2,2,11,6,7,7,13,6,7
Madura United - Persita 0:1,Indonesia. Liga 1,2024-08-24,GK,102,1,0.62,4,3,3,1,7,5,11,11,8,5,3
Barito Putera - Madura United 1:0,Indonesia. Liga 1,2024-08-16,GK,98,1,0.66,2,1,1,0,4,3,18,18,5,3,2
Madura United - Malut United FC 1:1,Indonesia. Liga 1,2024-08-10,GK,104,1,0.76,2,1,1,0,5,4,11,11,5,4,1
Madura United - Persija 1:2,Indonesia. Piala Presiden,2024-07-21,GK,50,1,0.65,1,0,0,0,3,3,6,6,6,4,2
Estrela Amadora - Arouca 1:4,Portugal. Primeira Liga,2023-12-28,GK,79,1,1.92,3,2,1,2,6,5,13,12,6,2,4
Farense - Estrela Amadora 0:0,Portugal. Primeira Liga,2023-12-15,GK,97,0,0.45,1,1,1,2,3,3,23,23,12,4,8
Estrela Amadora - Boavista 3:1,Portugal. Primeira Liga,2023-12-10,GK,99,1,1.24,5,4,0,2,4,3,17,17,8,7,1
Rio Ave - Estrela Amadora 1:1,Portugal. Primeira Liga,2023-12-02,GK,99,1,0.6,3,2,0,5,14,7,21,21,8,2,6
Vizela - Estrela Amadora 2:1 (E),Portugal. Taça de Portugal,2023-11-24,GK,139,2,1.74,6,4,2,3,15,9,10,10,23,4,19
Estrela Amadora - Moreirense 0:1,Portugal. Primeira Liga,2023-11-11,GK,98,1,0.27,3,2,0,2,4,3,30,30,5,5,0
Estrela Amadora - UD Oliveirense 1:0,Portugal. Segunda Liga,2022-11-12,GK,102,0,0.62,3,3,1,2,8,5,14,14,7,3,4
