Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Malut United FC - PSM 2:2,Indonesia. Liga 1,2024-12-17,GK,100,2,1.44,4,2,1,3,5,3,11,11,9,4,5
Persib - Malut United FC 2:0,Indonesia. Liga 1,2024-12-13,GK,102,2,2.0,5,3,1,5,1,0,9,9,2,1,1
Malut United FC - Dewa United 1:1,Indonesia. Liga 1,2024-12-07,GK,99,1,1.06,2,1,1,1,7,4,12,12,4,3,1
PSBS Biak Numfor - Malut United FC 1:3,Indonesia. Liga 1,2024-12-02,GK,102,1,0.47,4,3,3,7,5,2,8,8,9,1,8
Malut United FC - Persis Solo 3:0,Indonesia. Liga 1,2024-11-21,GK,97,0,0.22,2,2,1,1,5,5,7,4,4,2,2
Arema - Malut United FC 3:1,Indonesia. Liga 1,2024-10-19,GK,101,3,3.65,9,6,4,5,4,1,11,10,6,5,1
PSS Sleman - Malut United FC 0:1,Indonesia. Liga 1,2024-09-26,GK,101,0,0.31,4,4,2,3,7,3,8,8,9,4,5
Malut United FC - Bali United 1:4,Indonesia. Liga 1,2024-09-21,GK,107,4,2.77,7,3,3,2,6,5,10,8,7,4,3
Borneo FC - Malut United FC 1:0,Indonesia. Liga 1,2024-09-17,GK,95,1,0.29,5,4,1,2,6,3,2,2,14,7,7
Malut United FC - Semen Padang 2:1,Indonesia. Liga 1,2024-09-13,GK,96,1,1.13,4,3,2,2,0,0,13,13,8,4,4
Persik Kediri - Malut United FC 0:0,Indonesia. Liga 1,2024-08-25,GK,101,0,1.72,6,6,2,2,11,4,10,10,9,1,8
Malut United FC - Persebaya Surabaya 0:0,Indonesia. Liga 1,2024-08-16,GK,99,0,0.89,4,4,1,1,6,4,7,7,5,2,3
Madura United - Malut United FC 1:1,Indonesia. Liga 1,2024-08-10,GK,104,1,2.01,4,3,3,3,7,3,9,9,4,2,2
Dewa United - Persis Solo 1:1,Indonesia. Piala Presiden,2022-06-24,GK,100,1,0.65,5,4,1,3,3,2,10,9,7,1,6
