Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Malut United FC - Madura United 0:1,Indonesia. Liga 1,2025-01-10,GK,98,1,1.17,3,2,1,0,5,4,11,10,4,3,1
Malut United FC - Persija 0:1,Indonesia. Liga 1,2024-12-28,GK,101,1,0.11,5,4,2,1,2,2,5,5,6,4,2
PSIS Semarang - Malut United FC 1:3,Indonesia. Liga 1,2024-12-22,GK,101,1,1.27,5,4,3,4,4,2,7,7,6,5,1
Persita - Malut United FC 1:1,Indonesia. Liga 1,2024-11-04,GK,100,1,1.26,3,2,0,4,6,6,11,10,8,5,3
Malut United FC - Barito Putera 0:0,Indonesia. Liga 1,2024-10-26,GK,95,0,0.27,3,3,1,1,2,1,7,7,12,2,10
Bali United - PSIS Semarang 3:2,Indonesia. Liga 1,2023-04-12,GK,97,3,2.95,6,3,2,2,8,7,17,17,9,6,3
Barito Putera - PSIS Semarang 3:0,Indonesia. Liga 1,2023-03-26,GK,101,3,1.1,4,1,0,4,7,5,7,6,11,3,8
PSIS Semarang - Madura United 0:2,Indonesia. Liga 1,2023-03-07,GK,107,2,1.6,2,0,0,1,1,1,11,10,8,4,4
Persikabo 1973 - PSIS Semarang 0:0,Indonesia. Liga 1,2023-02-21,GK,14,0,0.0,0,0,0,0,0,0,0,0,2,0,2
Persik Kediri - PSIS Semarang 1:2,Indonesia. Liga 1,2023-02-04,GK,50,0,0.17,2,2,1,0,2,2,1,1,7,3,4
Persita - PSIS Semarang 1:0,Indonesia. Liga 1,2022-09-14,GK,96,1,1.4,5,4,3,3,9,4,9,9,5,3,2
PSIS Semarang - Persikabo 1973 3:2,Indonesia. Liga 1,2022-09-09,GK,95,2,1.57,3,1,1,0,6,5,13,12,9,6,3
Dewa United - PSIS Semarang 2:1,Indonesia. Liga 1,2022-08-29,GK,99,2,0.74,6,4,2,2,2,1,12,12,9,4,5
Persebaya Surabaya - PSIS Semarang 1:0,Indonesia. Liga 1,2022-08-23,GK,47,0,0.31,5,5,4,0,4,2,4,4,6,1,5
PSIS Semarang - Persik Kediri 2:1,Indonesia. Liga 1,2022-08-18,GK,97,1,1.46,4,3,1,4,7,3,8,8,7,1,6
PSIS Semarang - Barito Putera 2:1,Indonesia. Liga 1,2022-08-06,GK,99,1,0.35,1,0,0,4,6,4,7,6,9,3,6
Arema - PSIS Semarang 2:1,Indonesia. Liga 1,2022-07-30,GK,98,2,2.48,6,4,2,5,4,3,4,4,14,1,13
PSIS Semarang - Rans Nusantara 1:1,Indonesia. Liga 1,2022-07-23,GK,96,1,0.93,3,2,1,0,3,2,13,12,8,5,3
Arema - PSIS Semarang 2:1,Indonesia. Piala Presiden,2022-07-11,GK,97,2,2.36,7,5,5,4,8,6,12,10,4,0,4
PSIS Semarang - Arema 0:2,Indonesia. Piala Presiden,2022-07-07,GK,97,2,1.21,3,1,0,2,4,3,13,13,4,1,3
PSIS Semarang - Bhayangkara F.C. (P) 1:1,Indonesia. Piala Presiden,2022-07-03,GK,18,0,0.0,1,1,0,0,4,3,1,1,0,0,0
Persis Solo - PSIS Semarang 1:2,Indonesia. Piala Presiden,2022-06-21,GK,104,1,0.16,2,1,1,0,6,4,4,4,14,3,11
PSIS Semarang - Persita 6:1,Indonesia. Piala Presiden,2022-06-13,GK,101,1,1.28,4,3,2,3,8,5,21,21,7,3,4
Persela - PSIS Semarang 1:2,Indonesia. Liga 1,2022-03-29,GK,97,1,1.38,4,3,2,1,5,3,12,11,8,1,7
