Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persib - Barito Putera 1:1,Indonesia. Liga 1,2025-05-09,GK,105,1,0.06,1,0,0,3,0,0,17,17,5,3,2
Malut United FC - Persib 1:0,Indonesia. Liga 1,2025-05-02,GK,100,1,0.29,2,1,0,0,5,1,17,16,8,6,2
Persib - PSS Sleman 3:0,Indonesia. Liga 1,2025-04-26,GK,99,0,0.0,0,0,0,0,1,0,15,15,3,3,0
Persib - Bali United 2:1,Indonesia. Liga 1,2025-04-18,GK,112,1,0.78,6,5,4,0,2,0,18,18,6,4,2
Borneo FC - Persib 2:2,Indonesia. Liga 1,2025-04-11,GK,102,2,1.52,6,4,1,3,8,6,13,13,6,4,2
Philippines - Maldives 4:1,Asia. AFC Asian Cup Qualification,2025-03-25,GK,94,1,0.61,2,1,1,0,2,2,24,24,4,3,1
Semen Padang - Persib 1:4,Indonesia. Liga 1,2025-03-10,GK,103,1,1.0,3,2,1,1,2,2,25,24,6,3,3
Persib - Persik Kediri 4:1,Indonesia. Liga 1,2025-03-05,GK,104,1,0.81,1,0,0,2,8,5,14,14,3,2,1
Persebaya Surabaya - Persib 4:1,Indonesia. Liga 1,2025-03-01,GK,79,1,0.13,4,3,1,3,1,0,22,22,5,3,2
Persib - Madura United 0:0,Indonesia. Liga 1,2025-02-22,GK,99,0,0.57,3,3,2,1,1,1,11,11,6,3,3
Persija - Persib 2:2,Indonesia. Liga 1,2025-02-16,GK,104,2,1.56,3,1,1,1,5,3,11,11,3,1,2
PSIS Semarang - Persib 0:1,Indonesia. Liga 1,2025-02-09,GK,100,0,0.02,1,1,0,3,5,3,7,7,13,0,13
Persib - PSM 1:0,Indonesia. Liga 1,2025-02-01,GK,97,0,0.12,2,2,1,3,1,0,37,37,1,0,1
Arema - Persib 1:3,Indonesia. Liga 1,2025-01-24,GK,101,1,1.1,6,5,2,2,7,2,16,16,12,5,7
Persib - Dewa United 0:2,Indonesia. Liga 1,2025-01-17,GK,99,2,1.23,4,2,2,0,4,2,16,16,8,4,4
Bali United - Persib 1:1,Indonesia. Liga 1,2025-01-07,GK,105,1,1.72,4,3,2,3,5,2,12,12,5,4,1
Persib - Persita 3:1,Indonesia. Liga 1,2024-12-22,GK,99,1,0.02,1,0,0,2,0,0,11,11,8,6,2
Barito Putera - Persib 1:2,Indonesia. Liga 1,2024-12-18,GK,102,1,0.11,2,1,0,1,1,0,9,9,9,5,4
Persib - Malut United FC 2:0,Indonesia. Liga 1,2024-12-13,GK,102,0,1.01,5,5,1,1,2,1,14,14,9,5,4
PSS Sleman - Persib 1:2,Indonesia. Liga 1,2024-12-09,GK,102,1,1.8,3,2,2,4,0,0,10,10,9,4,5
Persib - Zhejiang Professional 3:4,Asia. AFC Champions League Two,2024-12-05,GK,99,4,2.07,5,1,0,1,10,6,15,15,5,3,2
Port FC - Persib 2:2,Asia. AFC Champions League Two,2024-11-28,GK,101,2,2.02,4,2,1,2,3,3,11,11,6,5,1
Persib - Borneo FC 1:0,Indonesia. Liga 1,2024-11-22,GK,107,0,1.06,6,6,3,4,6,5,9,9,15,7,8
Hong Kong - Philippines 3:1,World. Friendlies,2024-11-14,GK,97,3,1.1,6,3,1,1,5,2,23,23,5,4,1
Lion City Sailors FC - Persib 2:3,Asia. AFC Champions League Two,2024-11-07,GK,99,2,1.04,3,1,1,2,5,3,16,15,8,4,4
Persik Kediri - Persib 0:2,Indonesia. Liga 1,2024-10-28,GK,100,0,0.0,0,0,0,5,5,3,18,17,9,3,6
Persib - Lion City Sailors FC 1:1,Asia. AFC Champions League Two,2024-10-24,GK,99,1,1.15,3,2,2,3,8,5,14,14,12,9,3
Persib - Persebaya Surabaya 2:0,Indonesia. Liga 1,2024-10-18,GK,101,0,1.39,4,4,3,2,6,3,16,16,9,5,4
Tajikistan - Philippines 0:3,World. King's Cup,2024-10-14,GK,99,0,1.35,2,2,2,2,12,10,21,20,9,4,5
Thailand - Philippines 3:1,World. King's Cup,2024-10-11,GK,101,3,1.72,7,4,3,2,5,4,11,11,8,1,7
Zhejiang Professional - Persib 1:0,Asia. AFC Champions League Two,2024-10-03,GK,96,1,0.59,4,3,1,0,5,3,15,15,13,12,1
Persib - Persija 2:0,Indonesia. Liga 1,2024-09-23,GK,100,0,1.22,4,4,3,6,8,5,12,12,6,2,4
Persib - Port FC 0:1,Asia. AFC Champions League Two,2024-09-19,GK,100,1,0.87,4,3,3,5,4,2,10,10,8,5,3
PSM - Persib 0:0,Indonesia. Liga 1,2024-09-11,GK,98,0,0.3,3,3,0,1,4,0,11,10,6,2,4
Philippines - Tajikistan 0:0 (P),World. Friendlies,2024-09-08,GK,98,0,0.56,2,2,1,2,4,2,16,16,4,3,1
Persib - Arema 1:1,Indonesia. Liga 1,2024-08-25,GK,103,1,0.17,3,2,0,1,3,2,23,23,9,3,6
Persib - PSBS Biak Numfor 4:1,Indonesia. Liga 1,2024-08-09,GK,99,1,1.02,5,4,2,1,10,2,16,16,6,4,2
Persib - Borneo FC 0:1,Indonesia. Piala Presiden,2024-07-22,GK,102,1,0.45,2,1,0,4,6,5,15,15,8,5,3
Philippines - Indonesia 0:2,Asia. AFC World Cup Qualifiers,2024-06-11,GK,101,2,1.36,7,5,3,4,5,3,13,13,15,5,10
Madura United - Persib 1:3,Indonesia. Liga 1,2024-05-31,GK,92,0,0.23,4,4,1,5,7,4,5,5,12,2,10
Persib - Madura United 3:0,Indonesia. Liga 1,2024-05-26,GK,109,0,0.06,2,2,1,0,5,4,24,24,11,7,4
Persib - Bali United 3:0,Indonesia. Liga 1,2024-05-18,GK,98,0,0.1,3,3,1,3,7,4,14,14,9,3,6
Bali United - Persib 1:1,Indonesia. Liga 1,2024-05-14,GK,113,1,1.06,4,3,0,3,3,0,14,14,7,2,5
Persib - Borneo FC 2:1,Indonesia. Liga 1,2024-04-25,GK,100,1,0.36,2,1,0,1,7,4,20,20,7,3,4
Persita - Persib 3:3,Indonesia. Liga 1,2024-04-15,GK,98,3,2.27,6,3,2,0,4,2,19,19,6,3,3
Persikabo 1973 - Persib 1:3,Indonesia. Liga 1,2024-03-15,GK,99,1,0.75,4,3,1,3,3,2,6,6,15,2,13
Persib - Persija 2:1,Indonesia. Liga 1,2024-03-09,GK,99,1,1.9,4,3,1,2,2,2,18,18,6,4,2
Rans Nusantara - Persib 0:4,Indonesia. Liga 1,2024-03-03,GK,97,0,0.61,3,3,3,3,3,3,14,14,10,6,4
Persib - PSIS Semarang 3:0,Indonesia. Liga 1,2024-02-27,GK,95,0,0.21,3,3,0,2,3,2,18,18,9,4,5
Barito Putera - Persib 1:1,Indonesia. Liga 1,2024-02-23,GK,98,1,0.84,2,1,0,1,5,4,7,6,13,2,11
Persib - Persis Solo 2:2,Indonesia. Liga 1,2024-02-04,GK,97,2,2.62,5,3,2,0,2,2,22,21,1,1,0
Bali United - Persib 0:0,Indonesia. Liga 1,2023-12-18,GK,102,0,1.74,6,6,4,2,5,3,8,8,12,3,9
Persib - Persik Kediri 0:2,Indonesia. Liga 1,2023-12-10,GK,98,2,1.91,9,7,1,0,5,4,9,9,10,10,0
Terengganu - Kuala Lumpur City 2:1,Malaysia. Malaysia Cup,2023-11-03,GK,100,2,2.47,8,6,2,4,2,1,12,12,9,3,6
PDRM - Kuala Lumpur City 2:0,Malaysia. Super League,2023-10-27,GK,96,2,2.08,6,4,3,4,4,3,25,25,3,2,1
Kuala Lumpur City - Terengganu 1:2,Malaysia. Malaysia Cup,2023-10-21,GK,99,2,2.57,7,5,4,1,5,4,26,26,10,9,1
Sri Pahang - Kuala Lumpur City 1:1,Malaysia. Malaysia Cup,2023-09-24,GK,99,1,1.17,5,4,1,1,10,5,1,1,12,0,12
Kuala Lumpur City - Sri Pahang 1:0,Malaysia. Malaysia Cup,2023-09-17,GK,99,0,0.46,1,1,1,2,5,5,13,13,13,4,9
