Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persita - Persib 2:2,Indonesia. Liga 1,2025-05-16,GK,110,2,2.43,10,8,4,9,9,5,21,19,5,4,1
PSBS Biak Numfor - Persib 1:1,Indonesia. Liga 1,2025-01-11,GK,105,1,2.17,5,4,3,3,6,5,14,14,14,8,6
Persis Solo - Persib 0:1,Indonesia. Liga 1,2024-12-29,GK,101,0,0.58,6,6,4,1,3,2,8,7,6,3,3
Persib - Semen Padang 1:1,Indonesia. Liga 1,2024-11-01,GK,101,1,0.9,3,2,2,0,1,1,16,15,7,6,1
Madura United - Persib 2:2,Indonesia. Liga 1,2024-09-28,GK,102,2,1.51,5,3,1,3,4,3,16,15,7,1,6
Persib - PSIS Semarang 2:1,Indonesia. Liga 1,2024-09-15,GK,104,1,0.49,2,1,0,2,6,4,22,22,8,6,2
Dewa United - Persib 2:2,Indonesia. Liga 1,2024-08-19,GK,99,2,2.72,7,5,5,1,4,1,13,13,8,4,4
Persib - Persis Solo 0:1,Indonesia. Piala Presiden,2024-07-25,GK,105,1,0.84,5,4,1,0,0,0,12,11,10,6,4
Persib - PSM 2:0,Indonesia. Piala Presiden,2024-07-19,GK,100,0,0.55,3,3,2,5,7,4,18,18,13,6,7
Madura United - Persib 1:3,Indonesia. Liga 1,2024-05-31,GK,9,1,0.81,1,0,0,0,0,0,1,1,1,0,1
PSS Sleman - Persib 1:0,Indonesia. Liga 1,2024-04-30,GK,102,1,0.89,3,2,1,2,7,6,9,9,12,5,7
Persib - Persebaya Surabaya 3:1,Indonesia. Liga 1,2024-04-20,GK,96,1,0.54,1,0,0,1,1,1,13,13,5,3,2
Persib - Bhayangkara F.C. 0:0,Indonesia. Liga 1,2024-03-28,GK,98,0,0.36,2,2,2,1,2,0,10,10,11,8,3
Persib - PSM 0:0,Indonesia. Liga 1,2023-12-04,GK,100,0,0.0,0,0,0,5,2,1,10,10,13,11,2
Dewa United - Persib 1:5,Indonesia. Liga 1,2023-11-26,GK,99,1,1.32,6,5,1,5,3,2,11,11,6,4,2
Persib - Arema 2:2,Indonesia. Liga 1,2023-11-08,GK,97,2,1.08,4,2,2,2,2,1,8,8,6,0,6
Madura United - Persib 0:1,Indonesia. Liga 1,2023-11-01,GK,98,0,0.0,0,0,0,0,6,4,7,7,7,3,4
Persib - PSS Sleman 4:1,Indonesia. Liga 1,2023-10-28,GK,97,1,0.81,4,3,1,1,4,3,6,6,7,4,3
Borneo FC - Persib 1:1,Indonesia. Liga 1,2023-10-21,GK,98,1,0.29,2,1,1,1,3,3,11,11,11,4,7
Persebaya Surabaya - Persib 2:3,Indonesia. Liga 1,2023-10-07,GK,100,2,1.48,3,1,0,3,5,2,7,7,9,0,9
Persib - Persita 5:0,Indonesia. Liga 1,2023-10-01,GK,95,0,0.29,3,3,0,5,1,0,9,9,14,10,4
Bhayangkara F.C. - Persib 1:2,Indonesia. Liga 1,2023-09-23,GK,100,1,2.59,9,8,4,4,2,0,5,4,5,1,4
Persib - Persikabo 1973 2:0,Indonesia. Liga 1,2023-09-16,GK,97,0,0.0,0,0,0,13,6,4,16,16,13,8,5
PSM - Persib 4:2,Indonesia. Liga 1,2023-07-22,GK,96,4,1.03,6,2,0,1,2,2,7,7,12,11,1
Persib - Dewa United 2:2,Indonesia. Liga 1,2023-07-14,GK,98,2,1.97,5,3,1,2,3,2,15,15,2,2,0
