Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
PSBS Biak Numfor - Persis Solo 0:2,Indonesia. Liga 1,2025-05-11,GK,102,2,1.06,3,1,1,0,5,3,11,11,5,2,3
Persita - PSBS Biak Numfor 0:2,Indonesia. Liga 1,2025-05-03,GK,100,0,0.02,1,1,0,3,10,4,7,7,6,0,6
PSBS Biak Numfor - Barito Putera 2:1,Indonesia. Liga 1,2025-04-26,GK,102,1,1.33,2,1,1,3,3,2,11,11,10,6,4
PSBS Biak Numfor - PSS Sleman 2:1,Indonesia. Liga 1,2025-04-11,GK,35,1,1.26,3,2,1,2,1,0,4,4,1,1,0
Bali United - PSBS Biak Numfor 0:2,Indonesia. Liga 1,2025-03-11,GK,97,0,0.99,2,2,1,3,7,6,10,9,7,1,6
PSBS Biak Numfor - Borneo FC 1:0,Indonesia. Liga 1,2025-03-06,GK,102,0,0.0,0,0,0,1,5,3,7,7,8,4,4
Semen Padang - PSBS Biak Numfor 1:1,Indonesia. Liga 1,2025-03-01,GK,102,1,0.84,3,2,1,0,5,3,12,12,6,3,3
PSBS Biak Numfor - Persik Kediri 1:1,Indonesia. Liga 1,2025-02-21,GK,100,1,0.54,2,1,0,1,10,6,7,7,9,7,2
Persebaya Surabaya - PSBS Biak Numfor 1:0,Indonesia. Liga 1,2025-02-15,GK,99,1,0.75,5,4,1,0,5,1,7,7,8,4,4
Madura United - PSBS Biak Numfor 0:0,Indonesia. Liga 1,2025-02-08,GK,97,0,1.06,5,5,3,3,5,2,4,4,8,2,6
Persija - PSBS Biak Numfor 2:2,Indonesia. Liga 1,2025-02-02,GK,113,2,1.47,5,3,1,6,6,4,3,3,13,0,13
PSBS Biak Numfor - PSIS Semarang 1:3,Indonesia. Liga 1,2025-01-26,GK,103,3,1.2,3,0,0,1,0,0,7,7,9,6,3
PSM - PSBS Biak Numfor 1:1,Indonesia. Liga 1,2025-01-18,GK,97,1,1.34,4,3,2,3,6,4,1,1,9,0,9
PSBS Biak Numfor - Persib 1:1,Indonesia. Liga 1,2025-01-11,GK,105,1,0.51,2,1,0,0,1,1,8,8,5,4,1
PSBS Biak Numfor - Dewa United 3:1,Indonesia. Liga 1,2024-12-28,GK,101,1,0.86,6,5,4,1,7,4,7,7,10,4,6
Arema - PSBS Biak Numfor 3:2,Indonesia. Liga 1,2024-12-21,GK,106,3,2.41,6,3,3,2,5,1,8,8,6,0,6
Persis Solo - PSBS Biak Numfor 1:1,Indonesia. Liga 1,2024-12-16,GK,104,1,0.63,2,1,1,2,4,1,12,12,5,4,1
PSBS Biak Numfor - Persita 1:3,Indonesia. Liga 1,2024-12-12,GK,99,3,1.33,3,0,0,2,1,0,8,8,6,2,4
Barito Putera - PSBS Biak Numfor 0:3,Indonesia. Liga 1,2024-12-08,GK,100,0,0.3,2,2,2,0,3,2,3,3,13,3,10
PSBS Biak Numfor - Malut United FC 1:3,Indonesia. Liga 1,2024-12-02,GK,102,3,2.14,7,4,3,0,9,3,8,8,5,4,1
PSS Sleman - PSBS Biak Numfor 0:1,Indonesia. Liga 1,2024-11-22,GK,98,0,0.89,4,4,2,4,6,5,13,12,5,4,1
PSBS Biak Numfor - Bali United 2:0,Indonesia. Liga 1,2024-11-03,GK,97,0,0.24,3,3,3,2,5,4,2,2,12,1,11
Borneo FC - PSBS Biak Numfor 3:0,Indonesia. Liga 1,2024-10-25,GK,102,3,2.79,6,3,3,0,5,0,10,9,8,3,5
PSBS Biak Numfor - Semen Padang 3:2,Indonesia. Liga 1,2024-10-18,GK,103,2,1.33,6,4,3,1,8,8,12,12,1,1,0
Persik Kediri - PSBS Biak Numfor 0:1,Indonesia. Liga 1,2024-09-28,GK,100,0,0.81,4,4,2,3,9,4,9,9,5,1,4
PSBS Biak Numfor - Persebaya Surabaya 0:1,Indonesia. Liga 1,2024-09-22,GK,100,1,0.38,1,0,0,0,5,3,11,11,5,4,1
PSBS Biak Numfor - Madura United 2:1,Indonesia. Liga 1,2024-09-17,GK,98,1,1.55,5,4,4,1,7,4,10,10,10,3,7
PSBS Biak Numfor - Persija 3:1,Indonesia. Liga 1,2024-09-12,GK,100,1,1.27,7,6,3,2,10,6,9,9,5,2,3
PSIS Semarang - PSBS Biak Numfor 1:0,Indonesia. Liga 1,2024-08-23,GK,96,1,0.56,7,6,2,0,3,3,7,7,10,4,6
