Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
PSIS Semarang - PSS Sleman 1:2,Indonesia. Liga 1,2025-05-09,GK,101,2,2.56,6,4,2,0,1,1,9,9,6,6,0
Bali United - PSIS Semarang 4:0,Indonesia. Liga 1,2025-05-01,GK,100,4,2.39,12,8,3,2,3,2,10,10,9,8,1
PSIS Semarang - Borneo FC 2:5,Indonesia. Liga 1,2025-04-25,GK,101,5,3.36,9,4,3,1,5,4,7,6,9,6,3
PSIS Semarang - Dewa United 1:4,Indonesia. Liga 1,2025-02-03,GK,98,4,1.5,5,1,0,2,6,2,5,4,9,3,6
PSBS Biak Numfor - PSIS Semarang 1:3,Indonesia. Liga 1,2025-01-26,GK,103,1,0.96,3,2,2,6,9,4,4,4,10,1,9
PSIS Semarang - Persis Solo 1:2,Indonesia. Liga 1,2025-01-20,GK,112,2,1.54,5,3,1,2,9,5,5,5,5,2,3
PSIS Semarang - Malut United FC 1:3,Indonesia. Liga 1,2024-12-22,GK,101,3,2.36,5,2,1,0,5,1,14,12,4,4,0
PSS Sleman - PSIS Semarang 2:1,Indonesia. Liga 1,2024-12-17,GK,99,2,2.23,5,3,1,1,3,2,5,5,9,6,3
PSIS Semarang - Bali United 2:1,Indonesia. Liga 1,2024-12-11,GK,103,1,2.01,4,3,1,7,7,6,3,2,5,0,5
Borneo FC - PSIS Semarang 0:0,Indonesia. Liga 1,2024-12-06,GK,101,0,0.74,4,4,3,7,7,4,4,4,13,5,8
PSIS Semarang - Semen Padang 1:0,Indonesia. Liga 1,2024-12-01,GK,96,0,0.6,2,2,1,7,6,5,17,17,9,6,3
PSIS Semarang - Persija 0:2,Indonesia. Liga 1,2024-10-17,GK,23,0,0.08,1,1,1,1,1,1,5,5,1,1,0
PSIS Semarang - Arema 1:2,Indonesia. Liga 1,2024-09-26,GK,23,0,0.0,0,0,0,1,1,1,3,3,2,2,0
PSM - PSIS Semarang 0:0,Indonesia. Liga 1,2024-09-20,GK,98,0,0.67,3,3,3,4,4,1,7,7,11,5,6
PSIS Semarang - PSBS Biak Numfor 1:0,Indonesia. Liga 1,2024-08-23,GK,96,0,0.35,2,2,1,3,8,4,7,6,10,8,2
