Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Semen Padang - PSIS Semarang 3:2,Indonesia. Liga 1,2025-04-17,GK,105,3,1.46,7,4,0,1,3,3,13,13,6,4,2
PSIS Semarang - Persik Kediri 0:0,Indonesia. Liga 1,2025-04-11,GK,95,0,0.35,5,5,3,1,2,1,6,5,7,7,0
PSIS Semarang - Madura United 1:2,Indonesia. Liga 1,2025-03-16,GK,106,2,2.37,4,2,2,0,1,1,9,9,4,4,0
Persebaya Surabaya - PSIS Semarang 1:1,Indonesia. Liga 1,2025-03-12,GK,100,1,1.18,6,5,1,1,5,2,9,9,14,13,1
Persija - PSIS Semarang 2:0,Indonesia. Liga 1,2025-03-05,GK,101,2,2.39,7,5,2,1,3,2,12,12,5,4,1
Arema - PSIS Semarang 2:2,Indonesia. Liga 1,2025-02-24,GK,124,2,2.08,6,4,3,1,6,3,9,8,9,1,8
PSIS Semarang - PSM 1:1,Indonesia. Liga 1,2025-02-16,GK,100,1,1.88,5,4,3,7,3,2,8,6,6,4,2
PSIS Semarang - Persib 0:1,Indonesia. Liga 1,2025-02-09,GK,100,1,1.47,4,3,3,3,1,1,10,10,7,6,1
Persita - PSIS Semarang 2:1,Indonesia. Liga 1,2025-01-12,GK,102,2,1.28,9,7,4,2,2,2,7,7,9,9,0
Barito Putera - PSIS Semarang 0:0,Indonesia. Liga 1,2024-12-29,GK,97,0,0.7,4,4,2,3,2,1,7,7,7,4,3
Persik Kediri - PSIS Semarang 0:1,Indonesia. Liga 1,2024-11-23,GK,98,0,2.2,9,9,4,0,13,10,7,7,12,5,7
PSIS Semarang - Persebaya Surabaya 0:1,Indonesia. Liga 1,2024-11-02,GK,99,1,1.29,6,5,3,2,3,2,14,14,7,6,1
PSIS Semarang - Arema 1:2,Indonesia. Liga 1,2024-09-26,GK,85,2,0.74,5,3,0,2,3,1,3,3,5,2,3
Persib - PSIS Semarang 2:1,Indonesia. Liga 1,2024-09-15,GK,104,2,1.08,5,3,2,1,3,1,12,12,12,11,1
Dewa United - PSIS Semarang 2:1,Indonesia. Liga 1,2024-09-11,GK,101,2,1.17,4,2,1,2,0,0,15,15,6,6,0
Persik Kediri - Persikabo 1973 5:2,Indonesia. Liga 1,2024-03-28,GK,95,5,3.14,12,7,3,1,5,3,11,11,5,5,0
Persikabo 1973 - Persib 1:3,Indonesia. Liga 1,2024-03-15,GK,99,3,1.78,5,2,1,1,4,3,13,12,10,9,1
Indonesia - Libya 0:4,World. Friendlies,2024-01-02,GK,93,4,2.57,8,4,2,1,6,4,25,25,12,11,1
Persija - Persikabo 1973 4:0,Indonesia. Liga 1,2023-11-09,GK,96,4,2.25,7,3,2,0,0,0,7,7,11,5,6
Persikabo 1973 - Rans Nusantara 2:1,Indonesia. Liga 1,2023-11-04,GK,100,1,2.84,7,6,4,5,1,0,14,13,8,5,3
Barito Putera - Persikabo 1973 1:1,Indonesia. Liga 1,2023-10-27,GK,98,1,2.8,9,8,8,2,8,4,9,9,10,2,8
