Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
PSM - Công An Hà Nội 1:0,Asia. ASEAN Club Championship,2025-04-02,GK,54,0,0.0,0,0,0,0,6,4,3,3,5,0,5
PSM - Borneo FC 1:0,Indonesia. Liga 1,2024-12-02,GK,46,0,0.01,1,1,0,0,1,1,0,0,2,0,2
Semen Padang - PSM 1:1,Indonesia. Liga 1,2024-11-21,GK,97,1,0.67,4,3,3,0,0,0,12,12,4,4,0
PSM - Persik Kediri 1:1,Indonesia. Liga 1,2024-11-04,GK,101,1,0.0,1,0,0,0,4,1,9,9,5,3,2
Persebaya Surabaya - PSM 1:1,Indonesia. Liga 1,2024-10-23,GK,104,1,0.39,5,4,3,1,10,6,3,2,10,0,10
PSM - Madura United 2:0,Indonesia. Liga 1,2024-10-18,GK,103,0,0.02,1,1,0,2,8,7,2,2,8,2,6
Persija - PSM 1:1,Indonesia. Liga 1,2024-09-29,GK,102,1,0.23,3,2,1,4,7,2,0,0,9,0,9
PSM - PSIS Semarang 0:0,Indonesia. Liga 1,2024-09-20,GK,98,0,0.19,1,1,0,1,4,3,3,3,5,3,2
PSM - Arema 0:1,Indonesia. Liga 1,2024-09-15,GK,101,1,0.71,2,1,0,1,6,3,8,8,11,5,6
PSM - Persib 0:0,Indonesia. Liga 1,2024-09-11,GK,98,0,0.0,0,0,0,1,11,8,7,7,7,1,6
PSM - Dewa United 3:1,Indonesia. Liga 1,2024-08-26,GK,103,1,1.25,6,5,4,0,9,5,5,5,6,3,3
PSM - BG Pathum United FC 0:0,Asia. ASEAN Club Championship,2024-08-21,GK,102,0,0.04,1,1,1,1,11,8,5,5,13,10,3
PSBS Biak Numfor - PSM 1:2,Indonesia. Liga 1,2024-08-16,GK,101,1,0.94,3,2,2,1,6,3,2,2,2,0,2
PSM - Persis Solo 3:0,Indonesia. Liga 1,2024-08-10,GK,102,0,0.52,3,3,3,0,7,6,2,2,4,1,3
Borneo FC - PSM 1:1,Indonesia. Piala Presiden,2024-07-25,GK,105,1,0.8,2,1,0,2,5,2,2,2,10,3,7
Persib - PSM 2:0,Indonesia. Piala Presiden,2024-07-19,GK,100,2,0.35,3,1,0,3,9,3,13,13,6,3,3
PSM - Rans Nusantara 3:2,Indonesia. Liga 1,2024-04-30,GK,101,3,1.65,7,4,1,2,6,2,10,10,12,6,6
Rans Nusantara - Persija 0:1,Indonesia. Liga 1,2024-04-26,GK,98,1,1.01,3,2,0,0,2,1,13,13,5,3,2
PSIS Semarang - Rans Nusantara 2:1,Indonesia. Liga 1,2024-04-22,GK,98,2,1.26,7,5,4,0,6,2,8,7,10,7,3
Rans Nusantara - Barito Putera 1:1,Indonesia. Liga 1,2024-04-17,GK,97,1,0.82,4,3,1,1,3,3,6,6,9,1,8
Persis Solo - Rans Nusantara 2:0,Indonesia. Liga 1,2024-03-30,GK,90,2,0.98,3,1,1,3,3,2,12,11,5,4,1
Rans Nusantara - Bali United 1:1,Indonesia. Liga 1,2024-03-17,GK,98,1,0.82,3,2,1,7,9,6,4,4,10,1,9
Persik Kediri - Rans Nusantara 4:3,Indonesia. Liga 1,2024-03-08,GK,100,4,3.37,6,2,2,1,9,7,3,3,7,1,6
Madura United - Rans Nusantara 2:2,Indonesia. Liga 1,2024-02-06,GK,99,2,1.6,7,5,2,4,8,6,5,5,15,5,10
Rans Nusantara - Borneo FC 0:1,Indonesia. Liga 1,2023-12-16,GK,98,1,1.68,5,4,2,2,8,8,12,12,9,4,5
PSS Sleman - Rans Nusantara 1:0,Indonesia. Liga 1,2023-12-08,GK,99,1,1.12,4,3,1,3,9,5,15,15,10,6,4
Rans Nusantara - Persebaya Surabaya 0:0,Indonesia. Liga 1,2023-12-01,GK,99,0,0.0,0,0,0,1,7,3,1,1,10,1,9
Rans Nusantara - Bhayangkara F.C. 1:1,Indonesia. Liga 1,2023-11-09,GK,98,1,0.77,2,1,1,2,6,4,5,5,8,1,7
Persikabo 1973 - Rans Nusantara 2:1,Indonesia. Liga 1,2023-11-04,GK,100,2,0.94,3,1,1,5,9,6,6,5,9,0,9
Rans Nusantara - PSM 1:1,Indonesia. Liga 1,2023-10-30,GK,99,1,1.32,4,3,3,0,5,4,5,5,11,4,7
Persija - Rans Nusantara 1:2,Indonesia. Liga 1,2023-10-22,GK,101,1,1.11,5,4,2,3,6,5,3,3,8,0,8
Barito Putera - Rans Nusantara 1:1,Indonesia. Liga 1,2023-09-29,GK,102,1,1.02,3,2,0,6,6,5,3,2,14,0,14
Rans Nusantara - Persis Solo 1:2,Indonesia. Liga 1,2023-09-22,GK,96,2,1.01,4,2,2,0,3,2,2,2,9,5,4
Bali United - Rans Nusantara 1:2,Indonesia. Liga 1,2023-09-15,GK,99,1,1.47,8,7,4,1,10,7,6,6,13,1,12
Rans Nusantara - Persik Kediri 1:0,Indonesia. Liga 1,2023-09-02,GK,101,0,0.79,3,3,1,6,7,3,4,3,10,1,9
Persib - Rans Nusantara 2:1,Indonesia. Liga 1,2023-08-26,GK,98,2,1.51,5,3,2,1,4,3,12,12,5,2,3
Rans Nusantara - Dewa United 0:0,Indonesia. Liga 1,2023-08-19,GK,98,0,1.65,5,5,5,2,3,2,8,7,11,6,5
Arema - Rans Nusantara 0:1,Indonesia. Liga 1,2023-08-14,GK,97,0,0.0,0,0,0,2,8,4,9,9,12,1,11
Rans Nusantara - Madura United 3:1,Indonesia. Liga 1,2023-08-09,GK,95,1,2.33,5,4,3,1,8,4,2,1,19,3,16
Borneo FC - Rans Nusantara 1:1,Indonesia. Liga 1,2023-08-04,GK,97,1,1.72,6,5,2,4,6,3,3,3,7,1,6
Rans Nusantara - PSS Sleman 0:0,Indonesia. Liga 1,2023-07-30,GK,95,0,0.0,1,1,0,1,8,5,5,5,7,2,5
Persebaya Surabaya - Rans Nusantara 2:2,Indonesia. Liga 1,2023-07-23,GK,96,2,1.56,3,1,1,0,5,5,4,4,7,3,4
Borneo FC - Rans Nusantara 4:2,Indonesia. Liga 1,2023-04-09,GK,83,3,2.58,8,5,4,2,3,2,7,6,2,1,1
Bhayangkara F.C. - Rans Nusantara 5:1,Indonesia. Liga 1,2023-03-30,GK,93,5,3.1,11,6,5,3,2,0,5,4,9,5,4
Rans Nusantara - Persis Solo 2:3,Indonesia. Liga 1,2023-03-10,GK,99,3,1.8,6,3,2,4,10,4,2,1,13,1,12
Rans Nusantara - Dewa United 0:1,Indonesia. Liga 1,2023-03-05,GK,100,1,2.11,5,4,3,0,3,2,10,10,6,3,3
Rans Nusantara - Persebaya Surabaya 2:2,Indonesia. Liga 1,2023-02-28,GK,97,2,0.73,6,4,2,2,6,4,6,6,6,1,5
Rans Nusantara - Arema 1:2,Indonesia. Liga 1,2023-02-08,GK,63,1,1.06,2,1,1,2,3,1,9,9,8,1,7
PSM - Rans Nusantara 3:1,Indonesia. Liga 1,2023-01-30,GK,97,3,2.4,11,8,5,2,8,4,2,2,10,0,10
