Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
PSM - Malut United FC 3:2,Indonesia. Liga 1,2025-05-10,GK,99,2,0.99,3,1,1,0,7,5,4,4,8,1,7
PSS Sleman - PSM 3:1,Indonesia. Liga 1,2025-05-03,GK,103,3,1.97,6,3,3,1,6,4,6,6,5,2,3
Công An Hà Nội - PSM 2:0,Asia. ASEAN Club Championship,2025-04-30,GK,98,2,2.71,8,6,6,0,8,5,10,9,13,1,12
PSM - Bali United 0:1,Indonesia. Liga 1,2025-04-25,GK,106,1,1.22,5,4,1,2,7,4,11,11,8,4,4
Borneo FC - PSM 1:1,Indonesia. Liga 1,2025-04-18,GK,102,1,1.15,3,2,2,2,4,3,9,7,14,4,10
PSM - Công An Hà Nội 1:0,Asia. ASEAN Club Championship,2025-04-02,GK,49,0,1.39,4,4,4,0,4,2,3,3,3,0,3
Persik Kediri - PSM 2:2,Indonesia. Liga 1,2025-03-11,GK,100,2,2.65,9,7,4,2,11,5,8,8,5,0,5
PSM - Persebaya Surabaya 0:1,Indonesia. Liga 1,2025-03-07,GK,98,1,0.6,3,2,1,3,12,6,6,4,2,0,2
Madura United - PSM 1:3,Indonesia. Liga 1,2025-03-02,GK,100,1,1.09,5,4,3,7,6,4,11,11,8,2,6
PSM - Persija 1:0,Indonesia. Liga 1,2025-02-23,GK,102,0,0.11,1,1,1,1,5,2,7,6,7,0,7
PSIS Semarang - PSM 1:1,Indonesia. Liga 1,2025-02-16,GK,100,1,0.35,2,1,1,1,3,1,4,4,6,0,6
Arema - PSM 1:1,Indonesia. Liga 1,2025-02-10,GK,104,1,1.44,7,6,4,3,10,8,6,6,11,0,11
PSM - FLC Thanh Hoa 3:0,Asia. ASEAN Club Championship,2025-02-05,GK,100,0,0.2,2,2,1,4,8,4,3,3,14,0,14
Persib - PSM 1:0,Indonesia. Liga 1,2025-02-01,GK,97,1,1.51,3,2,2,1,4,1,0,0,3,2,1
Dewa United - PSM 3:2,Indonesia. Liga 1,2025-01-27,GK,98,3,2.88,7,4,4,1,2,1,9,9,7,2,5
Terengganu - PSM 1:0,Asia. ASEAN Club Championship,2025-01-22,GK,103,1,1.73,8,7,3,3,6,2,3,3,10,3,7
PSM - PSBS Biak Numfor 1:1,Indonesia. Liga 1,2025-01-18,GK,97,1,0.91,2,1,0,2,4,3,9,8,6,0,6
Persis Solo - PSM 0:1,Indonesia. Liga 1,2025-01-13,GK,101,0,1.33,6,6,4,5,2,1,1,1,6,3,3
Svay Rieng - PSM 0:1,Asia. ASEAN Club Championship,2025-01-08,GK,102,0,0.05,3,3,1,1,9,5,1,1,10,3,7
Persita - PSM 2:1,Indonesia. Liga 1,2024-12-29,GK,107,2,0.7,3,1,1,1,7,6,5,5,3,2,1
PSM - Barito Putera 3:2,Indonesia. Liga 1,2024-12-22,GK,103,2,2.56,5,3,2,2,3,2,8,7,6,3,3
PSM - Rans Nusantara 3:2,Indonesia. Liga 1,2024-04-30,GK,101,2,2.55,6,4,4,2,8,6,5,4,11,3,8
Arema - PSM 3:2,Indonesia. Liga 1,2024-04-25,GK,100,3,2.92,8,5,2,1,5,3,8,8,6,0,6
Madura United - PSM 2:0,Indonesia. Liga 1,2024-04-21,GK,97,2,1.57,4,2,1,1,10,4,7,7,10,1,9
PSM - PSIS Semarang 3:1,Indonesia. Liga 1,2024-04-16,GK,97,1,1.77,5,4,2,1,6,3,7,7,9,5,4
PSM - PSS Sleman 2:1,Indonesia. Liga 1,2024-03-08,GK,46,0,0.0,0,0,0,0,0,0,3,3,6,1,5
PSM - Persebaya Surabaya 0:0,Indonesia. Liga 1,2024-02-28,GK,96,0,0.03,1,1,0,1,9,2,10,10,7,1,6
PSM - Bali United 0:0,Indonesia. Liga 1,2024-02-24,GK,98,0,0.13,3,3,0,3,4,4,8,8,11,2,9
PSM - Persita 4:0,Indonesia. Liga 1,2024-02-04,GK,98,0,0.75,5,5,1,1,8,6,7,5,8,0,8
Persik Kediri - PSM 1:1,Indonesia. Liga 1,2023-12-18,GK,88,0,0.07,2,2,1,0,9,5,4,4,10,1,9
PSM - Bhayangkara F.C. 1:1,Indonesia. Liga 1,2023-12-08,GK,101,1,1.38,4,3,2,0,2,0,5,5,7,1,6
Persib - PSM 0:0,Indonesia. Liga 1,2023-12-04,GK,100,0,0.34,2,2,0,1,4,3,4,4,13,0,13
PSM - Hai Phong 1:1,Asia. AFC Champions League Two,2023-11-30,GK,95,1,0.72,2,1,1,3,7,4,8,7,9,1,8
PSM - Persija 2:3,Indonesia. Liga 1,2023-11-03,GK,98,3,2.27,7,4,2,1,6,4,9,9,10,2,8
Rans Nusantara - PSM 1:1,Indonesia. Liga 1,2023-10-30,GK,99,1,1.26,5,4,0,1,7,4,11,11,10,4,6
PSM - Arema 3:0,Indonesia. Liga 1,2023-10-20,GK,98,0,0.49,6,6,2,0,9,5,0,0,9,0,9
PSM - Madura United 0:2,Indonesia. Liga 1,2023-10-08,GK,100,2,1.61,6,4,3,0,7,4,7,6,7,1,6
PSM - Sabah 0:5,Asia. AFC Champions League Two,2023-10-05,GK,61,3,1.79,4,1,1,1,6,4,5,5,5,0,5
PSIS Semarang - PSM 2:1,Indonesia. Liga 1,2023-09-30,GK,98,2,1.15,4,2,1,1,4,3,10,10,10,1,9
PSM - Borneo FC 0:1,Indonesia. Liga 1,2023-09-25,GK,99,1,1.23,3,2,0,0,3,1,2,1,13,1,12
Hai Phong - PSM 3:0,Asia. AFC Champions League Two,2023-09-21,GK,98,3,2.03,5,2,1,1,4,3,4,4,11,5,6
PSM - Barito Putera 2:0,Indonesia. Liga 1,2023-09-15,GK,99,0,0.04,2,2,0,2,3,0,0,0,13,0,13
PSS Sleman - PSM 1:1,Indonesia. Liga 1,2023-09-03,GK,97,1,0.99,3,2,1,1,10,5,1,1,11,0,11
PSM - Persis Solo 1:0,Indonesia. Liga 1,2023-08-28,GK,98,0,0.68,3,3,2,0,8,5,1,1,10,1,9
Persebaya Surabaya - PSM 1:0,Indonesia. Liga 1,2023-08-18,GK,99,1,1.24,3,2,1,1,6,4,4,4,2,0,2
Bali United - PSM 3:2,Indonesia. Liga 1,2023-08-11,GK,102,3,3.31,9,6,2,3,9,7,1,1,15,0,15
Persita - PSM 0:1,Indonesia. Liga 1,2023-08-07,GK,102,0,0.2,2,2,1,0,8,3,3,3,11,0,11
Bhayangkara F.C. - PSM 0:0,Indonesia. Liga 1,2023-07-29,GK,100,0,1.36,3,3,2,2,3,2,9,9,13,4,9
PSM - Persib 4:2,Indonesia. Liga 1,2023-07-22,GK,96,2,0.64,6,4,2,1,4,2,7,6,7,2,5
Persikabo 1973 - PSM 0:1,Indonesia. Liga 1,2023-07-14,GK,98,0,0.13,2,2,2,2,8,3,5,5,13,1,12
PSM - Dewa United 1:2,Indonesia. Liga 1,2023-07-08,GK,99,2,0.62,3,1,0,1,10,7,3,3,6,1,5
Persija - PSM 1:1,Indonesia. Liga 1,2023-07-03,GK,100,1,0.77,3,2,1,2,4,3,1,0,7,0,7
PSM - Bali United 1:1 (P),Indonesia. Liga 1,2023-06-10,GK,136,1,0.37,5,4,2,1,5,4,4,4,15,1,14
Bali United - PSM 1:1,Indonesia. Liga 1,2023-06-06,GK,100,1,1.06,3,2,2,8,8,5,2,2,13,2,11
PSM - Borneo FC 3:0,Indonesia. Liga 1,2023-04-16,GK,93,0,0.32,3,3,1,1,3,2,1,1,22,0,22
Madura United - PSM 1:3,Indonesia. Liga 1,2023-03-31,GK,97,1,1.19,5,4,1,2,5,4,0,0,10,0,10
PSM - Bhayangkara F.C. 3:1,Indonesia. Liga 1,2023-03-17,GK,95,1,0.55,3,2,0,3,7,6,3,3,8,0,8
Persita - PSM 0:0,Indonesia. Liga 1,2023-03-13,GK,98,0,0.56,3,3,1,2,6,4,3,3,10,0,10
Persikabo 1973 - PSM 0:1,Indonesia. Liga 1,2023-03-09,GK,101,0,0.73,4,4,2,0,4,4,1,1,9,0,9
PSM - Persis Solo 3:2,Indonesia. Liga 1,2023-03-05,GK,98,2,1.32,2,0,0,2,0,0,2,2,11,1,10
PSM - Dewa United 2:0,Indonesia. Liga 1,2023-03-01,GK,96,0,0.02,1,1,0,3,3,2,3,3,8,0,8
Persebaya Surabaya - PSM 0:1,Indonesia. Liga 1,2023-02-24,GK,95,0,0.56,2,2,2,1,8,8,2,1,11,0,11
PSM - Persik Kediri 2:1,Indonesia. Liga 1,2023-02-19,GK,98,1,0.26,3,2,1,1,4,2,2,2,5,2,3
Persib - PSM 1:2,Indonesia. Liga 1,2023-02-14,GK,102,1,0.69,2,1,1,4,7,6,1,1,6,0,6
