Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
PSIS Semarang - PSS Sleman 1:2,Indonesia. Liga 1,2025-05-09,GK,101,1,0.72,5,4,1,2,5,2,3,3,11,3,8
PSS Sleman - PSM 3:1,Indonesia. Liga 1,2025-05-03,GK,103,1,0.86,3,2,1,3,0,0,12,12,13,3,10
Persib - PSS Sleman 3:0,Indonesia. Liga 1,2025-04-26,GK,99,3,3.47,8,5,4,0,2,2,9,9,9,7,2
PSS Sleman - Dewa United 0:1,Indonesia. Liga 1,2025-04-17,GK,112,1,1.73,6,5,4,0,4,4,12,12,3,2,1
PSBS Biak Numfor - PSS Sleman 2:1,Indonesia. Liga 1,2025-04-11,GK,100,2,3.35,9,7,6,2,1,1,5,5,11,3,8
PSS Sleman - Persis Solo 1:4,Indonesia. Liga 1,2025-03-11,GK,105,4,3.11,9,5,4,2,4,2,8,8,9,3,6
Persita - PSS Sleman 1:2,Indonesia. Liga 1,2025-03-07,GK,99,1,2.1,8,7,3,1,3,3,3,3,11,3,8
PSS Sleman - Barito Putera 1:2,Indonesia. Liga 1,2025-03-03,GK,100,2,2.56,6,4,2,0,2,2,9,9,5,5,0
Malut United FC - PSS Sleman 1:0,Indonesia. Liga 1,2025-02-23,GK,97,1,1.13,5,4,2,2,2,2,6,6,6,4,2
Arema - PSS Sleman 6:2,Indonesia. Liga 1,2025-02-17,GK,110,5,3.28,10,5,3,2,3,1,5,5,2,2,0
PSS Sleman - Bali United 1:2,Indonesia. Liga 1,2025-02-09,GK,101,2,1.0,2,0,0,1,1,0,7,7,2,2,0
Borneo FC - PSS Sleman 1:0,Indonesia. Liga 1,2025-02-02,GK,72,1,0.57,4,3,2,1,1,0,3,2,4,0,4
PSS Sleman - Semen Padang 2:4,Indonesia. Liga 1,2025-01-26,GK,106,4,1.75,8,4,3,0,2,1,7,7,9,2,7
Persik Kediri - PSS Sleman 0:0,Indonesia. Liga 1,2025-01-19,GK,102,0,0.32,1,1,0,0,2,1,3,3,9,0,9
PSS Sleman - Persebaya Surabaya 3:1,Indonesia. Liga 1,2025-01-11,GK,102,1,1.66,6,5,5,1,4,3,5,5,6,1,5
PSS Sleman - Madura United 4:0,Indonesia. Liga 1,2024-12-27,GK,102,0,1.64,6,6,4,2,2,1,4,4,4,1,3
Persija - PSS Sleman 3:1,Indonesia. Liga 1,2024-12-21,GK,95,2,1.7,5,3,1,4,6,1,3,3,16,0,16
PSS Sleman - PSIS Semarang 2:1,Indonesia. Liga 1,2024-12-17,GK,99,1,0.92,2,1,1,3,0,0,11,11,5,1,4
PSM - PSS Sleman 1:1,Indonesia. Liga 1,2024-12-13,GK,71,1,1.35,5,4,3,0,1,1,7,7,6,2,4
PSS Sleman - Persib 1:2,Indonesia. Liga 1,2024-12-09,GK,102,2,0.86,4,2,0,2,8,5,10,10,13,3,10
Dewa United - PSS Sleman 2:1,Indonesia. Liga 1,2024-12-03,GK,103,2,2.99,14,12,8,0,1,1,8,8,9,7,2
PSS Sleman - PSBS Biak Numfor 0:1,Indonesia. Liga 1,2024-11-22,GK,98,1,0.92,5,4,1,1,3,2,12,11,14,7,7
Persis Solo - PSS Sleman 0:2,Indonesia. Liga 1,2024-11-03,GK,101,0,1.09,6,6,3,3,2,1,4,4,8,2,6
PSS Sleman - Persita 1:2,Indonesia. Liga 1,2024-10-27,GK,102,2,0.09,4,2,0,0,0,0,6,6,5,4,1
Barito Putera - PSS Sleman 0:3,Indonesia. Liga 1,2024-10-20,GK,103,0,0.01,2,2,0,3,3,1,6,6,13,1,12
PSS Sleman - Malut United FC 0:1,Indonesia. Liga 1,2024-09-26,GK,101,1,1.62,4,3,2,1,1,0,7,7,11,8,3
PSS Sleman - Arema 3:1,Indonesia. Liga 1,2024-09-20,GK,101,1,2.4,5,4,2,5,7,4,7,7,11,2,9
Bali United - PSS Sleman 0:0,Indonesia. Liga 1,2024-09-16,GK,104,0,0.83,4,4,2,0,7,4,10,10,17,1,16
PSS Sleman - Borneo FC 1:1,Indonesia. Liga 1,2024-09-12,GK,109,1,1.23,5,4,3,1,2,1,10,9,8,5,3
PSS Sleman - Persik Kediri 0:2,Indonesia. Liga 1,2024-08-19,GK,104,2,1.5,7,5,2,1,7,4,17,16,6,3,3
Persebaya Surabaya - PSS Sleman 1:0,Indonesia. Liga 1,2024-08-11,GK,104,1,1.81,8,7,5,4,6,5,4,4,9,1,8
Paysandu - EC São José 1:1,Brazil. Serie C,2023-06-04,GK,106,1,0.2,3,2,0,4,2,0,15,14,13,9,4
Ponte Preta - XV de Piracicaba 2:0,Brazil. Paulista A2,2023-04-01,GK,96,2,2.33,7,5,3,2,3,3,9,8,10,3,7
XV de Piracicaba - Ponte Preta 0:3,Brazil. Paulista A2,2023-03-25,GK,105,3,3.25,11,8,3,4,6,3,4,4,10,3,7
XV de Piracicaba - Portuguesa Santista 0:0,Brazil. Paulista A2,2023-03-23,GK,104,0,0.63,6,6,3,3,5,3,1,1,4,0,4
Portuguesa Santista - XV de Piracicaba 1:2,Brazil. Paulista A2,2023-03-18,GK,106,1,2.42,8,7,4,4,7,4,4,4,16,0,16
XV de Piracicaba - Velo Clube 1:0,Brazil. Paulista A2,2023-03-11,GK,104,0,1.37,4,4,2,2,6,6,13,12,7,0,7
XV de Piracicaba - Comercial 1:0,Brazil. Paulista A2,2023-03-02,GK,99,0,0.03,1,1,0,1,6,2,10,9,4,1,3
XV de Piracicaba - Monte Azul 1:0,Brazil. Paulista A2,2023-02-25,GK,98,0,0.36,2,2,0,0,3,2,12,12,7,2,5
XV de Piracicaba - EC Lemense 1:1,Brazil. Paulista A2,2023-02-16,GK,104,1,0.74,1,0,0,1,3,3,16,16,5,5,0
