Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persik Kediri - Persebaya Surabaya 3:3,Indonesia. Liga 1,2025-05-05,GK,102,3,1.31,5,2,0,1,8,5,3,3,10,0,10
Persebaya Surabaya - Persib 4:1,Indonesia. Liga 1,2025-03-01,0,5,0,0.53,2,2,2,0,1,1,0,0,0,0,0
Persebaya Surabaya - Persita 1:1,Indonesia. Liga 1,2025-01-31,GK,9,0,0.0,0,0,0,0,0,0,1,1,1,0,1
Persebaya Surabaya - Malut United FC 0:2,Indonesia. Liga 1,2025-01-17,GK,97,2,1.76,9,7,3,2,1,1,5,4,13,10,3
Madura United - Persebaya Surabaya 1:2,Indonesia. Liga 1,2024-12-02,GK,102,1,0.8,3,2,0,0,2,2,4,3,10,4,6
Persebaya Surabaya - Persija 2:1,Indonesia. Liga 1,2024-11-22,GK,103,1,0.95,4,3,0,1,4,3,8,8,10,4,6
PSIS Semarang - Persebaya Surabaya 0:1,Indonesia. Liga 1,2024-11-02,GK,99,0,0.87,5,5,3,1,6,2,6,6,8,2,6
Persib - Persebaya Surabaya 2:0,Indonesia. Liga 1,2024-10-18,GK,101,2,0.7,2,0,0,0,3,3,11,9,1,0,1
Persebaya Surabaya - Dewa United 0:0,Indonesia. Liga 1,2024-09-27,GK,101,0,0.62,1,1,1,2,6,3,9,9,9,5,4
PSBS Biak Numfor - Persebaya Surabaya 0:1,Indonesia. Liga 1,2024-09-22,GK,100,0,1.48,5,5,3,2,8,5,4,3,11,6,5
Persebaya Surabaya - Persis Solo 2:1,Indonesia. Liga 1,2024-09-18,GK,100,1,1.11,5,4,1,0,2,0,7,7,11,4,7
Persebaya Surabaya - Persik Kediri 2:1,Indonesia. Liga 1,2024-04-28,GK,101,1,1.27,5,4,4,0,3,1,8,8,8,2,6
Persebaya Surabaya - Bali United 0:2,Indonesia. Liga 1,2024-04-24,GK,98,2,1.88,5,3,3,0,1,0,11,11,8,4,4
