Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persebaya Surabaya - Semen Padang 1:1,Indonesia. Liga 1,2025-05-11,GK,101,1,0.87,3,2,1,0,4,2,3,3,6,1,5
Arema - Persebaya Surabaya 1:1,Indonesia. Liga 1,2025-04-28,GK,98,1,2.29,5,4,3,3,5,3,5,5,12,5,7
Persebaya Surabaya - Madura United 1:0,Indonesia. Liga 1,2025-04-20,GK,107,0,0.11,2,2,0,4,10,6,9,9,3,1,2
Persija - Persebaya Surabaya 1:1,Indonesia. Liga 1,2025-04-12,GK,105,1,1.29,5,4,2,0,6,4,7,7,14,5,9
Persebaya Surabaya - PSIS Semarang 1:1,Indonesia. Liga 1,2025-03-12,GK,100,1,1.75,4,3,2,2,4,1,13,13,12,4,8
PSM - Persebaya Surabaya 0:1,Indonesia. Liga 1,2025-03-07,GK,98,0,0.49,4,4,2,5,11,5,6,5,11,2,9
Persebaya Surabaya - Persib 4:1,Indonesia. Liga 1,2025-03-01,GK,97,1,0.79,3,2,1,4,1,1,6,6,1,1,0
Dewa United - Persebaya Surabaya 2:0,Indonesia. Liga 1,2025-02-21,GK,95,2,2.5,6,4,3,1,10,6,14,14,6,5,1
Persebaya Surabaya - PSBS Biak Numfor 1:0,Indonesia. Liga 1,2025-02-15,GK,99,0,0.52,2,2,2,2,7,3,6,5,13,4,9
Persis Solo - Persebaya Surabaya 2:1,Indonesia. Liga 1,2025-02-07,GK,101,2,1.96,9,7,3,0,9,5,6,6,11,1,10
Persebaya Surabaya - Persita 1:1,Indonesia. Liga 1,2025-01-31,GK,91,1,0.5,2,1,1,1,0,0,10,10,7,7,0
Barito Putera - Persebaya Surabaya 3:0,Indonesia. Liga 1,2025-01-25,GK,101,3,2.85,9,6,4,1,2,0,11,11,4,3,1
