Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persija - Arema 1:3,Indonesia. Liga 1,2025-03-09,GK,22,0,0.86,3,3,3,1,3,0,0,0,2,1,1
PSM - Persija 1:0,Indonesia. Liga 1,2025-02-23,GK,102,1,0.33,2,1,1,1,6,4,11,11,12,5,7
Persija - Persib 2:2,Indonesia. Liga 1,2025-02-16,GK,104,2,0.49,3,1,1,2,6,5,10,10,3,2,1
Dewa United - Persija 2:1,Indonesia. Liga 1,2025-02-08,GK,29,2,1.62,2,0,0,1,4,1,0,0,1,0,1
Persija - PSBS Biak Numfor 2:2,Indonesia. Liga 1,2025-02-02,GK,113,2,0.71,3,1,0,0,2,1,8,8,4,2,2
Persis Solo - Persija 3:3,Indonesia. Liga 1,2025-01-26,GK,99,3,1.98,8,5,2,2,7,4,8,8,7,2,5
Persija - Persita 2:0,Indonesia. Liga 1,2025-01-19,GK,99,0,0.97,3,3,2,0,3,2,8,8,5,3,2
Barito Putera - Persija 2:3,Indonesia. Liga 1,2025-01-10,GK,96,2,2.15,7,5,3,1,3,2,16,15,3,3,0
Malut United FC - Persija 0:1,Indonesia. Liga 1,2024-12-28,GK,101,0,0.08,2,2,0,1,10,8,9,8,8,1,7
Persija - PSS Sleman 3:1,Indonesia. Liga 1,2024-12-21,GK,113,1,1.56,6,5,3,1,7,5,7,7,6,4,2
Bali United - Persija 3:1,Indonesia. Liga 1,2024-12-15,GK,60,1,0.86,1,0,0,0,1,1,1,1,4,3,1
Persija - Borneo FC 1:1,Indonesia. Liga 1,2024-12-10,GK,108,1,1.89,6,5,3,0,9,4,4,4,11,3,8
Persija - Persik Kediri 2:0,Indonesia. Liga 1,2024-12-01,GK,99,0,0.54,4,4,1,1,7,4,14,14,10,8,2
Persebaya Surabaya - Persija 2:1,Indonesia. Liga 1,2024-11-22,GK,103,2,2.5,5,3,3,2,2,2,7,7,6,6,0
Persija - Madura United 4:1,Indonesia. Liga 1,2024-11-06,GK,107,1,0.95,4,3,2,0,8,4,8,8,9,6,3
Arema - Persija 1:2,Indonesia. Liga 1,2024-10-26,GK,99,1,1.63,3,2,2,2,10,7,8,8,7,2,5
PSIS Semarang - Persija 0:2,Indonesia. Liga 1,2024-10-17,GK,98,0,0.27,1,1,0,1,2,2,13,13,3,3,0
Persija - PSM 1:1,Indonesia. Liga 1,2024-09-29,GK,102,1,1.3,5,4,3,2,4,1,34,31,8,5,3
Persija - Barito Putera 3:0,Indonesia. Liga 1,2024-08-10,GK,100,0,0.29,4,4,1,2,7,5,7,7,8,5,3
Borneo FC - Persija 2:1,Indonesia. Piala Presiden,2024-07-30,GK,107,2,1.56,5,3,1,1,16,9,14,14,13,12,1
Persija - Arema 2:2,Indonesia. Piala Presiden,2024-07-24,GK,103,2,1.02,6,4,1,2,3,1,17,16,10,7,3
