Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
PSS Sleman - Persija 2:1,Indonesia. Liga 1,2025-05-17,GK,151,2,1.79,5,3,2,2,2,1,3,3,5,2,3
Persija - Bali United 3:0,Indonesia. Liga 1,2025-05-10,GK,101,0,0.36,4,4,2,2,5,4,7,7,5,0,5
Borneo FC - Persija 1:0,Indonesia. Liga 1,2025-05-04,GK,98,1,1.51,9,8,7,2,1,1,9,7,10,5,5
Persija - Semen Padang 0:2,Indonesia. Liga 1,2025-04-27,GK,97,2,1.47,4,2,0,1,0,0,12,12,9,8,1
Persik Kediri - Persija 0:1,Indonesia. Liga 1,2025-04-19,GK,102,0,0.36,3,3,2,1,3,2,6,6,11,6,5
Persija - Persebaya Surabaya 1:1,Indonesia. Liga 1,2025-04-12,GK,105,1,0.58,3,2,1,1,2,0,10,10,2,2,0
Persija - Arema 1:3,Indonesia. Liga 1,2025-03-09,GK,87,3,1.78,10,7,3,0,6,0,3,3,13,2,11
Persija - PSIS Semarang 2:0,Indonesia. Liga 1,2025-03-05,GK,101,0,1.2,5,5,5,3,3,1,7,7,5,4,1
Dewa United - Persija 2:1,Indonesia. Liga 1,2025-02-08,GK,76,0,1.05,4,4,3,1,4,4,5,5,3,0,3
Bali United - Persija 3:1,Indonesia. Liga 1,2024-12-15,GK,50,2,0.96,4,2,2,1,1,0,4,3,3,1,2
Semen Padang - Persija 0:1,Indonesia. Liga 1,2024-12-06,GK,98,0,1.04,4,4,2,1,5,0,5,5,7,2,5
Persib - Persija 2:0,Indonesia. Liga 1,2024-09-23,GK,100,2,1.5,6,4,3,0,7,3,8,7,9,4,5
Persija - Dewa United 0:0,Indonesia. Liga 1,2024-09-16,GK,100,0,0.37,4,4,2,1,1,1,12,11,5,4,1
PSBS Biak Numfor - Persija 3:1,Indonesia. Liga 1,2024-09-12,GK,100,3,1.54,8,5,3,3,8,4,20,20,2,2,0
Persija - Persis Solo 2:1,Indonesia. Liga 1,2024-08-24,GK,106,1,2.96,8,7,5,0,6,5,16,16,4,1,3
Persita - Persija 0:0,Indonesia. Liga 1,2024-08-18,GK,101,0,0.06,3,3,0,2,2,1,18,18,2,2,0
ABC - CSA 0:2,Brazil. Serie C,2024-07-07,GK,101,2,1.84,4,2,0,0,2,1,19,19,6,5,1
ABC - Náutico 0:3,Brazil. Serie C,2024-04-27,GK,104,3,2.11,6,3,2,0,5,4,11,11,5,5,0
Ferroviária - ABC 1:1,Brazil. Serie C,2024-04-23,GK,98,1,0.81,1,0,0,2,7,4,10,10,11,6,5
Ríver - ABC 0:1,Brazil. Copa do Nordeste,2024-03-28,GK,99,0,0.84,4,4,2,0,8,5,6,6,15,10,5
ABC - Sport Recife 0:2,Brazil. Copa do Nordeste,2024-03-24,GK,105,2,0.86,4,2,1,0,4,4,11,11,12,9,3
América RN - ABC 1:0,Brazil. Copa do Nordeste,2024-03-20,GK,97,1,0.61,3,2,1,2,8,5,10,10,14,11,3
ABC - Brusque 1:1 (P),Brazil. Copa do Brasil,2024-03-13,GK,100,1,2.58,5,4,2,2,7,4,8,8,7,5,2
ABC - CRB 2:2,Brazil. Copa do Nordeste,2024-03-07,GK,102,2,1.5,6,4,3,0,7,4,3,3,9,2,7
Ceará - ABC 2:2,Brazil. Copa do Nordeste,2024-02-29,GK,101,2,2.87,8,6,4,0,7,5,3,3,12,1,11
Treze - ABC 1:1,Brazil. Copa do Brasil,2024-02-21,GK,104,1,1.91,8,7,5,2,9,9,7,6,13,2,11
Vitória - ABC 3:1,Brazil. Copa do Nordeste,2024-02-10,GK,101,3,2.55,8,5,2,0,7,5,20,20,8,6,2
ABC - Maranhão 2:2,Brazil. Copa do Nordeste,2024-02-04,GK,101,2,1.69,7,5,2,1,11,8,14,14,5,5,0
Santo André - Inter de Limeira 0:0 (P),Brazil. Paulista A1,2023-03-11,GK,100,0,0.01,1,1,0,0,7,5,6,6,3,0,3
Corinthians - Santo André 3:1,Brazil. Paulista A1,2023-03-04,GK,100,3,1.73,5,2,1,0,0,0,4,4,9,7,2
Santo André - Mirassol 0:1,Brazil. Paulista A1,2023-02-28,GK,52,0,0.0,0,0,0,2,1,1,5,5,4,4,0
Ituano - Sport Recife 4:1,Brazil. Serie B,2022-08-10,GK,99,4,1.7,5,1,1,0,4,2,10,10,1,1,0
Sport Recife - Criciúma 1:1,Brazil. Serie B,2022-08-03,GK,99,1,0.83,4,3,1,2,5,5,8,8,5,5,0
Sport Recife - Guarani 2:1,Brazil. Serie B,2022-07-29,GK,103,1,0.08,3,2,0,5,0,0,18,18,4,1,3
Sampaio Corrêa - Sport Recife 4:1,Brazil. Serie B,2022-07-23,GK,96,4,2.55,7,3,1,0,1,1,20,20,9,8,1
Sport Recife - Afogados 1:1,Brazil. Pernambucano 1,2022-02-13,GK,100,1,0.88,2,1,0,1,0,0,7,6,4,4,0
Sport Recife - Athletico Paranaense 1:1,Brazil. Serie A,2021-12-10,GK,96,1,0.62,3,2,0,0,2,2,17,17,1,1,0
Sport Recife - Central 2:0,Brazil. Pernambucano 1,2021-03-28,GK,54,0,0.09,3,3,0,0,8,7,7,7,2,2,0
Sport Recife - Confiança 0:1,Brazil. Copa do Nordeste,2021-03-23,GK,100,1,2.44,4,3,1,0,0,0,10,10,6,3,3
Bahia - Sport Recife 4:0,Brazil. Copa do Nordeste,2021-03-20,GK,96,4,4.66,10,6,4,0,7,4,6,5,8,1,7
CRB - Sport Recife 2:0,Brazil. Copa do Nordeste,2021-03-06,GK,93,2,1.68,5,3,3,2,0,0,2,2,13,3,10
Vera Cruz - Sport Recife 1:3,Brazil. Pernambucano 1,2021-02-24,GK,97,1,0.0,1,0,0,1,1,0,5,5,7,3,4
Ponte Preta - Brasil de Pelotas 4:0,Brazil. Serie B,2019-11-26,GK,96,4,1.94,4,0,0,2,4,1,7,7,5,1,4
Brasil de Pelotas - Atlético GO 2:2,Brazil. Serie B,2019-11-22,GK,101,2,2.98,11,9,4,6,10,6,5,5,8,1,7
São Bento - Brasil de Pelotas 3:1,Brazil. Serie B,2019-11-17,GK,95,3,1.06,5,2,1,1,5,3,4,4,15,3,12
Brasil de Pelotas - Coritiba 0:2,Brazil. Serie B,2019-11-12,GK,95,2,2.03,5,3,2,0,4,3,13,13,4,1,3
Brasil de Pelotas - Oeste 2:2,Brazil. Serie B,2019-11-09,GK,105,2,0.61,3,1,1,1,6,4,11,11,8,5,3
Vitória - Brasil de Pelotas 3:0,Brazil. Serie B,2019-11-06,GK,95,3,1.49,6,3,1,0,2,1,9,9,17,4,13
Vila Nova - Brasil de Pelotas 0:2,Brazil. Serie B,2019-10-29,GK,97,0,0.46,4,4,1,1,13,8,12,11,6,0,6
Brasil de Pelotas - Cuiabá 0:0,Brazil. Serie B,2019-10-26,GK,98,0,1.02,3,3,2,1,4,2,4,4,9,0,9
Brasil de Pelotas - Sport Recife 0:0,Brazil. Serie B,2019-10-20,GK,99,0,0.11,1,1,1,4,10,7,0,0,7,0,7
Paraná - Brasil de Pelotas 1:0,Brazil. Serie B,2019-10-16,GK,98,1,0.63,2,1,1,2,5,4,9,9,10,1,9
Brasil de Pelotas - Botafogo SP 1:0,Brazil. Serie B,2019-10-12,GK,96,0,0.02,1,1,0,1,12,7,4,4,9,0,9
Operário PR - Brasil de Pelotas 1:2,Brazil. Serie B,2019-10-06,GK,97,1,1.84,5,4,2,0,3,1,5,5,13,0,13
Brasil de Pelotas - Guarani 0:0,Brazil. Serie B,2019-09-28,GK,97,0,0.69,1,1,1,1,4,3,3,3,4,1,3
América Mineiro - Brasil de Pelotas 2:0,Brazil. Serie B,2019-09-25,GK,97,2,2.11,8,6,2,0,5,4,12,12,11,6,5
Brasil de Pelotas - Figueirense 2:2,Brazil. Serie B,2019-09-20,GK,101,2,2.33,9,7,4,0,9,6,6,6,6,0,6
CRB - Brasil de Pelotas 3:1,Brazil. Serie B,2019-09-10,GK,96,3,2.69,6,3,1,1,3,1,9,8,13,7,6
Brasil de Pelotas - Londrina 1:0,Brazil. Serie B,2019-09-04,GK,98,0,0.28,2,2,1,0,11,7,4,4,9,0,9
Bragantino - Brasil de Pelotas 2:1,Brazil. Serie B,2019-09-01,GK,97,2,1.24,7,5,1,1,6,4,2,2,15,2,13
Brasil de Pelotas - Ponte Preta 1:0,Brazil. Serie B,2019-08-28,GK,97,0,0.77,4,4,3,3,4,4,6,6,7,0,7
Atlético GO - Brasil de Pelotas 0:0,Brazil. Serie B,2019-08-24,GK,100,0,0.89,6,6,3,1,0,0,6,6,15,1,14
Brasil de Pelotas - São Bento 2:1,Brazil. Serie B,2019-08-21,GK,100,1,0.67,1,0,0,2,2,1,9,9,11,5,6
Coritiba - Brasil de Pelotas 2:0,Brazil. Serie B,2019-08-14,GK,98,2,2.08,9,7,5,3,3,2,9,9,8,3,5
Oeste - Brasil de Pelotas 1:1,Brazil. Serie B,2019-08-09,GK,97,1,1.42,5,4,3,1,3,3,6,5,12,4,8
Brasil de Pelotas - Vitória 1:0,Brazil. Serie B,2019-08-03,GK,96,0,0.71,3,3,1,1,2,2,2,1,6,0,6
Brasil de Pelotas - Vila Nova 0:2,Brazil. Serie B,2019-07-31,GK,98,2,1.23,7,5,2,3,4,1,10,10,12,10,2
Cuiabá - Brasil de Pelotas 1:1,Brazil. Serie B,2019-07-28,GK,98,1,1.21,6,5,2,0,7,5,5,5,11,1,10
Sport Recife - Brasil de Pelotas 0:0,Brazil. Serie B,2019-07-23,GK,99,0,1.52,6,6,3,2,7,7,1,1,16,1,15
Brasil de Pelotas - Paraná 0:1,Brazil. Serie B,2019-07-19,GK,98,1,0.82,4,3,2,0,6,5,8,8,6,2,4
Botafogo SP - Brasil de Pelotas 2:3,Brazil. Serie B,2019-07-13,GK,100,2,2.33,6,4,4,4,6,4,1,1,9,0,9
Brasil de Pelotas - Criciúma 0:1,Brazil. Serie B,2019-06-12,GK,95,1,0.53,2,1,0,0,6,6,8,8,8,1,7
Brasil de Pelotas - Operário PR 1:0,Brazil. Serie B,2019-06-08,GK,97,0,0.0,0,0,0,2,2,2,1,1,5,0,5
Guarani - Brasil de Pelotas 1:2,Brazil. Serie B,2019-05-29,GK,98,1,1.21,7,6,3,1,9,4,5,5,9,0,9
Brasil de Pelotas - América Mineiro 2:1,Brazil. Serie B,2019-05-26,GK,97,1,0.95,3,2,0,1,13,8,5,5,7,1,6
Figueirense - Brasil de Pelotas 1:0,Brazil. Serie B,2019-05-15,GK,95,1,0.89,3,2,0,1,10,8,4,4,9,0,9
Brasil de Pelotas - CRB 0:2,Brazil. Serie B,2019-05-12,GK,98,2,1.3,5,3,0,0,12,8,9,9,2,0,2
Londrina - Brasil de Pelotas 1:0,Brazil. Serie B,2019-05-04,GK,96,1,0.72,3,2,2,0,3,2,7,6,3,0,3
Brasil de Pelotas - Bragantino 0:1,Brazil. Serie B,2019-04-27,GK,98,1,1.47,5,4,2,0,11,8,2,2,12,1,11
Avaí - Brasil de Pelotas 2:0,Brazil. Copa do Brasil,2019-03-07,GK,100,2,1.26,4,2,1,0,7,5,6,6,10,1,9
EC São José - Brasil de Pelotas 1:3,Brazil. Gaúcho 1,2019-02-26,GK,96,1,0.4,5,4,1,1,8,3,1,1,2,0,2
Brasil de Pelotas - Grêmio 0:0,Brazil. Gaúcho 1,2019-02-17,GK,96,0,0.51,4,4,3,0,4,4,0,0,9,0,9
