Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persik Kediri - Persija 0:1,Indonesia. Liga 1,2025-04-19,GK,102,1,0.91,2,1,1,2,3,2,13,13,7,6,1
Persik Kediri - Barito Putera 1:1,Indonesia. Liga 1,2025-01-31,GK,101,1,0.32,4,3,1,3,1,0,11,10,6,5,1
Malut United FC - Persik Kediri 2:1,Indonesia. Liga 1,2025-01-25,GK,100,2,1.84,3,1,1,3,3,2,8,8,4,4,0
Persik Kediri - PSS Sleman 0:0,Indonesia. Liga 1,2025-01-19,GK,102,0,0.27,4,4,1,2,7,5,4,2,6,4,2
Bali United - Persik Kediri 1:3,Indonesia. Liga 1,2025-01-12,GK,103,1,1.8,6,5,4,1,4,1,10,9,15,1,14
Persikabo 1973 - Bali United 3:2,Indonesia. Liga 1,2024-04-15,GK,99,2,2.54,7,5,4,3,4,2,12,12,8,4,4
Dewa United - Persikabo 1973 2:1,Indonesia. Liga 1,2024-03-07,GK,97,2,1.37,7,5,4,0,2,1,12,11,13,6,7
Persikabo 1973 - Arema 0:1,Indonesia. Liga 1,2024-03-01,GK,98,1,0.81,5,4,1,1,1,0,14,11,9,7,2
Madura United - Persikabo 1973 3:2,Indonesia. Liga 1,2024-02-26,GK,103,3,3.21,11,8,4,2,3,2,9,8,13,4,9
Persikabo 1973 - Borneo FC 2:3,Indonesia. Liga 1,2024-02-22,GK,97,3,2.93,6,3,2,0,5,3,7,7,10,8,2
Persikabo 1973 - Persebaya Surabaya 1:1,Indonesia. Liga 1,2023-12-17,GK,97,1,0.4,4,3,2,1,1,0,5,5,5,4,1
Persita - Persikabo 1973 2:1,Indonesia. Liga 1,2023-12-10,GK,96,2,0.91,4,2,2,3,3,0,10,9,8,5,3
Persikabo 1973 - Bhayangkara F.C. 2:2,Indonesia. Liga 1,2023-12-03,GK,101,2,2.27,6,4,2,3,2,1,6,6,10,7,3
Persikabo 1973 - Persik Kediri 2:3,Indonesia. Liga 1,2023-09-23,GK,99,3,2.09,6,3,2,1,2,2,11,9,10,8,2
Persib - Persikabo 1973 2:0,Indonesia. Liga 1,2023-09-16,GK,97,2,1.13,4,2,2,0,0,0,9,9,5,5,0
Arema - Persikabo 1973 1:0,Indonesia. Liga 1,2023-08-28,GK,95,1,2.83,7,6,3,1,1,0,16,16,5,5,0
Persikabo 1973 - Madura United 0:3,Indonesia. Liga 1,2023-08-19,GK,98,3,2.23,9,6,5,0,6,2,13,11,4,1,3
Persikabo 1973 - PSS Sleman 2:3,Indonesia. Liga 1,2023-08-08,GK,101,3,1.83,5,2,0,1,6,3,10,10,9,3,6
Persebaya Surabaya - Persikabo 1973 1:2,Indonesia. Liga 1,2023-08-04,GK,100,1,2.85,7,6,5,4,8,3,2,2,14,0,14
Persikabo 1973 - Persita 2:2,Indonesia. Liga 1,2023-07-28,GK,101,2,2.25,5,3,3,2,6,3,11,10,11,3,8
Bhayangkara F.C. - Persikabo 1973 1:3,Indonesia. Liga 1,2023-07-22,GK,99,1,0.81,3,2,1,4,2,1,13,13,5,1,4
