Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Arema - Persik Kediri 0:3,Indonesia. Liga 1,2025-05-11,GK,102,0,0.17,3,3,2,1,3,1,2,2,10,2,8
Persik Kediri - Persebaya Surabaya 3:3,Indonesia. Liga 1,2025-05-05,GK,102,3,1.49,8,5,5,1,8,5,6,6,8,2,6
Madura United - Persik Kediri 2:1,Indonesia. Liga 1,2025-04-28,GK,99,2,1.36,3,1,1,1,1,0,6,6,4,2,2
PSIS Semarang - Persik Kediri 0:0,Indonesia. Liga 1,2025-04-11,GK,95,0,0.42,5,5,3,0,3,1,9,9,10,2,8
Persik Kediri - PSM 2:2,Indonesia. Liga 1,2025-03-11,GK,100,2,0.67,4,2,2,4,5,2,15,15,11,6,5
Persib - Persik Kediri 4:1,Indonesia. Liga 1,2025-03-05,GK,104,4,2.7,11,7,5,2,2,2,11,10,6,3,3
Persik Kediri - Dewa United 1:2,Indonesia. Liga 1,2025-03-01,GK,99,2,0.68,4,2,2,0,3,1,12,11,3,3,0
PSBS Biak Numfor - Persik Kediri 1:1,Indonesia. Liga 1,2025-02-21,GK,100,1,2.65,9,8,7,2,7,2,8,8,14,9,5
Persik Kediri - Persis Solo 0:0,Indonesia. Liga 1,2025-02-14,GK,115,0,0.09,2,2,1,1,6,2,1,1,6,2,4
Persita - Persik Kediri 1:0,Indonesia. Liga 1,2025-02-07,GK,104,0,0.19,3,3,2,0,1,0,5,5,2,2,0
Borneo FC - Persik Kediri 0:4,Indonesia. Liga 1,2024-12-27,GK,104,0,1.0,9,9,3,2,5,1,5,5,7,5,2
Persik Kediri - Semen Padang 3:1,Indonesia. Liga 1,2024-12-21,GK,101,1,0.75,1,0,0,0,0,0,8,8,2,1,1
Persik Kediri - Arema 1:0,Indonesia. Liga 1,2024-12-16,GK,100,0,0.54,2,2,1,0,6,1,8,8,6,1,5
Persebaya Surabaya - Persik Kediri 4:1,Indonesia. Liga 1,2024-12-11,GK,98,4,2.79,7,3,1,0,1,1,7,6,4,2,2
Persik Kediri - Madura United 1:0,Indonesia. Liga 1,2024-12-06,GK,100,0,0.39,4,4,0,1,5,4,5,5,8,2,6
Persija - Persik Kediri 2:0,Indonesia. Liga 1,2024-12-01,GK,99,2,1.64,2,0,0,1,5,4,9,9,5,1,4
Persik Kediri - PSIS Semarang 0:1,Indonesia. Liga 1,2024-11-23,GK,101,1,1.39,4,3,1,0,3,1,9,9,5,3,2
PSM - Persik Kediri 1:1,Indonesia. Liga 1,2024-11-04,GK,101,1,1.95,6,5,4,4,6,3,5,5,12,1,11
Persik Kediri - Persib 0:2,Indonesia. Liga 1,2024-10-28,GK,100,2,1.85,4,2,2,2,0,0,9,9,1,1,0
Dewa United - Persik Kediri 2:3,Indonesia. Liga 1,2024-10-17,GK,101,2,1.36,4,2,1,5,3,2,8,8,14,11,3
Persik Kediri - PSBS Biak Numfor 0:1,Indonesia. Liga 1,2024-09-28,GK,100,1,0.88,3,2,2,0,1,1,9,9,6,6,0
Persis Solo - Persik Kediri 0:1,Indonesia. Liga 1,2024-09-23,GK,99,0,0.71,8,8,4,2,4,0,4,3,11,3,8
Barito Putera - Persik Kediri 2:2,Indonesia. Liga 1,2024-09-14,GK,103,2,2.46,7,5,3,0,5,4,9,9,7,3,4
Persik Kediri - Malut United FC 0:0,Indonesia. Liga 1,2024-08-25,GK,101,0,0.74,3,3,3,3,4,2,6,6,3,2,1
PSS Sleman - Persik Kediri 0:2,Indonesia. Liga 1,2024-08-19,GK,104,0,0.49,3,3,1,6,12,6,4,3,7,1,6
Persik Kediri - Bali United 1:3,Indonesia. Liga 1,2024-08-11,GK,105,3,0.78,4,1,1,1,6,3,7,7,8,5,3
Tondela - Benfica II 1:1,Portugal. Segunda Liga,2024-04-28,GK,96,1,1.55,5,4,1,1,5,3,16,15,12,7,5
Santa Clara - Tondela 1:0,Portugal. Segunda Liga,2024-04-20,GK,104,1,1.59,4,3,3,1,5,4,11,11,3,2,1
Tondela - Penafiel 0:1,Portugal. Segunda Liga,2024-04-13,GK,97,1,0.92,1,0,0,3,2,0,14,12,12,8,4
Feirense - Tondela 1:3,Portugal. Segunda Liga,2024-04-06,GK,102,1,1.78,3,2,1,0,4,3,16,16,4,3,1
Tondela - Vilaverdense 1:0,Portugal. Segunda Liga,2024-03-29,GK,100,0,0.29,4,4,3,4,8,5,17,17,7,5,2
Torreense - Tondela 0:1,Portugal. Segunda Liga,2024-03-15,GK,97,0,0.61,3,3,1,3,6,4,3,3,4,3,1
Sporting CP - Tondela 4:0,Portugal. Taça de Portugal,2024-01-09,GK,94,4,4.25,11,7,5,2,15,12,10,8,9,5,4
Feirense - Torreense 4:1,Portugal. Segunda Liga,2023-05-26,GK,94,4,2.48,5,1,1,2,3,1,6,6,8,7,1
Sporting Covilhã - Alverca 2:0,Portugal. Play-offs 2/3,2022-05-29,GK,97,0,0.98,5,5,4,2,11,4,4,4,19,0,19
Alverca - Sporting Covilhã 0:0,Portugal. Play-offs 2/3,2022-05-21,GK,94,0,0.21,2,2,1,1,4,3,1,1,6,0,6
Estrela - Sporting Covilhã 0:1,Portugal. Segunda Liga,2022-05-15,GK,98,0,0.0,0,0,0,2,4,4,5,5,17,7,10
Sporting Covilhã - Rio Ave 0:1,Portugal. Segunda Liga,2022-05-07,GK,98,1,0.98,3,2,2,3,9,7,12,11,9,3,6
Varzim - Sporting Covilhã 0:2,Portugal. Segunda Liga,2022-04-30,GK,98,0,0.49,3,3,2,4,5,3,9,9,9,1,8
Sporting Covilhã - Leixões 1:1,Portugal. Segunda Liga,2022-04-24,GK,99,1,1.38,2,1,1,0,8,4,3,3,9,3,6
Chaves - Sporting Covilhã 1:0,Portugal. Segunda Liga,2022-04-15,GK,97,1,0.85,4,3,1,1,4,3,4,4,10,3,7
Sporting Covilhã - Académica 2:0,Portugal. Segunda Liga,2022-04-10,GK,93,0,0.49,4,4,1,3,6,3,12,12,12,4,8
Farense - Sporting Covilhã 1:0,Portugal. Segunda Liga,2022-04-03,GK,93,1,0.39,6,5,2,0,13,7,8,8,14,3,11
Sporting Covilhã - Mafra 2:0,Portugal. Segunda Liga,2022-03-19,GK,98,0,1.07,4,4,1,1,7,4,10,10,11,2,9
Sporting Covilhã - Trofense 2:0,Portugal. Segunda Liga,2022-03-13,GK,97,0,0.0,0,0,0,2,7,5,6,6,18,1,17
Nacional - Sporting Covilhã 1:1,Portugal. Segunda Liga,2022-03-05,GK,95,1,1.07,3,2,2,2,5,3,5,5,15,1,14
Sporting Covilhã - Casa Pia 0:1,Portugal. Segunda Liga,2022-02-26,GK,95,1,1.24,7,6,5,2,5,4,12,11,8,1,7
Penafiel - Sporting Covilhã 1:1,Portugal. Segunda Liga,2022-02-20,GK,98,1,0.87,5,4,2,4,7,6,11,9,13,5,8
Rio Ave - Sporting Covilhã 3:1,Portugal. Segunda Liga,2022-02-02,GK,48,1,0.84,2,1,1,0,6,3,5,5,4,2,2
Sporting Covilhã - Vilafranquense 1:1,Portugal. Segunda Liga,2022-01-30,GK,97,1,0.8,4,3,0,1,5,5,14,13,10,3,7
Academico Viseu - Sporting Covilhã 1:1,Portugal. Segunda Liga,2022-01-24,GK,97,1,2.03,5,4,1,1,8,7,7,7,7,0,7
Sporting Covilhã - Feirense 2:2,Portugal. Segunda Liga,2022-01-18,GK,100,2,1.34,4,2,2,1,4,4,8,8,2,0,2
Sporting Covilhã - Estrela 1:3,Portugal. Segunda Liga,2022-01-09,GK,97,3,2.11,3,0,0,1,8,7,9,9,10,2,8
Sporting Covilhã - Varzim 1:0,Portugal. Segunda Liga,2021-12-20,GK,112,0,0.94,5,5,2,2,6,5,5,5,10,0,10
Benfica - Sporting Covilhã 3:0,Portugal. Taça da Liga,2021-12-15,GK,94,3,1.84,6,3,2,2,9,5,1,1,10,0,10
Leixões - Sporting Covilhã 2:1,Portugal. Segunda Liga,2021-12-11,GK,100,2,0.48,4,2,1,0,8,8,4,4,15,4,11
