Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persis Solo - Bali United 2:2,Indonesia. Liga 1,2025-03-06,GK,104,2,1.38,4,2,1,0,3,2,9,9,4,3,1
Borneo FC - Persis Solo 0:1,Indonesia. Liga 1,2025-03-02,GK,105,0,1.32,4,4,3,4,10,6,7,7,14,6,8
Malut United FC - Persis Solo 3:0,Indonesia. Liga 1,2024-11-21,GK,97,3,2.52,5,2,1,2,2,1,6,5,3,2,1
Persis Solo - Persik Kediri 0:1,Indonesia. Liga 1,2024-09-23,GK,99,1,0.51,3,2,1,0,5,4,11,11,7,7,0
Persebaya Surabaya - Persis Solo 2:1,Indonesia. Liga 1,2024-09-18,GK,100,2,1.83,5,3,2,1,10,8,11,11,7,5,2
Persis Solo - Madura United 4:0,Indonesia. Liga 1,2024-09-13,GK,96,0,0.02,1,1,0,3,5,1,12,12,7,5,2
Persija - Persis Solo 2:1,Indonesia. Liga 1,2024-08-24,GK,106,2,1.89,7,5,3,2,3,2,6,6,10,4,6
Persis Solo - PSM 2:2,Indonesia. Piala Presiden,2024-07-22,GK,57,2,1.26,3,1,1,1,2,0,3,3,5,4,1
Borneo FC - Persis Solo 2:0,Indonesia. Piala Presiden,2024-07-19,GK,53,1,0.55,1,0,0,0,3,2,6,6,2,1,1
Persis Solo - Persita 1:2,Indonesia. Liga 1,2024-04-26,GK,99,2,1.6,4,2,0,0,3,1,13,13,11,10,1
Persis Solo - Persikabo 1973 2:1,Indonesia. Liga 1,2024-04-22,GK,98,1,1.07,3,2,1,4,7,3,12,12,6,6,0
Persija - Persis Solo 1:0,Indonesia. Liga 1,2024-04-17,GK,98,1,1.06,5,4,4,1,5,5,10,10,14,6,8
Persis Solo - Rans Nusantara 2:0,Indonesia. Liga 1,2024-03-30,GK,90,0,0.08,1,1,1,5,5,4,5,4,11,5,6
PSIS Semarang - Persis Solo 0:2,Indonesia. Liga 1,2024-03-17,GK,96,0,0.12,2,2,2,3,7,4,6,6,11,8,3
Persis Solo - Barito Putera 2:1,Indonesia. Liga 1,2024-03-09,GK,96,1,3.46,9,8,7,3,5,3,6,6,8,6,2
Persis Solo - PSM 1:0,Indonesia. Liga 1,2024-03-04,GK,74,0,0.9,7,7,3,3,7,5,2,2,7,3,4
Bali United - Persis Solo 3:2,Indonesia. Liga 1,2024-02-29,GK,100,3,1.51,6,3,1,3,1,1,5,5,11,8,3
Persis Solo - Persik Kediri 2:1,Indonesia. Liga 1,2024-02-24,GK,99,1,0.8,4,3,2,3,8,4,8,7,14,13,1
Persib - Persis Solo 2:2,Indonesia. Liga 1,2024-02-04,GK,97,2,1.44,8,6,4,1,5,2,13,12,16,10,6
Persis Solo - Madura United 3:2,Indonesia. Liga 1,2024-01-30,GK,100,2,1.45,4,2,1,0,9,2,2,2,10,9,1
Persis Solo - Arema 1:1,Indonesia. Liga 1,2023-07-30,GK,103,1,0.86,3,2,0,2,5,3,13,11,6,3,3
Madura United - Persis Solo 4:3,Indonesia. Liga 1,2023-07-23,GK,98,4,2.95,7,3,1,1,9,5,4,3,12,10,2
Persis Solo - Borneo FC 2:1,Indonesia. Liga 1,2023-07-15,GK,98,1,0.79,4,3,1,10,10,4,0,0,13,5,8
PSS Sleman - Persis Solo 2:2,Indonesia. Liga 1,2023-07-07,GK,96,2,1.2,5,3,3,3,6,3,1,1,8,1,7
Persis Solo - Persebaya Surabaya 2:3,Indonesia. Liga 1,2023-07-01,GK,98,3,2.68,6,3,1,1,10,6,12,9,2,1,1
Persis Solo - Persik Kediri 1:0,Indonesia. Liga 1,2023-04-13,GK,95,0,0.43,4,4,1,0,0,0,4,4,8,8,0
Persis Solo - Persebaya Surabaya 3:3,Indonesia. Liga 1,2023-04-08,GK,97,3,3.36,7,4,2,1,5,2,6,6,3,3,0
Persib - Persis Solo 3:1,Indonesia. Liga 1,2023-04-04,GK,113,3,2.23,6,3,2,4,12,6,6,6,9,8,1
Barito Putera - Persis Solo 2:3,Indonesia. Liga 1,2023-03-21,GK,98,2,1.77,6,4,1,3,2,2,6,6,9,7,2
Persis Solo - Arema 1:1,Indonesia. Liga 1,2023-03-15,GK,97,1,0.64,4,3,3,4,6,2,19,19,8,6,2
Rans Nusantara - Persis Solo 2:3,Indonesia. Liga 1,2023-03-10,GK,99,2,2.41,8,6,3,1,1,0,8,8,6,6,0
PSM - Persis Solo 3:2,Indonesia. Liga 1,2023-03-05,GK,98,3,1.88,7,4,2,6,3,3,9,9,13,11,2
Bali United - Persis Solo 3:1,Indonesia. Liga 1,2023-02-27,GK,98,3,3.23,7,4,2,1,3,1,8,8,10,8,2
Persis Solo - PSS Sleman 4:1,Indonesia. Liga 1,2023-02-21,GK,97,1,1.52,5,4,3,1,8,5,13,13,14,12,2
PSIS Semarang - Persis Solo 1:1,Indonesia. Liga 1,2023-02-17,GK,109,1,2.35,8,7,4,4,5,3,7,6,12,4,8
Persis Solo - Borneo FC 1:1,Indonesia. Liga 1,2023-02-12,GK,101,1,2.67,14,13,6,4,11,7,7,7,5,2,3
Madura United - Persis Solo 2:3,Indonesia. Liga 1,2023-02-06,GK,95,2,1.49,6,4,2,6,4,1,11,10,9,7,2
Persis Solo - Bhayangkara F.C. 1:3,Indonesia. Liga 1,2023-02-02,GK,96,3,3.34,7,4,2,3,1,0,13,13,5,3,2
