Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persis Solo - Dewa United 1:1,Indonesia. Liga 1,2025-05-17,GK,103,1,1.35,5,4,1,1,5,3,7,7,1,1,0
PSBS Biak Numfor - Persis Solo 0:2,Indonesia. Liga 1,2025-05-11,GK,102,0,0.05,1,1,0,3,7,0,4,4,10,0,10
Persis Solo - Arema 0:1,Indonesia. Liga 1,2025-05-05,GK,100,1,1.24,2,1,1,3,3,2,12,11,4,3,1
Persis Solo - Persita 1:0,Indonesia. Liga 1,2025-04-27,GK,100,0,0.05,1,1,1,3,3,1,7,7,1,1,0
Barito Putera - Persis Solo 0:1,Indonesia. Liga 1,2025-04-19,GK,103,0,0.0,0,0,0,7,8,5,11,10,8,1,7
Persis Solo - Malut United FC 1:3,Indonesia. Liga 1,2025-04-12,GK,98,3,2.48,4,1,1,1,2,1,10,10,5,4,1
PSS Sleman - Persis Solo 1:4,Indonesia. Liga 1,2025-03-11,GK,105,1,0.86,3,2,2,3,6,4,7,5,7,2,5
Persis Solo - Semen Padang 1:1,Indonesia. Liga 1,2025-02-21,GK,98,1,0.57,6,5,0,0,3,1,11,11,4,3,1
Persik Kediri - Persis Solo 0:0,Indonesia. Liga 1,2025-02-14,GK,115,0,0.9,2,2,0,0,0,0,4,4,6,3,3
Persis Solo - Persebaya Surabaya 2:1,Indonesia. Liga 1,2025-02-07,GK,101,1,1.16,3,2,1,1,3,2,11,11,5,3,2
Madura United - Persis Solo 2:0,Indonesia. Liga 1,2025-02-01,GK,102,2,1.85,6,4,4,2,6,3,9,9,3,1,2
Persis Solo - Persija 3:3,Indonesia. Liga 1,2025-01-26,GK,99,3,2.32,6,3,1,2,3,1,8,8,2,1,1
PSIS Semarang - Persis Solo 1:2,Indonesia. Liga 1,2025-01-20,GK,112,1,1.65,4,3,2,4,5,4,5,5,4,2,2
Persis Solo - PSM 0:1,Indonesia. Liga 1,2025-01-13,GK,101,1,2.23,7,6,5,3,10,8,14,14,11,2,9
Persis Solo - Persib 0:1,Indonesia. Liga 1,2024-12-29,GK,101,1,1.64,5,4,3,2,5,4,9,8,8,7,1
Dewa United - Persis Solo 2:0,Indonesia. Liga 1,2024-12-21,GK,99,2,2.23,9,7,5,2,9,6,25,24,7,4,3
Persis Solo - PSBS Biak Numfor 1:1,Indonesia. Liga 1,2024-12-16,GK,104,1,2.51,6,5,4,0,6,3,10,9,14,3,11
Arema - Persis Solo 1:1,Indonesia. Liga 1,2024-12-12,GK,101,1,2.02,4,3,3,2,8,4,8,8,5,0,5
Persita - Persis Solo 2:0,Indonesia. Liga 1,2024-12-08,GK,101,2,1.6,3,1,1,1,2,2,10,9,4,2,2
Persis Solo - Barito Putera 0:0,Indonesia. Liga 1,2024-12-03,GK,98,0,0.11,2,2,1,0,2,1,11,11,4,2,2
Persis Solo - PSS Sleman 0:2,Indonesia. Liga 1,2024-11-03,GK,101,2,1.38,5,3,2,0,0,0,10,10,6,6,0
Bali United - Persis Solo 3:0,Indonesia. Liga 1,2024-10-27,GK,97,3,3.3,7,4,4,3,1,0,7,7,13,9,4
Persis Solo - Borneo FC 3:2,Indonesia. Liga 1,2024-10-19,GK,100,2,1.96,5,3,1,4,9,4,11,11,6,5,1
Semen Padang - Persis Solo 0:0,Indonesia. Liga 1,2024-09-29,GK,98,0,0.52,6,6,4,6,2,1,8,7,8,4,4
