Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persita - PSBS Biak Numfor 0:2,Indonesia. Liga 1,2025-05-03,GK,100,2,1.41,5,3,2,1,2,1,13,13,4,2,2
Persis Solo - Persita 1:0,Indonesia. Liga 1,2025-04-27,GK,100,1,1.73,7,6,2,1,3,2,12,12,8,0,8
Persita - Arema 3:2,Indonesia. Liga 1,2025-04-20,GK,102,2,1.54,5,3,2,0,8,5,9,8,8,3,5
Persita - Barito Putera 2:1,Indonesia. Liga 1,2025-04-13,GK,104,1,1.3,6,5,3,1,3,2,16,16,13,5,8
Malut United FC - Persita 2:1,Indonesia. Liga 1,2025-03-12,GK,100,2,1.3,4,2,1,1,4,3,14,14,6,2,4
Persita - PSS Sleman 1:2,Indonesia. Liga 1,2025-03-07,GK,99,2,1.36,2,0,0,2,4,2,11,11,6,5,1
Bali United - Persita 1:1,Indonesia. Liga 1,2025-03-02,GK,102,1,0.03,2,1,0,3,6,4,13,12,4,4,0
Semen Padang - Persita 2:0,Indonesia. Liga 1,2025-02-14,GK,111,2,0.71,4,2,1,4,6,4,13,12,11,7,4
Persita - Persik Kediri 1:0,Indonesia. Liga 1,2025-02-07,GK,104,0,0.84,4,4,1,2,6,4,6,6,11,4,7
Persebaya Surabaya - Persita 1:1,Indonesia. Liga 1,2025-01-31,GK,100,1,0.91,4,3,3,3,2,0,13,13,12,4,8
Persita - Madura United 1:1,Indonesia. Liga 1,2025-01-24,GK,100,1,1.31,4,3,1,1,2,1,13,13,6,6,0
Persija - Persita 2:0,Indonesia. Liga 1,2025-01-19,GK,99,2,1.5,3,1,0,4,6,2,7,6,12,4,8
Persita - PSIS Semarang 2:1,Indonesia. Liga 1,2025-01-12,GK,102,1,1.09,4,3,2,2,4,3,10,10,9,3,6
Persita - PSM 2:1,Indonesia. Liga 1,2024-12-29,GK,107,1,2.36,9,8,3,6,8,6,12,12,11,4,7
Persib - Persita 3:1,Indonesia. Liga 1,2024-12-22,GK,99,3,2.39,8,5,3,4,2,1,20,20,13,10,3
Persita - Dewa United 0:4,Indonesia. Liga 1,2024-12-16,GK,97,4,3.06,12,8,7,2,8,4,13,12,9,9,0
PSBS Biak Numfor - Persita 1:3,Indonesia. Liga 1,2024-12-12,GK,99,1,2.17,9,8,6,2,10,7,9,9,14,6,8
Persita - Persis Solo 2:0,Indonesia. Liga 1,2024-12-08,GK,101,0,0.9,6,6,3,2,7,6,14,13,11,5,6
Arema - Persita 3:0,Indonesia. Liga 1,2024-12-03,GK,100,3,2.03,5,2,1,2,6,4,6,6,13,7,6
Barito Putera - Persita 0:2,Indonesia. Liga 1,2024-11-23,GK,99,0,0.45,4,4,1,5,7,3,14,13,11,3,8
Persita - Bali United 0:1,Indonesia. Liga 1,2024-10-20,GK,101,1,1.1,4,3,1,1,6,5,15,14,16,2,14
Borneo FC - Persita 0:0,Indonesia. Liga 1,2024-09-30,GK,99,0,2.56,10,10,9,2,5,3,7,6,13,3,10
Persita - Semen Padang 1:0,Indonesia. Liga 1,2024-09-22,GK,99,0,0.0,0,0,0,1,3,1,9,9,6,3,3
Persita - Persebaya Surabaya 0:1,Indonesia. Liga 1,2024-09-14,GK,102,1,0.55,2,1,1,0,1,1,16,16,0,0,0
Madura United - Persita 0:1,Indonesia. Liga 1,2024-08-24,GK,102,0,0.41,3,3,2,3,2,2,15,14,8,6,2
Persita - Persija 0:0,Indonesia. Liga 1,2024-08-18,GK,101,0,0.1,4,4,1,1,4,3,1,1,12,8,4
PSIS Semarang - Persita 0:1,Indonesia. Liga 1,2024-08-11,GK,103,0,0.22,4,4,0,4,4,2,5,3,12,4,8
Turan-T - Kapaz 1:0,Azerbaijan. Premyer Liqa,2024-05-26,GK,95,1,1.71,5,4,3,4,15,9,16,16,13,8,5
Kapaz - Zira 0:1,Azerbaijan. Premyer Liqa,2024-05-18,GK,96,1,0.24,4,3,2,5,3,3,20,20,9,6,3
Kapaz - Sumqayıt 1:1,Azerbaijan. Premyer Liqa,2024-05-04,GK,98,1,1.45,6,5,2,1,4,1,18,17,5,3,2
Qabala - Kapaz 0:1,Azerbaijan. Premyer Liqa,2024-04-28,GK,97,0,2.17,5,5,5,4,6,3,18,16,10,3,6
Kapaz - Sabah 1:2,Azerbaijan. Premyer Liqa,2024-04-21,GK,100,2,1.13,4,2,1,1,3,1,15,15,9,7,2
Sabail - Kapaz 3:3,Azerbaijan. Premyer Liqa,2024-04-14,GK,101,3,1.67,4,1,0,3,5,5,19,19,6,5,1
Araz - Kapaz 1:2,Azerbaijan. Premyer Liqa,2024-04-05,GK,97,1,1.49,9,8,6,3,3,1,25,24,11,6,5
Kapaz - Qarabag 1:6,Azerbaijan. Premyer Liqa,2024-03-29,GK,94,6,4.34,10,4,3,4,7,4,13,13,11,5,6
Zira - Kapaz 2:1,Azerbaijan. Premyer Liqa,2024-03-16,GK,98,2,2.19,7,5,4,1,5,5,34,33,10,6,4
Kapaz - Neftchi 3:3,Azerbaijan. Premyer Liqa,2024-03-09,GK,100,3,3.16,9,6,4,2,4,3,15,15,10,5,5
Sumqayıt - Kapaz 1:3,Azerbaijan. Premyer Liqa,2024-03-01,GK,94,1,0.44,3,2,1,2,5,3,13,12,10,4,6
Kapaz - Qabala 2:1,Azerbaijan. Premyer Liqa,2024-02-23,GK,102,1,0.97,7,6,4,3,7,4,22,21,12,4,8
