Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persita - Persib 2:2,Indonesia. Liga 1,2025-05-16,GK,110,2,0.52,5,3,2,2,1,1,8,7,8,5,3
Dewa United - Persita 3:0,Indonesia. Liga 1,2025-05-09,GK,98,3,1.84,5,2,2,0,4,2,9,9,9,7,2
Persita - Borneo FC 1:2,Indonesia. Liga 1,2025-02-22,GK,101,2,2.65,6,4,2,1,3,2,11,10,6,5,1
Persita - Malut United FC 1:1,Indonesia. Liga 1,2024-11-04,GK,100,1,2.65,8,7,3,1,1,1,11,11,13,12,1
PSS Sleman - Persita 1:2,Indonesia. Liga 1,2024-10-27,GK,102,1,3.02,8,7,4,2,2,2,6,6,15,9,6
Persita - Bali United 4:2,Indonesia. Liga 1,2024-04-30,GK,95,2,1.33,3,1,1,1,5,4,2,2,6,1,5
Persis Solo - Persita 1:2,Indonesia. Liga 1,2024-04-26,GK,99,1,0.43,3,2,1,3,4,4,7,7,6,4,2
Persik Kediri - Persita 1:1,Indonesia. Liga 1,2024-04-20,GK,102,1,1.95,10,9,4,0,5,3,6,6,5,3,2
Persita - Persib 3:3,Indonesia. Liga 1,2024-04-15,GK,98,3,1.33,3,0,0,2,4,3,13,13,7,4,3
Dewa United - Persita 4:1,Indonesia. Liga 1,2024-03-27,GK,95,4,3.73,11,7,6,0,3,3,6,6,10,6,4
Persita - Arema 4:3,Indonesia. Liga 1,2024-03-13,GK,100,3,2.18,6,3,2,1,6,2,4,4,5,3,2
Madura United - Persita 3:2,Indonesia. Liga 1,2024-03-06,GK,105,3,0.76,5,2,1,1,5,4,1,1,3,3,0
Persita - Borneo FC 0:1,Indonesia. Liga 1,2024-03-02,GK,97,1,0.83,4,3,2,3,9,7,4,3,10,4,6
PSS Sleman - Persita 3:3,Indonesia. Liga 1,2024-02-27,GK,99,3,1.56,6,3,1,3,6,2,1,1,13,4,9
Persita - Persebaya Surabaya 1:1,Indonesia. Liga 1,2024-02-23,GK,96,1,1.61,7,6,3,1,5,3,6,5,7,5,2
Bhayangkara F.C. - Persita 3:0,Indonesia. Liga 1,2023-12-17,GK,98,3,2.78,6,3,2,2,4,3,10,10,5,4,1
Persita - Persikabo 1973 2:1,Indonesia. Liga 1,2023-12-10,GK,96,1,1.11,7,6,3,1,6,3,9,9,4,3,1
Persija - Persita 1:1,Indonesia. Liga 1,2023-12-03,GK,99,1,0.78,3,2,2,1,3,1,12,12,15,8,7
Persita - Rans Nusantara 3:0,Indonesia. Liga 1,2023-11-23,GK,98,0,1.26,3,3,3,5,8,5,7,7,9,6,3
Persik Kediri - Persija 1:2,Indonesia. Liga 1,2023-09-17,GK,100,2,1.43,4,2,2,1,6,2,1,1,9,4,5
Rans Nusantara - Persik Kediri 1:0,Indonesia. Liga 1,2023-09-02,GK,101,1,0.87,5,4,2,1,13,11,7,7,14,4,10
Persik Kediri - PSIS Semarang 1:1,Indonesia. Liga 1,2023-08-25,GK,100,1,0.64,3,2,2,0,2,2,1,1,2,1,1
Barito Putera - Persik Kediri 2:0,Indonesia. Liga 1,2023-08-19,GK,98,2,3.34,9,7,6,0,7,3,13,12,3,0,3
Dewa United - Persik Kediri 3:0,Indonesia. Liga 1,2023-07-21,GK,95,3,2.52,5,2,2,0,8,1,6,6,8,7,1
Persik Kediri - Arema 5:2,Indonesia. Liga 1,2023-07-15,GK,97,2,1.05,3,1,1,0,3,2,3,2,3,2,1
Madura United - Persik Kediri 3:2,Indonesia. Liga 1,2023-07-09,GK,97,3,2.44,13,10,6,1,11,4,3,2,11,4,7
Persik Kediri - Borneo FC 1:1,Indonesia. Liga 1,2023-07-03,GK,97,1,1.35,4,3,2,2,8,4,6,6,8,2,6
Persik Kediri - Persikabo 1973 2:0,Indonesia. Liga 1,2023-04-07,GK,97,0,0.03,1,1,1,0,4,3,3,3,5,1,4
