Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Bala Town - Penybont 3:2,Wales. Premier League,2025-04-19,GK,107,3,0.85,6,3,1,1,17,7,14,11,10,1,9
Penybont - Caernarfon Town 3:1,Wales. Premier League,2025-04-13,GK,97,1,0.86,2,1,0,2,6,5,10,10,7,0,7
Penybont - The New Saints 1:0,Wales. Premier League,2025-03-29,GK,96,0,0.12,2,2,2,3,15,10,6,6,14,0,14
Haverfordwest County - Penybont 1:2,Wales. Premier League,2025-03-21,GK,98,1,0.25,3,2,0,2,14,11,8,6,14,1,13
Penybont - Cardiff MU 0:0,Wales. Premier League,2025-03-14,GK,96,0,0.18,1,1,0,1,9,4,4,4,10,0,10
Penybont - Bala Town 3:2,Wales. Premier League,2025-03-08,GK,97,2,0.87,5,3,2,2,10,7,7,6,9,0,9
Caernarfon Town - Penybont 3:2,Wales. Premier League,2025-02-22,GK,98,3,0.88,6,3,3,3,8,5,2,2,4,0,4
Penybont - Haverfordwest County 0:0,Wales. Premier League,2025-02-01,GK,100,0,1.15,4,4,3,5,6,5,7,7,6,0,6
Cardiff MU - Penybont 2:1,Wales. Premier League,2025-01-24,GK,97,2,1.22,4,2,2,1,6,4,2,2,11,0,11
Newtown - Penybont 1:2,Wales. Premier League,2025-01-14,GK,99,1,1.02,4,3,2,2,15,10,2,2,3,0,3
Penybont - Connah's Quay 1:0,Wales. Premier League,2025-01-04,GK,97,0,1.23,2,2,2,1,2,1,5,4,13,0,13
Penybont - Cardiff MU 2:2,Wales. Premier League,2024-12-31,GK,97,2,2.53,4,2,2,1,8,4,3,2,10,3,7
Barry Town United - Penybont 1:2,Wales. Premier League,2024-12-26,GK,99,1,0.6,1,0,0,1,9,3,5,5,14,2,12
Penybont - Haverfordwest County 1:0,Wales. Premier League,2024-12-03,GK,96,0,0.02,2,2,1,0,5,5,2,2,9,0,9
The New Saints - Penybont 3:2,Wales. Premier League,2024-11-23,GK,100,3,2.08,5,2,2,4,4,2,3,3,15,1,14
Penybont - Flint Town United 3:1,Wales. Premier League,2024-11-09,GK,97,1,0.62,1,0,0,1,6,4,4,4,12,0,12
Caernarfon Town - Penybont 1:5,Wales. Premier League,2024-11-02,GK,95,1,0.66,3,2,1,2,12,9,1,1,4,0,4
Penybont - Bala Town 1:1,Wales. Premier League,2024-10-26,GK,96,1,0.48,4,3,1,1,12,6,1,1,7,0,7
Cardiff MU - Penybont 1:1,Wales. Premier League,2024-10-15,GK,98,1,0.67,7,6,3,0,8,4,3,2,10,0,10
Aberystwyth Town - Penybont 0:3,Wales. Premier League,2024-10-12,GK,95,0,0.0,0,0,0,0,5,3,1,1,8,2,6
Penybont - Barry Town United 4:1,Wales. Premier League,2024-10-04,GK,96,1,0.83,2,1,1,0,6,3,7,6,6,0,6
Flint Town United - Penybont 0:1,Wales. Premier League,2024-09-28,GK,99,0,0.08,1,1,0,2,6,5,4,4,4,0,4
Penybont - Briton Ferry 0:1,Wales. Premier League,2024-09-24,GK,97,1,0.89,3,2,1,2,9,8,13,13,13,0,13
Penybont - The New Saints 2:1,Wales. Premier League,2024-09-20,GK,99,1,0.59,3,2,2,2,10,8,2,2,8,0,8
Connah's Quay - Penybont 0:1,Wales. Premier League,2024-09-15,GK,98,0,1.9,5,5,5,1,7,5,4,4,8,1,7
Penybont - Caernarfon Town 2:0,Wales. Premier League,2024-09-07,GK,96,0,0.38,1,1,1,0,6,6,4,4,5,0,5
Bala Town - Penybont 1:2,Wales. Premier League,2024-08-31,GK,97,1,0.61,2,1,1,0,8,5,12,12,6,3,3
Penybont - Aberystwyth Town 5:1,Wales. Premier League,2024-08-26,GK,97,1,1.39,2,1,1,1,0,0,9,9,3,1,2
Haverfordwest County - Penybont 0:0,Wales. Premier League,2024-08-23,GK,95,0,1.33,4,4,3,0,6,4,15,15,11,6,5
Penybont - Newtown 0:0,Wales. Premier League,2024-08-16,GK,100,0,1.1,2,2,1,0,8,6,2,2,11,0,11
Briton Ferry - Penybont 0:2,Wales. Premier League,2024-08-11,GK,98,0,0.0,0,0,0,0,8,8,2,2,5,0,5
Caernarfon Town - Penybont 3:1,Wales. Premier League,2024-05-18,GK,100,3,2.31,7,4,4,2,11,7,5,5,7,2,5
Newtown - Penybont 0:5,Wales. Premier League,2024-05-11,GK,94,0,0.03,2,2,0,2,7,3,2,2,7,0,7
Penybont - Haverfordwest County 1:0,Wales. Premier League,2024-04-21,GK,102,0,0.56,2,2,2,7,9,7,5,5,6,0,6
Pontypridd Town AFC - Penybont 0:3,Wales. Premier League,2024-04-13,GK,97,0,0.0,0,0,0,2,14,11,1,1,4,0,4
Aberystwyth Town - Penybont 0:3,Wales. Premier League,2024-04-06,GK,98,0,0.41,1,1,0,4,4,3,15,14,6,1,5
Barry Town United - Penybont 0:0,Wales. Premier League,2024-03-29,GK,101,0,0.12,2,2,0,0,4,2,15,14,8,5,3
Penybont - Colwyn Bay 5:0,Wales. Premier League,2024-03-16,GK,95,0,0.0,1,1,0,0,6,5,3,3,3,1,2
Haverfordwest County - Penybont 0:1,Wales. Premier League,2024-03-08,GK,101,0,0.96,2,2,2,3,9,8,0,0,5,0,5
Penybont - Pontypridd Town AFC 0:1,Wales. Premier League,2024-03-02,GK,97,1,0.52,2,1,1,3,10,6,3,3,6,0,6
Penybont - Aberystwyth Town 1:1,Wales. Premier League,2024-02-23,GK,99,1,0.79,1,0,0,1,9,7,5,5,4,1,3
Penybont - Barry Town United 2:2,Wales. Premier League,2024-02-10,GK,98,2,1.1,3,1,0,0,7,4,10,10,12,1,11
Carina Gubin - Stal Stalowa Wola 1:0,Poland. Cup,2023-10-31,GK,98,1,0.75,3,2,1,0,12,5,6,6,5,3,2
Barrow - Stevenage 0:1,England. League Two,2023-05-08,GK,97,0,2.03,4,4,3,2,22,11,0,0,9,0,9
Newport County - Stevenage 2:2,England. League Two,2023-02-14,GK,50,1,0.93,2,1,1,1,8,4,0,0,8,0,8
Walsall - West Ham United U21 0:1,England. Papa John’s EFL Trophy,2022-08-30,GK,100,1,0.95,4,3,1,0,12,6,19,19,7,6,1
Wycombe Wanderers - Burton Albion 0:5,England. Papa John’s EFL Trophy,2021-11-09,GK,96,5,4.46,11,6,4,4,18,14,1,1,12,0,12
Milton Keynes Dons - Wycombe Wanderers 2:1,England. Papa John’s EFL Trophy,2021-10-05,GK,95,2,1.45,3,1,1,0,7,6,5,5,5,0,5
Wycombe Wanderers - Aston Villa U21 1:3,England. Papa John’s EFL Trophy,2021-08-31,GK,100,3,2.69,7,4,3,0,20,10,1,0,9,0,9
Stevenage - Wycombe Wanderers 2:2 (P),England. Carabao Cup,2021-08-24,GK,100,2,2.61,7,5,4,1,17,13,3,3,7,0,7
Dagenham & Redbridge - Chesterfield 2:2,England. National League,2021-01-30,GK,97,2,2.29,7,5,0,2,13,9,4,3,12,4,8
Boreham Wood - Chesterfield 0:0,England. National League,2021-01-26,GK,98,0,0.07,1,1,1,0,11,8,8,6,8,0,8
Chesterfield - Wrexham 2:1,England. National League,2021-01-23,GK,98,1,0.81,2,1,0,3,12,9,8,8,2,1,1
Belgium U21 - Wales U21 5:0,Europe. UEFA U21 Championship,2020-10-09,GK,97,5,3.63,8,3,2,1,3,1,5,5,12,10,2
Bosnia-Herzegovina U21 - Wales U21 1:0,Europe. UEFA U21 Championship,2020-09-04,GK,94,1,1.81,3,2,1,0,4,2,10,10,10,1,9
Peterborough United - Ipswich Town 1:1 (P),England. Papa John’s EFL Trophy,2019-12-04,GK,96,1,1.24,7,6,2,0,16,8,2,2,12,0,12
Moldova U21 - Wales U21 2:1,Europe. UEFA U21 Championship,2019-10-11,GK,97,2,1.66,4,2,0,1,6,4,15,15,9,8,1
San Marino U19 - Wales U19 0:2,Europe. UEFA U19 Championship,2018-11-20,GK,95,0,0.0,0,0,0,0,1,1,19,19,2,2,0
