Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Barito Putera - Dewa United 1:1,Indonesia. Liga 1 24/25,2/5/2025,CF,103,21,13,0,0,2,0,0.24,11,11,0,0,0,0,0,0,7,2,2,1,0,1,0,1,1,0,0
PSS Sleman - Dewa United 0:1,Indonesia. Liga 1 24/25,17/4/2025,CF,112,34,12,0,0,3,2,1.3,6,5,0,0,0,0,3,2,19,5,2,1,1,9,1,0,0,0,0
Bali United - Dewa United 0:0,Indonesia. Liga 1 24/25,10/4/2025,CF,101,36,18,0,0,3,1,0.32,12,10,0,0,1,1,3,1,20,7,3,2,0,5,1,5,4,0,0
Dewa United - Borneo FC 0:1,Indonesia. Liga 1 24/25,10/3/2025,CF,99,25,8,0,0,3,0,0.58,7,6,0,0,1,1,1,0,12,2,3,1,1,5,0,1,1,93,0
Dewa United - Semen Padang 6:0,Indonesia. Liga 1 24/25,5/3/2025,CF,95,46,24,4,0,7,6,1.6,13,10,0,0,0,0,3,0,20,7,6,2,1,8,0,4,4,0,0
Persik Kediri - Dewa United 1:2,Indonesia. Liga 1 24/25,1/3/2025,CF,99,37,13,1,1,1,1,0.17,11,9,2,1,0,0,0,0,15,3,0,0,0,7,2,0,0,0,0
Dewa United - Persebaya Surabaya 2:0,Indonesia. Liga 1 24/25,21/2/2025,CF,95,49,22,1,0,5,3,0.74,14,10,2,1,0,0,3,1,23,9,5,1,1,8,2,0,0,0,0
Madura United - Dewa United 3:1,Indonesia. Liga 1 24/25,15/2/2025,"CF, LAMF",91,22,12,0,0,4,1,0.31,5,4,0,0,0,0,3,2,12,7,2,0,0,2,0,1,1,0,0
Dewa United - Persija 2:1,Indonesia. Liga 1 24/25,8/2/2025,CF,105,42,19,2,0,5,2,1.89,10,10,0,0,0,0,1,1,19,7,4,3,1,7,1,3,2,0,0
PSIS Semarang - Dewa United 1:4,Indonesia. Liga 1 24/25,3/2/2025,CF,98,34,15,3,1,3,3,0.69,10,9,0,0,0,0,0,0,13,3,1,0,2,6,1,3,3,0,0
Dewa United - PSM 3:2,Indonesia. Liga 1 24/25,27/1/2025,CF,98,42,23,3,0,8,3,1.85,15,12,0,0,0,0,4,3,17,8,5,3,1,7,0,2,2,0,0
Persib - Dewa United 0:2,Indonesia. Liga 1 24/25,17/1/2025,CF,99,31,15,1,0,3,1,0.56,11,10,0,0,0,0,1,0,10,4,2,0,0,4,0,3,2,0,0
Dewa United - Arema 2:0,Indonesia. Liga 1 24/25,11/1/2025,CF,98,47,26,2,0,3,2,0.77,15,12,0,0,2,1,2,1,22,11,6,4,0,7,0,2,1,0,0
PSBS Biak Numfor - Dewa United 3:1,Indonesia. Liga 1 24/25,28/12/2024,"CF, LWF",101,44,25,0,0,3,2,0.66,22,18,0,0,1,0,2,2,14,5,3,0,1,7,2,1,1,0,0
Dewa United - Persis Solo 2:0,Indonesia. Liga 1 24/25,21/12/2024,CF,84,38,19,1,0,6,1,0.91,9,8,1,1,0,0,4,4,16,9,2,1,1,3,2,2,2,0,0
Persita - Dewa United 0:4,Indonesia. Liga 1 24/25,16/12/2024,CF,57,27,12,0,0,3,2,0.38,10,7,0,0,0,0,1,0,11,3,1,1,1,5,0,0,0,0,0
Dewa United - PSS Sleman 2:1,Indonesia. Liga 1 24/25,3/12/2024,CF,84,34,18,0,0,7,5,0.99,7,7,0,0,0,0,2,0,17,6,4,2,0,6,1,1,1,0,0
Dewa United - Bali United 1:0,Indonesia. Liga 1 24/25,23/11/2024,CF,99,49,25,0,0,3,2,0.73,8,6,1,0,0,0,2,2,35,16,6,2,1,10,2,1,1,0,0
Borneo FC - Dewa United 1:0,Indonesia. Liga 1 24/25,2/11/2024,CF,100,47,19,0,0,4,0,0.27,13,8,0,0,1,0,4,2,24,11,7,2,1,11,1,2,1,0,0
Semen Padang - Dewa United 1:8,Indonesia. Liga 1 24/25,25/10/2024,CF,101,55,27,2,0,4,2,1.72,16,13,2,1,1,1,3,3,31,11,8,2,1,15,1,1,1,0,0
Dewa United - Persik Kediri 2:3,Indonesia. Liga 1 24/25,17/10/2024,CF,101,33,17,1,1,4,1,0.79,14,12,0,0,0,0,0,0,13,4,3,2,0,4,0,0,0,0,0
Persebaya Surabaya - Dewa United 0:0,Indonesia. Liga 1 24/25,27/9/2024,CF,101,37,14,0,0,0,0,0,12,10,0,0,1,0,2,1,21,4,5,1,1,8,1,4,3,0,0
Dewa United - Madura United 3:3,Indonesia. Liga 1 24/25,21/9/2024,CF,110,40,27,2,0,3,3,1.14,16,15,1,1,0,0,0,0,19,9,3,1,0,6,1,0,0,0,0
Persija - Dewa United 0:0,Indonesia. Liga 1 24/25,16/9/2024,CF,100,46,31,0,0,2,1,0.09,19,16,0,0,1,1,2,2,21,13,5,4,1,13,1,3,3,0,0
Dewa United - Borneo FC 2:1,Indonesia. Liga 1 23/24,30/4/2024,CF,74,41,18,0,0,1,1,0.15,17,12,0,0,0,0,4,2,15,5,3,0,3,7,1,2,2,0,68
PSS Sleman - Dewa United 2:3,Indonesia. Liga 1 23/24,20/4/2024,CF,100,34,20,2,0,2,2,0.61,15,14,1,1,0,0,6,2,13,4,2,1,0,6,1,1,0,0,0
Persebaya Surabaya - Dewa United 0:3,Indonesia. Liga 1 23/24,16/4/2024,CF,100,46,24,1,0,2,2,0.43,17,13,0,0,1,0,2,1,14,8,1,1,3,13,2,3,3,0,0
