Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Persija - Bali United 3:0,Indonesia. Liga 1 24/25,10/5/2025,CF,101,50,29,2,0,3,2,0.98,23,20,0,0,0,0,2,2,20,6,8,3,0,13,2,4,3,0,0
Persija - Semen Padang 0:2,Indonesia. Liga 1 24/25,27/4/2025,CF,97,54,23,0,0,2,0,0.01,19,13,2,2,2,0,5,2,30,10,3,2,1,11,1,0,0,0,0
Persija - Arema 1:3,Indonesia. Liga 1 24/25,9/3/2025,CF,37,7,1,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,1,0,0,6,2,0,0,0,34
Persija - PSIS Semarang 2:0,Indonesia. Liga 1 24/25,5/3/2025,CF,101,39,14,1,0,5,3,1,10,4,1,0,1,0,5,3,18,6,5,1,0,12,1,3,1,0,0
PSM - Persija 1:0,Indonesia. Liga 1 24/25,23/2/2025,CF,36,19,5,0,0,3,0,0.1,3,2,0,0,1,0,4,1,10,3,2,1,0,4,1,0,0,0,0
Persija - Persib 2:2,Indonesia. Liga 1 24/25,16/2/2025,RWF,104,49,23,1,0,3,1,0.92,11,8,0,0,3,3,5,4,30,13,7,4,0,16,1,3,1,0,0
Dewa United - Persija 2:1,Indonesia. Liga 1 24/25,8/2/2025,CF,105,48,24,1,0,7,4,1.12,10,6,1,1,0,0,3,3,24,13,7,5,2,10,2,1,0,26,0
Persija - PSBS Biak Numfor 2:2,Indonesia. Liga 1 24/25,2/2/2025,RWF,113,34,16,1,0,1,1,0.28,12,9,0,0,0,0,2,1,15,5,5,2,0,10,1,2,2,0,0
Persis Solo - Persija 3:3,Indonesia. Liga 1 24/25,26/1/2025,"CF, RWF",99,43,14,1,0,2,2,0.29,19,10,0,0,2,0,5,1,18,2,4,1,0,17,4,1,1,0,0
Persija - Persita 2:0,Indonesia. Liga 1 24/25,19/1/2025,RWF,99,49,22,0,0,3,0,0.92,22,16,0,0,3,1,3,2,20,6,2,0,0,8,0,2,2,0,0
