Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Persib - Barito Putera 1:1,Indonesia. Liga 1 24/25,9/5/2025,LCB,105,87,73,0,0,1,0,0.15,72,65,15,11,1,0,0,0,11,8,4,3,3,7,2,4,0,0,0
Malut United FC - Persib 1:0,Indonesia. Liga 1 24/25,2/5/2025,LCB,100,59,40,0,0,1,0,0.28,38,35,6,3,0,0,0,0,8,4,4,2,8,4,0,5,1,0,0
Persib - PSS Sleman 3:0,Indonesia. Liga 1 24/25,26/4/2025,LCB,99,59,55,1,0,1,1,0.08,56,53,8,7,0,0,0,0,1,1,1,1,1,2,2,7,1,0,0
Persib - Bali United 2:1,Indonesia. Liga 1 24/25,18/4/2025,LCB,112,75,52,1,0,1,1,0.11,35,32,2,2,0,0,0,0,23,16,7,5,7,11,6,13,3,51,0
Borneo FC - Persib 2:2,Indonesia. Liga 1 24/25,11/4/2025,"CB, LCB",102,48,28,0,0,1,0,0.11,35,25,8,2,0,0,0,0,4,3,1,0,7,13,6,6,1,0,0
Semen Padang - Persib 1:4,Indonesia. Liga 1 24/25,10/3/2025,LCB,103,69,56,0,0,2,0,0.12,52,49,3,1,0,0,0,0,12,6,9,4,2,6,2,5,0,0,0
Persib - Persik Kediri 4:1,Indonesia. Liga 1 24/25,5/3/2025,LCB,104,55,45,0,1,0,0,0,45,39,7,4,0,0,0,0,7,6,3,2,3,7,3,5,0,0,0
Persebaya Surabaya - Persib 4:1,Indonesia. Liga 1 24/25,1/3/2025,LCB,102,77,60,0,0,0,0,0,63,56,8,4,0,0,1,1,7,3,3,2,3,9,6,5,0,0,0
Persija - Persib 2:2,Indonesia. Liga 1 24/25,16/2/2025,LCB,104,49,34,0,0,1,0,0.01,28,26,3,1,0,0,0,0,12,7,3,2,4,8,4,9,1,93,0
PSIS Semarang - Persib 0:1,Indonesia. Liga 1 24/25,9/2/2025,"LCB, LCB3",100,45,32,0,0,0,0,0,30,25,5,2,0,0,0,0,11,7,3,1,5,6,3,10,0,0,0
Persib - PSM 1:0,Indonesia. Liga 1 24/25,1/2/2025,LCB,97,87,70,0,0,2,0,0.25,70,64,3,3,0,0,1,0,10,6,6,3,5,9,1,8,1,0,0
Arema - Persib 1:3,Indonesia. Liga 1 24/25,24/1/2025,LCB,101,70,48,0,0,0,0,0,51,42,8,1,0,0,0,0,7,3,0,0,13,12,4,9,2,0,0
Persib - Dewa United 0:2,Indonesia. Liga 1 24/25,17/1/2025,RCB,99,56,38,0,0,1,0,0.29,35,30,8,6,0,0,1,1,10,5,6,2,6,9,4,6,0,47,0
Bali United - Persib 1:1,Indonesia. Liga 1 24/25,7/1/2025,LCB,105,52,37,1,0,1,1,0.34,34,29,2,1,0,0,0,0,8,6,0,0,6,7,4,9,1,31,0
Persis Solo - Persib 0:1,Indonesia. Liga 1 24/25,29/12/2024,LCB,101,67,48,0,0,0,0,0,48,41,5,0,0,0,0,0,12,7,7,5,3,12,6,3,1,52,0
Persib - Persita 3:1,Indonesia. Liga 1 24/25,22/12/2024,LCB,99,33,24,0,0,1,0,0.1,19,18,3,2,0,0,0,0,9,6,4,1,3,4,1,5,0,0,0
Barito Putera - Persib 1:2,Indonesia. Liga 1 24/25,18/12/2024,LCB3,102,84,65,1,0,1,1,0.16,63,57,10,5,0,0,1,0,13,6,4,2,6,7,3,9,0,41,0
Persib - Malut United FC 2:0,Indonesia. Liga 1 24/25,13/12/2024,LCB,102,71,56,0,1,0,0,0,52,49,4,2,0,0,0,0,11,6,4,2,5,4,2,7,0,0,0
PSS Sleman - Persib 1:2,Indonesia. Liga 1 24/25,9/12/2024,LCB,102,46,25,0,0,1,0,0.01,24,19,4,2,0,0,0,0,15,6,7,4,1,7,4,4,0,0,0
Persib - Zhejiang Professional 3:4,Asia. AFC Champions League Two,5/12/2024,"CB, RCB3",99,60,38,0,0,0,0,0,38,31,6,4,0,0,1,1,11,6,2,0,3,10,3,9,1,60,0
Port FC - Persib 2:2,Asia. AFC Champions League Two,28/11/2024,"LCB, RCB3",101,70,50,0,0,1,0,0.1,46,42,9,6,0,0,0,0,16,8,8,5,2,11,3,6,4,0,0
Persib - Borneo FC 1:0,Indonesia. Liga 1 24/25,22/11/2024,LCB3,36,17,6,0,0,1,0,0.01,5,3,0,0,0,0,0,0,6,3,3,2,5,4,4,3,0,0,0
Lion City Sailors FC - Persib 2:3,Asia. AFC Champions League Two,7/11/2024,RCB3,99,61,45,0,0,0,0,0,45,37,5,2,0,0,0,0,11,8,8,6,4,13,6,11,1,0,0
Persib - Semen Padang 1:1,Indonesia. Liga 1 24/25,1/11/2024,LCB,101,81,67,0,0,2,1,0.34,60,56,4,2,0,0,0,0,14,9,8,5,6,7,5,11,1,0,0
Persik Kediri - Persib 0:2,Indonesia. Liga 1 24/25,28/10/2024,LCB3,100,34,23,0,0,0,0,0,22,20,1,0,0,0,0,0,5,2,2,1,6,5,4,7,0,0,0
Persib - Lion City Sailors FC 1:1,Asia. AFC Champions League Two,24/10/2024,"LCB, LCB3",99,80,60,0,0,0,0,0,60,55,6,3,0,0,0,0,9,5,2,0,6,6,1,3,0,0,0
Madura United - Persib 2:2,Indonesia. Liga 1 24/25,28/9/2024,RCB,84,49,38,0,0,0,0,0,35,31,7,3,0,0,0,0,11,7,6,5,1,6,1,9,1,10,0
Persib - Persija 2:0,Indonesia. Liga 1 24/25,23/9/2024,LCB,100,62,46,0,0,1,0,0.11,40,38,3,1,0,0,0,0,10,6,5,4,6,12,5,7,0,90,0
Persib - Port FC 0:1,Asia. AFC Champions League Two,19/9/2024,LCB,100,54,43,0,0,0,0,0,39,35,4,2,0,0,0,0,10,7,3,3,3,4,1,6,0,0,0
Persib - PSIS Semarang 2:1,Indonesia. Liga 1 24/25,15/9/2024,LCB,104,84,75,1,0,2,2,0.24,71,66,6,3,0,0,0,0,7,5,2,1,3,4,1,9,1,0,0
PSM - Persib 0:0,Indonesia. Liga 1 24/25,11/9/2024,LCB,98,59,44,0,0,0,0,0,40,34,6,1,0,0,0,0,11,8,5,4,6,11,2,15,0,0,0
Persib - Arema 1:1,Indonesia. Liga 1 24/25,25/8/2024,LCB,103,60,45,0,0,0,0,0,39,33,3,1,0,0,0,0,15,9,6,4,4,7,4,7,0,0,0
Dewa United - Persib 2:2,Indonesia. Liga 1 24/25,19/8/2024,LCB,99,64,41,0,0,3,0,0.11,43,33,6,3,0,0,0,0,10,6,3,1,5,11,6,6,0,0,0
