Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Corinthians - América RN 2:1,Brazil. Copa do Brasil,23/5/2024,CF,92,39,12,0,0,0,0,0,4,3,0,0,1,1,3,1,30,9,12,4,2,12,2,1,1,0,0
América RN - Corinthians 1:2,Brazil. Copa do Brasil,2/5/2024,CF,91,35,12,0,0,0,0,0,6,6,0,0,0,0,0,0,21,6,9,3,0,11,3,1,0,0,0
América RN - ABC 1:0,Brazil. Copa do Nordeste,20/3/2024,"LW, RW",78,43,14,0,0,3,1,0.87,5,4,0,0,0,0,6,1,26,8,4,3,1,8,1,2,1,0,0
América RN - São Luiz 3:0,Brazil. Copa do Brasil,14/3/2024,CF,78,30,13,0,0,2,0,1.08,5,4,0,0,0,0,6,1,19,8,3,1,1,10,2,2,2,0,0
Costa Rica - América RN 1:2,Brazil. Copa do Brasil,22/2/2024,CF,74,43,19,0,0,1,0,0.31,10,8,0,0,2,0,2,2,20,11,11,6,1,12,2,1,0,0,0
América RN - Itabaiana 1:2,Brazil. Copa do Nordeste,11/2/2024,"CF, RW",72,51,17,0,0,3,1,0.16,9,7,0,0,1,0,2,1,27,9,13,8,0,5,0,2,1,0,66
Fortaleza - América RN 2:1,Brazil. Copa do Nordeste,3/2/2024,CF,76,42,16,0,0,3,0,0.26,5,4,0,0,0,0,7,5,27,11,8,3,0,11,5,2,1,0,0
Công An Nhân Dân - FLC Thanh Hoa 1:1,Vietnam. V.League 1,27/8/2023,"CF, RW",69,11,5,1,0,2,1,0.2,3,1,0,0,0,0,1,0,5,3,2,1,0,5,1,0,0,0,0
Viettel - Công An Nhân Dân 0:3,Vietnam. V.League 1,12/8/2023,"CF, RWF",67,20,9,0,0,2,1,0.21,8,7,0,0,0,0,0,0,7,1,2,1,1,6,3,0,0,0,0
Công An Nhân Dân - Ha Noi 2:1,Vietnam. V.League 1,6/8/2023,CF,64,36,21,2,0,5,3,0.95,12,10,0,0,0,0,1,0,18,8,3,1,1,8,3,0,0,0,0
Nam Dinh - Công An Nhân Dân 1:2,Vietnam. V.League 1,2/8/2023,CF,46,19,12,0,0,2,1,0.13,4,4,0,0,0,0,1,1,10,7,4,3,1,2,0,0,0,0,0
Công An Nhân Dân - Hai Phong 0:2,Vietnam. V.League 1,29/7/2023,CF,97,40,14,0,0,4,2,0.51,11,6,0,0,2,1,5,2,19,6,5,3,2,11,2,2,2,0,0
Binh Dinh - Công An Nhân Dân 0:1,Vietnam. V.League 1,22/7/2023,CF,98,52,18,0,0,4,2,0.9,13,9,1,0,0,0,6,2,28,7,10,2,4,10,2,2,1,0,0
Công An Nhân Dân - H?ng L?nh Hà T?nh 1:1,Vietnam. V.League 1,16/7/2023,"RAMF, CF",35,14,5,0,0,0,0,0,3,2,0,0,0,0,1,0,7,3,0,0,0,4,1,1,0,0,0
Da Nang - Công An Nhân Dân 1:0,Vietnam. V.League 1,2/7/2023,CF,101,32,9,0,0,3,0,0.19,5,3,0,0,0,0,1,1,21,6,12,1,0,9,2,0,0,0,0
Công An Nhân Dân - H?ng L?nh Hà T?nh 4:2,Vietnam. V.League 1,24/6/2023,"CF, RWF",98,35,17,0,0,2,0,0.25,11,10,0,0,0,0,4,0,19,7,4,2,3,13,1,1,1,0,0
FLC Thanh Hoa - Công An Nhân Dân 1:4,Vietnam. V.League 1,5/6/2023,CF,98,49,22,1,0,6,2,0.87,8,4,0,0,0,0,5,4,31,16,8,6,4,9,3,2,1,0,0
Công An Nhân Dân - Sanna Khanh Hoa 0:0,Vietnam. V.League 1,30/5/2023,CF,106,46,22,0,0,4,3,0.33,14,9,0,0,1,0,3,2,23,10,9,4,1,9,2,3,3,0,0
Công An Nhân Dân - Song Lam Nghe An 2:1,Vietnam. V.League 1,26/5/2023,CF,100,41,17,0,0,4,2,1.16,12,8,0,0,0,0,2,2,21,7,7,1,2,10,2,2,2,0,0
H? Chí Minh City - Công An Nhân Dân 3:5,Vietnam. V.League 1,21/5/2023,CF,76,36,19,0,0,4,1,1.27,11,9,0,0,0,0,4,2,18,9,5,5,0,5,0,3,2,0,0
Công An Nhân Dân - Nam Dinh 4:0,Vietnam. V.League 1,16/4/2023,CF,84,45,27,0,1,2,0,0.4,18,18,0,0,0,0,5,3,22,9,4,2,2,6,3,4,4,0,0
Binh Duong - Công An Nhân Dân 1:2,Vietnam. V.League 1,12/4/2023,CF,71,33,19,0,1,1,1,0.09,15,11,1,0,2,0,0,0,14,7,3,0,0,7,1,2,2,0,0
Công An Nhân Dân - Hai Phong 1:1,Vietnam. V.League 1,8/4/2023,CF,86,54,24,1,0,5,4,0.9,14,8,1,0,0,0,7,4,27,11,9,4,1,9,1,1,1,7,0
Hoang Anh Gia Lai - Công An Nhân Dân 1:1,Vietnam. V.League 1,19/2/2023,CF,99,61,22,0,0,2,0,0.3,12,11,0,0,0,0,5,2,40,11,12,4,1,11,0,1,1,0,0
Công An Nhân Dân - Viettel 1:2,Vietnam. V.League 1,14/2/2023,CF,99,46,17,0,0,3,1,0.56,11,7,0,0,1,0,3,1,21,9,10,6,0,10,1,1,1,0,0
Ha Noi - Công An Nhân Dân 2:0,Vietnam. V.League 1,9/2/2023,CF,95,17,8,0,0,0,0,0,3,3,0,0,0,0,2,1,9,4,4,1,2,6,1,2,1,0,0
Công An Nhân Dân - Binh Dinh 5:0,Vietnam. V.League 1,3/2/2023,CF,86,40,21,1,1,4,3,0.27,9,5,0,0,0,0,3,1,22,12,8,7,0,6,2,3,3,0,0
Figueirense - ABC 0:0,Brazil. Serie C,24/9/2022,LCMF,35,13,6,0,0,1,0,0.09,1,1,0,0,0,0,2,2,8,4,2,1,0,4,0,0,0,0,0
Paysandu - Figueirense 1:0,Brazil. Serie C,11/9/2022,CF,36,10,3,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,4,2,1,3,1,1,1,0,0
