Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
América RN - CSA 0:1,Brazil. Copa do Nordeste,2025-06-07,CF,30,12,8,0,0,0,0,0.0,6,4,0,0,0,0,1,0,6,4,1,1,1,1,0,1,1,0,0
São Bernardo FC - CSA 1:3,Brazil. Serie C,2025-06-03,CF,27,26,9,0,0,0,0,0.0,10,6,1,1,0,0,0,0,13,3,7,1,1,8,3,2,0,0,0
CSA - Confiança 0:0,Brazil. Serie C,2025-05-24,CF,70,52,28,0,0,5,2,0.94,14,12,0,0,0,0,1,1,28,14,6,6,1,10,1,2,2,0,0
Grêmio - CSA 0:0,Brazil. Copa do Brasil,2025-05-21,CF,40,30,14,0,0,1,1,0.17,12,8,1,1,0,0,1,0,15,5,4,1,0,9,2,5,2,0,0
Tombense - CSA 0:0,Brazil. Serie C,2025-05-17,CF,87,51,20,0,0,2,0,0.31,7,6,1,1,0,0,0,0,33,12,17,5,2,12,3,4,2,0,0
CSA - Maringá 3:2,Brazil. Serie C,2025-05-12,CF,35,19,7,1,0,1,1,0.37,4,4,0,0,0,0,1,0,11,2,3,1,0,3,1,0,0,0,0
Ypiranga Erechim - CSA 1:0,Brazil. Serie C,2025-05-04,CF,51,21,7,0,0,1,0,0.01,5,3,0,0,0,0,1,1,12,4,5,1,1,9,1,1,0,0,0
CSA - Grêmio 3:2,Brazil. Copa do Brasil,2025-05-01,CF,32,27,8,0,0,1,0,0.06,7,6,0,0,0,0,1,1,12,2,4,0,1,5,2,1,0,0,0
CSA - Náutico 2:1,Brazil. Serie C,2025-04-27,"CF, LDMF",29,17,7,1,0,1,1,0.12,4,3,0,0,0,0,0,0,9,3,1,0,1,4,1,0,0,81,0
ABC - CSA 1:1,Brazil. Serie C,2025-04-22,CF,61,46,21,0,0,0,0,0.0,12,10,0,0,1,1,1,0,19,10,4,2,3,8,4,3,2,16,0
CSA - Anápolis 1:1,Brazil. Serie C,2025-04-12,CF,64,43,18,0,0,1,0,0.09,14,9,0,0,1,0,0,0,25,9,9,4,0,9,1,2,1,0,0
CSA - Bahia 1:2,Brazil. Copa do Nordeste,2025-03-19,CF,36,21,13,0,0,1,1,0.15,7,5,0,0,0,0,1,1,12,7,1,1,0,6,0,1,1,0,0
CSA - Tuna Luso 5:0,Brazil. Copa do Brasil,2025-03-14,CF,27,12,5,0,0,1,0,0.19,5,4,0,0,0,0,1,1,4,1,1,0,0,3,0,0,0,0,0
CSA - Sampaio Corrêa 4:0,Brazil. Copa do Nordeste,2025-02-13,CF,103,64,30,2,0,6,3,0.59,23,16,1,0,0,0,1,0,26,11,9,6,3,14,5,2,1,0,0
Ceará - CSA 1:0,Brazil. Copa do Nordeste,2025-02-06,CF,98,44,20,0,0,1,0,0.08,9,9,0,0,0,0,2,1,31,11,16,4,0,8,1,2,0,0,0
CSA - Confiança 2:1,Brazil. Copa do Nordeste,2025-01-22,CF,78,47,17,2,0,3,2,0.74,10,6,0,0,0,0,1,0,23,8,7,2,2,11,5,3,2,72,0
Tombense - Botafogo PB 1:2,Brazil. Serie C,2024-08-20,CF,64,33,17,0,0,1,0,0.08,9,8,0,0,0,0,0,0,21,9,8,4,0,8,2,2,1,0,0
Tombense - CSA 0:1,Brazil. Serie C,2024-08-12,CF,88,41,17,0,0,1,0,0.05,13,10,0,0,0,0,1,1,18,7,7,3,2,11,3,2,1,0,0
Volta Redonda - Tombense 1:1,Brazil. Serie C,2024-08-03,CF,89,48,17,0,0,1,0,0.16,10,8,0,0,0,0,1,1,22,9,8,3,2,9,2,2,1,75,0
Tombense - Athletic Club 1:1,Brazil. Serie C,2024-07-28,CF,101,51,24,0,0,2,1,0.31,17,13,1,0,0,0,0,0,17,10,8,3,1,11,1,2,2,0,0
ABC - Tombense 1:0,Brazil. Serie C,2024-07-16,CF,68,17,8,0,0,0,0,0.0,7,7,0,0,0,0,1,0,8,1,3,1,1,4,0,1,1,65,0
Tombense - Náutico 0:0,Brazil. Serie C,2024-07-08,CF,99,45,21,0,0,1,0,0.08,17,15,0,0,0,0,2,1,18,6,6,1,4,12,2,4,4,0,0
Londrina - Tombense 3:3,Brazil. Serie C,2024-07-02,CF,88,59,25,0,0,1,0,0.11,21,16,0,0,0,0,0,0,30,9,7,3,1,13,3,3,3,0,0
Tombense - Floresta EC 3:0,Brazil. Serie C,2024-06-22,CF,83,44,19,2,0,6,3,0.78,13,8,1,0,0,0,1,0,21,8,7,5,1,12,2,3,3,0,0
Aparecidense - Tombense 2:1,Brazil. Serie C,2024-06-15,CF,99,50,16,0,0,2,0,0.44,9,6,1,1,0,0,2,0,24,10,5,1,0,5,0,2,1,0,0
