Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Flint Town United - Newtown 4:0,Wales. Premier League,2025-04-19,GK,91,4,1.27,7,3,3,4,10,4,29,28,10,2,8
Newtown - Aberystwyth Town 2:3,Wales. Premier League,2025-04-12,GK,96,3,2.12,6,3,2,1,10,4,24,23,12,5,7
Barry Town United - Newtown 2:1,Wales. Premier League,2025-03-28,GK,98,2,0.99,5,3,2,0,14,11,19,19,11,7,4
Briton Ferry - Newtown 1:1,Wales. Premier League,2025-03-11,GK,97,1,1.28,5,4,2,0,10,5,0,0,11,0,11
Newtown - Flint Town United 2:2,Wales. Premier League,2025-03-07,GK,99,2,0.33,2,0,0,2,14,8,7,7,13,1,12
Aberystwyth Town - Newtown 0:1,Wales. Premier League,2025-02-22,GK,102,0,0,0,0,0,3,15,10,6,6,5,0,5
Newtown - Barry Town United 1:1,Wales. Premier League,2025-02-08,GK,97,1,0.62,3,2,2,3,17,12,8,8,6,3,3
Connah's Quay - Newtown 1:0,Wales. Premier League,2025-02-01,GK,96,1,2.11,6,5,2,5,22,16,6,6,4,0,4
Newtown - Briton Ferry 2:2,Wales. Premier League,2025-01-24,GK,98,2,1.99,6,4,3,4,16,11,1,0,8,0,8
PSS Sleman - Arema 4:1,Indonesia. Liga 1,2024-04-15,GK,96,4,2.73,6,2,1,3,0,0,8,8,5,5,0
Persita - Arema 4:3,Indonesia. Liga 1,2024-03-13,GK,100,4,2.13,7,3,2,1,5,3,17,17,5,3,2
Arema - Bhayangkara F.C. 0:0,Indonesia. Liga 1,2024-03-06,GK,95,0,0.58,6,6,1,0,6,3,13,13,7,4,3
Persikabo 1973 - Arema 0:1,Indonesia. Liga 1,2024-03-01,GK,98,0,0.01,1,1,0,0,3,2,13,13,9,6,3
Arema - Persija 3:2,Indonesia. Liga 1,2024-02-26,GK,97,2,1.64,5,3,1,1,3,2,3,3,8,6,2
Arema - PSIS Semarang 1:4,Indonesia. Liga 1,2024-02-05,GK,97,4,1.63,5,1,0,0,1,1,15,15,6,5,1
Barito Putera - Arema 1:0,Indonesia. Liga 1,2023-12-17,GK,99,1,0.84,7,6,2,2,3,3,22,22,9,6,3
Arema - Persis Solo 3:1,Indonesia. Liga 1,2023-12-09,GK,98,1,1.32,7,6,4,0,3,1,3,3,21,5,16
Bali United - Arema 3:2,Indonesia. Liga 1,2023-12-04,GK,100,3,4.91,14,11,6,0,7,4,16,15,17,11,6
Arema - Persik Kediri 0:1,Indonesia. Liga 1,2023-11-27,GK,97,1,1.09,5,4,0,0,1,1,18,17,11,6,5
Persib - Arema 2:2,Indonesia. Liga 1,2023-11-08,GK,97,2,1.56,6,4,2,0,4,1,11,11,15,7,8
Arema - Dewa United 2:1,Indonesia. Liga 1,2023-11-02,GK,99,1,1.8,5,4,3,0,5,0,9,9,6,2,4
Arema - Madura United 1:1,Indonesia. Liga 1,2023-10-28,GK,98,1,1.11,9,8,4,1,11,7,18,18,14,5,9
PSM - Arema 3:0,Indonesia. Liga 1,2023-10-20,GK,98,3,2.96,7,4,2,1,0,0,7,7,9,8,1
Arema - Borneo FC 0:1,Indonesia. Liga 1,2023-10-06,GK,97,1,1.58,4,3,1,0,5,3,18,17,11,8,3
Arema - PSS Sleman 2:1,Indonesia. Liga 1,2023-09-30,GK,99,1,1.58,4,3,1,1,3,1,16,16,3,1,2
Persebaya Surabaya - Arema 3:1,Indonesia. Liga 1,2023-09-23,GK,101,3,1.77,7,4,4,2,4,3,19,19,8,4,4
Arema - Persita 0:0,Indonesia. Liga 1,2023-09-16,GK,95,0,0,0,0,0,1,1,0,13,13,13,11,2
Bhayangkara F.C. - Arema 0:2,Indonesia. Liga 1,2023-09-01,GK,98,0,1.07,8,8,7,2,3,2,12,12,13,5,8
Arema - Persikabo 1973 1:0,Indonesia. Liga 1,2023-08-28,GK,95,0,0.08,2,2,1,3,4,3,23,23,8,6,2
Persija - Arema 2:2,Indonesia. Liga 1,2023-08-20,GK,102,2,0.89,4,2,2,3,3,2,8,8,7,2,5
Arema - Rans Nusantara 0:1,Indonesia. Liga 1,2023-08-14,GK,97,1,1.45,4,3,3,1,5,4,15,15,10,10,0
PSIS Semarang - Arema 2:0,Indonesia. Liga 1,2023-08-09,GK,97,2,1.15,5,3,1,0,1,0,3,3,13,4,9
