Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Nong Bua Pitchaya FC - Port FC 1:2,Thailand. Thai League,2025-04-20,LAMF,34,13,8,0,0,1,0,0.01,3,3,0,0,0,0,2,1,8,5,2,1,0,3,0,1,1,0,0
Nong Bua Pitchaya FC - Uthai Thani 1:0,Thailand. League Cup,2025-04-16,"LAMF, RCMF",48,38,21,1,0,1,1,0.76,20,13,1,1,3,0,2,2,14,6,0,0,1,8,0,4,2,84,0
Chiangrai United - Nong Bua Pitchaya FC 2:1,Thailand. Thai League,2025-04-04,CF,83,49,27,0,0,3,1,0.39,18,17,0,0,0,0,3,1,26,8,3,0,1,8,1,1,1,0,0
Nong Bua Pitchaya FC - Sukhothai 1:1,Thailand. Thai League,2025-03-29,CF,110,52,33,0,0,3,1,0.07,25,21,2,2,1,1,5,3,21,10,1,1,2,8,1,5,5,0,0
Nong Bua Pitchaya FC - Nakhon Pathom 0:0,Thailand. League Cup,2025-02-26,CF,63,30,10,0,0,2,1,0.26,10,6,0,0,1,0,3,1,14,3,3,0,2,11,2,2,1,0,0
Bangkok United - Nong Bua Pitchaya FC 3:0,Thailand. FA Cup,2025-01-29,CF,97,73,37,0,0,6,0,0.21,32,25,0,0,0,0,6,3,30,12,5,0,3,13,3,6,5,0,0
Nakhon Pathom - Nong Bua Pitchaya FC 1:1,Thailand. Thai League,2025-01-14,CF,16,6,1,0,0,0,0,0.0,1,0,0,0,0,0,0,0,5,1,1,0,0,3,3,2,0,0,0
Nong Bua Pitchaya FC - Prachuap 1:0,Thailand. Thai League,2025-01-10,0,5,4,1,0,0,1,1,0.13,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0
Chiangmai United - Lampang 2:1,Thailand. Thai League 2,2024-12-22,CF,98,48,19,0,0,1,1,0.01,10,8,0,0,1,0,5,1,33,10,5,2,0,1,1,5,3,0,0
Lampang - Ayutthaya United 3:4,Thailand. Thai League 2,2024-12-15,CF,99,63,28,1,0,4,2,0.86,18,13,2,1,3,1,7,4,35,13,4,1,1,10,0,4,4,0,0
Pattaya Dolphins - Lampang 0:0,Thailand. Thai League 2,2024-12-07,CF,99,68,25,0,0,3,1,0.3,11,8,1,0,0,0,5,3,45,16,4,2,4,12,2,2,0,42,0
Lampang - Suphanburi 3:1,Thailand. Thai League 2,2024-11-30,CF,102,72,34,1,0,7,1,1.91,20,14,1,0,1,1,3,2,39,19,6,2,2,13,1,5,3,0,0
Samut Prakan City - Lampang 2:3,Thailand. Thai League 2,2024-11-23,CF,100,64,34,1,1,2,2,0.39,21,11,1,0,0,0,11,9,37,21,5,2,1,16,2,0,0,0,0
Lampang - Nakhon Si United 3:1,Thailand. Thai League 2,2024-11-09,CF,93,68,31,0,0,3,2,0.19,19,13,0,0,0,0,5,2,39,16,7,4,2,16,3,1,1,0,0
Police Tero - Lampang 2:2,Thailand. Thai League 2,2024-11-01,CF,37,20,10,0,0,2,0,0.06,7,5,0,0,0,0,4,3,9,5,1,0,0,2,0,2,1,0,0
Lampang - Buriram United 1:2,Thailand. League Cup,2024-10-30,CF,98,62,28,0,0,3,1,0.13,18,15,1,1,0,0,7,4,37,12,4,2,0,16,6,3,3,46,0
Lampang - Chanthaburi 0:0,Thailand. Thai League 2,2024-10-26,CF,94,55,25,0,0,7,1,0.82,15,10,1,0,3,0,9,6,30,14,8,2,0,13,2,3,2,0,0
Trat - Lampang 1:1,Thailand. Thai League 2,2024-10-19,CF,96,71,22,0,0,2,0,0.08,17,10,2,1,3,0,10,6,41,12,4,1,2,20,2,4,4,0,0
Lampang - Chainat Hornbill 2:1,Thailand. Thai League 2,2024-10-05,CF,98,53,24,0,1,1,1,0.09,18,12,1,0,2,1,5,4,30,12,3,0,2,14,3,3,2,0,0
Mahasarakham SBT - Lampang 4:2,Thailand. Thai League 2,2024-09-28,CF,102,63,26,1,0,5,2,0.26,11,10,0,0,1,1,11,7,38,14,2,0,0,11,4,2,2,0,0
Chonburi - Lampang 2:1,Thailand. Thai League 2,2024-09-15,CF,94,55,20,1,0,2,2,0.27,13,8,1,0,2,0,1,1,33,9,4,0,1,10,1,4,4,0,89
Lampang - Bangkok 3:0,Thailand. Thai League 2,2024-08-30,CF,41,27,14,0,0,2,0,0.09,5,4,1,0,0,0,8,6,17,9,3,0,0,5,1,2,2,0,0
Kasetsart - Lampang 0:2,Thailand. Thai League 2,2024-08-25,CF,67,50,19,1,0,1,1,0.06,14,8,0,0,0,0,6,5,28,10,8,2,1,9,1,1,1,0,0
Lampang - Phrae United 3:4,Thailand. Thai League 2,2024-08-17,CF,110,55,24,2,0,6,3,0.67,16,12,0,0,0,0,4,3,24,9,5,2,0,5,0,3,3,0,0
