Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Sukhothai - Chiangrai United 3:3,Thailand. Thai League,2025-04-19,LCB,104,71,49,0,0,0,0,0.0,51,44,5,1,0,0,0,0,13,5,8,4,1,7,5,7,0,15,0
Chiangrai United - Ratchaburi 1:2,Thailand. League Cup,2025-04-15,LCB,99,38,28,0,0,2,0,0.16,23,21,4,4,0,0,0,0,8,6,3,3,2,5,4,6,1,0,0
Buriram United - Chiangrai United 2:1 (E),Thailand. FA Cup,2025-04-09,"LCB, LCB3",132,62,31,0,0,0,0,0.0,23,14,5,1,0,0,0,0,20,12,8,6,13,10,8,18,0,92,0
Chiangrai United - Nong Bua Pitchaya FC 2:1,Thailand. Thai League,2025-04-04,LCB,103,65,56,0,0,0,0,0.0,55,52,3,2,0,0,0,0,7,4,5,4,4,5,3,7,0,0,0
Nakhon Ratchasima - Chiangrai United 1:4,Thailand. Thai League,2025-03-29,LCB,105,57,43,1,0,1,1,0.19,37,31,10,7,0,0,0,0,12,7,5,2,2,7,4,9,0,0,0
Bangkok United - Chiangrai United 3:2,Thailand. Thai League,2025-03-08,LCB,110,50,34,1,0,2,1,0.09,23,18,8,3,0,0,1,1,13,12,3,3,4,4,4,10,0,91,0
Chiangrai United - Ratchaburi 0:1,Thailand. Thai League,2025-03-02,LCB,99,52,40,0,0,0,0,0.0,33,32,7,6,0,0,0,0,13,7,3,3,4,6,3,7,0,0,0
Chiangrai United - Prachuap 1:0,Thailand. League Cup,2025-02-26,LCB,102,43,33,0,0,0,0,0.0,26,23,4,2,0,0,0,0,10,8,2,1,7,4,2,6,0,0,0
Chiangrai United - Uthai Thani 1:0,Thailand. Thai League,2025-02-15,LCB,100,58,43,0,0,0,0,0.0,36,32,4,3,0,0,0,0,10,7,3,3,6,7,5,11,0,95,0
Chiangrai United - Lamphun Warrior 2:0,Thailand. FA Cup,2025-01-29,LCB,99,51,39,0,0,0,0,0.0,34,30,5,2,0,0,0,0,11,7,4,1,5,7,1,3,1,0,0
