Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Turan-T - Kapaz 4:0,Azerbaijan. Premyer Liqa,2025-05-25,LCB3,65,15,10,0,0,1,0,0.15,9,7,2,1,0,0,0,0,4,3,1,1,1,2,1,3,1,0,0
Sumqayıt - Turan-T 0:1,Azerbaijan. Premyer Liqa,2025-05-17,LCB3,91,37,26,0,0,1,0,0.24,25,22,4,3,0,0,0,0,7,4,2,1,5,2,2,7,0,67,0
Turan-T - Neftchi 1:2,Azerbaijan. Premyer Liqa,2025-05-10,LCB3,69,30,20,0,0,0,0,0.0,19,16,2,0,0,0,0,0,8,4,1,1,3,4,2,6,1,0,0
Zira - Turan-T 1:0,Azerbaijan. Premyer Liqa,2025-05-02,LCB3,76,33,23,0,0,0,0,0.0,24,17,5,2,0,0,0,0,8,6,4,4,1,9,3,8,1,0,0
Turan-T - Shamakhi FK 1:1,Azerbaijan. Premyer Liqa,2025-04-25,LCB3,71,49,34,1,0,3,1,0.3,38,30,7,2,0,0,0,0,4,2,1,1,5,9,3,2,0,0,0
Araz - Turan-T 1:1,Azerbaijan. Premyer Liqa,2025-04-18,LCB3,97,21,13,0,0,0,0,0.0,14,10,4,2,0,0,0,0,5,3,3,1,2,9,4,4,0,0,0
Turan-T - Sabah 2:1,Azerbaijan. Premyer Liqa,2025-04-12,LCB3,49,24,13,0,0,0,0,0.0,17,11,4,2,0,0,0,0,3,1,0,0,1,6,0,2,1,0,0
Sabail - Turan-T 0:0,Azerbaijan. Premyer Liqa,2025-04-05,LCB3,98,59,41,0,0,0,0,0.0,42,34,9,5,0,0,0,0,12,6,2,1,2,13,4,5,0,71,0
Turan-T - Qarabag 1:4,Azerbaijan. Premyer Liqa,2025-03-28,LCB3,96,23,10,0,0,1,0,0.01,9,4,2,0,0,0,0,0,11,6,2,1,2,6,4,4,0,0,0
Turan-T - Sumqayıt 1:2,Azerbaijan. Premyer Liqa,2025-03-16,"LCB, LCB3",98,54,32,0,0,0,0,0.0,41,30,4,1,2,0,0,0,9,2,4,0,3,8,1,7,1,0,0
Neftchi - Turan-T 1:1,Azerbaijan. Premyer Liqa,2025-03-10,"CB, LCB3, RCB3",98,24,11,0,0,0,0,0.0,14,10,5,4,0,0,0,0,3,1,1,1,6,9,5,7,0,0,0
Turan-T - Araz 1:0,Azerbaijan. Premyer Liqa,2025-02-16,LCB3,68,37,25,0,0,0,0,0.0,25,20,4,1,0,0,0,0,8,5,4,3,2,6,3,4,1,0,0
Turan-T - Sabail 1:1,Azerbaijan. Premyer Liqa,2025-02-01,LCB3,48,22,16,0,0,0,0,0.0,15,15,2,2,0,0,0,0,5,1,1,1,0,1,1,3,0,0,43
Qarabag - Turan-T 1:2,Azerbaijan. Premyer Liqa,2025-01-26,LCB3,97,29,15,1,0,1,1,0.41,11,9,4,3,0,0,0,0,10,5,2,0,4,5,3,4,0,0,0
Akademija Pandev - Rabotnički 1:3,North Macedonia. First League,2024-12-03,LCB,63,56,47,0,0,0,0,0.0,47,43,7,3,0,0,0,0,4,3,3,3,0,4,1,3,0,0,0
Besa Dobërdoll - Akademija Pandev 0:1,North Macedonia. First League,2024-11-27,LCB,98,46,30,0,0,1,1,0.14,24,17,7,4,0,0,0,0,13,9,4,2,9,9,4,15,1,85,0
Akademija Pandev - Struga 1:1,North Macedonia. First League,2024-11-24,LCB,100,41,26,0,0,0,0,0.0,17,11,8,3,0,0,0,0,15,11,9,7,3,10,8,11,0,4,0
Shkendija - Akademija Pandev 4:3,North Macedonia. First League,2024-11-09,"LB, RCB",98,62,43,0,0,0,0,0.0,44,30,12,5,0,0,0,0,13,11,4,3,5,16,10,16,0,0,0
Vardar - Akademija Pandev 0:1,North Macedonia. First League,2024-10-30,LWB,18,10,2,0,0,0,0,0.0,3,1,1,0,0,0,0,0,3,1,3,1,3,3,0,2,0,0,0
KF Gostivari - Akademija Pandev 4:1,North Macedonia. First League,2024-10-27,"LB, LCB",97,45,27,0,0,0,0,0.0,25,17,10,5,0,0,0,0,17,8,7,2,3,10,6,6,0,0,0
Akademija Pandev - Tikveš 0:0,North Macedonia. First League,2024-09-25,"LB, LCB3",97,42,25,0,0,0,0,0.0,30,19,8,4,0,0,0,0,8,4,2,0,3,10,4,5,0,0,0
Rabotnički - Akademija Pandev 1:1,North Macedonia. First League,2024-09-22,LB,11,7,4,0,0,0,0,0.0,3,2,3,2,0,0,0,0,3,2,0,0,1,1,1,2,0,0,0
Akademija Pandev - Besa Dobërdoll 3:2,North Macedonia. First League,2024-09-15,RCB,52,34,29,0,0,0,0,0.0,30,28,5,4,0,0,0,0,3,1,0,0,1,2,0,2,0,0,0
Struga - Akademija Pandev 2:0,North Macedonia. First League,2024-08-31,LCB,99,52,38,0,0,0,0,0.0,30,25,4,3,0,0,1,1,15,12,2,2,10,5,5,6,0,48,0
Akademija Pandev - Shkendija 0:2,North Macedonia. First League,2024-08-25,LB,82,36,23,0,0,0,0,0.0,22,16,3,1,0,0,0,0,9,6,0,0,4,7,4,3,0,0,0
Sileks - Akademija Pandev 4:0,North Macedonia. First League,2024-08-18,LCB,94,91,74,0,0,0,0,0.0,71,62,8,1,0,0,0,0,12,8,4,1,5,10,2,18,0,0,0
Akademija Pandev - Vardar 3:1,North Macedonia. First League,2024-08-11,LB,85,51,36,0,0,0,0,0.0,32,26,4,2,2,1,0,0,14,10,1,1,3,13,6,12,1,0,0
Akademija Pandev - Makedonija GjP 5:3,North Macedonia. First League,2024-05-18,LB,56,39,31,0,0,0,0,0.0,24,20,2,1,0,0,0,0,12,10,5,4,1,5,0,5,1,0,0
Shkupi - Akademija Pandev 0:0,North Macedonia. First League,2024-05-12,LCB,98,39,30,0,0,0,0,0.0,33,27,3,1,0,0,0,0,2,2,0,0,6,5,2,4,0,0,0
Akademija Pandev - Bregalnica Štip 1:1,North Macedonia. First League,2024-05-04,"LB, LCB",81,66,53,0,0,1,0,0.03,50,45,6,2,1,1,0,0,12,7,3,1,2,5,1,10,3,0,0
Shkendija - Akademija Pandev 3:2,North Macedonia. First League,2024-05-01,LCB,101,24,10,0,0,0,0,0.0,9,5,1,0,0,0,0,0,7,4,3,1,10,6,6,9,1,0,0
Akademija Pandev - Vardar 2:0,North Macedonia. First League,2024-04-28,"LB, LCB",103,35,23,0,0,0,0,0.0,23,20,4,2,0,0,0,0,5,2,1,1,6,7,6,7,0,0,0
KF Gostivari - Akademija Pandev 1:1,North Macedonia. First League,2024-04-21,LCB,85,34,20,0,0,0,0,0.0,22,17,7,5,0,0,0,0,6,3,2,1,3,7,3,4,1,0,0
Akademija Pandev - Voska Sport 1:0,North Macedonia. First League,2024-04-13,LB,28,18,8,0,0,0,0,0.0,8,5,1,0,0,0,0,0,6,3,1,0,3,3,1,2,0,0,0
Tikveš - Akademija Pandev 3:1,North Macedonia. First League,2024-04-07,"LB, LCB3",73,35,26,0,0,0,0,0.0,20,17,1,0,0,0,0,0,9,7,2,1,2,5,2,8,4,0,0
Akademija Pandev - Rabotnički 2:1,North Macedonia. First League,2024-03-31,LB,81,62,36,0,0,0,0,0.0,43,26,8,5,3,2,1,0,14,10,0,0,5,19,5,10,6,75,0
Struga - Akademija Pandev 3:1,North Macedonia. First League,2024-03-10,LB,61,26,17,0,0,0,0,0.0,14,13,2,2,0,0,1,1,10,4,2,0,1,3,0,2,1,0,0
Akademija Pandev - Shkendija 0:0,North Macedonia. First League,2024-03-06,LB,97,36,19,0,0,2,0,0.38,18,13,1,0,1,0,1,0,13,6,1,1,1,14,9,9,2,0,0
KF Gostivari - Akademija Pandev 2:0,North Macedonia. First League,2024-03-03,LB,74,39,25,0,0,0,0,0.0,23,15,3,1,0,0,1,0,10,8,2,1,3,8,4,5,0,0,0
Akademija Pandev - Makedonija GjP 3:0,North Macedonia. First League,2024-02-25,LB,95,44,25,0,0,0,0,0.0,22,15,9,5,0,0,0,0,13,10,5,4,10,9,7,10,1,0,0
Sileks - Akademija Pandev 0:1,North Macedonia. First League,2024-02-18,LB,97,56,39,0,0,1,0,0.16,39,30,11,6,1,0,1,0,11,9,3,3,3,12,5,9,3,0,0
Ruch Chorzów - Akademija Pandev 2:1,World. Club Friendlies,2024-01-30,"LB, LCB",88,44,28,0,0,0,0,0.0,19,17,1,1,0,0,0,0,13,8,1,1,5,3,1,6,2,0,0
Tallinna Kalev - Trans 5:0,Estonia. A.LeCoq Premium Liiga,2023-11-11,LCB,95,71,54,0,0,0,0,0.0,47,40,6,2,0,0,0,0,14,10,5,3,7,8,3,11,0,0,0
Trans - Paide 1:3,Estonia. A.LeCoq Premium Liiga,2023-11-04,LCB,94,53,41,0,0,0,0,0.0,34,29,4,0,0,0,0,0,14,11,3,2,6,5,3,10,3,0,0
Trans - Flora 1:3,Estonia. A.LeCoq Premium Liiga,2023-11-01,LCB,95,58,43,0,0,0,0,0.0,43,39,9,7,0,0,0,0,8,4,2,1,4,2,1,6,1,0,0
Kuressaare - Trans 1:0,Estonia. A.LeCoq Premium Liiga,2023-10-28,LCB,100,49,34,0,0,0,0,0.0,33,22,12,5,0,0,0,0,12,11,4,4,8,12,6,11,1,0,0
Trans - Nõmme Kalju 2:1,Estonia. A.LeCoq Premium Liiga,2023-10-21,LCB,104,57,36,0,0,0,0,0.0,28,21,4,1,0,0,0,0,21,12,3,2,7,10,6,15,2,0,0
Trans - Tartu Tammeka 2:0,Estonia. A.LeCoq Premium Liiga,2023-10-07,LCB,92,39,20,0,0,0,0,0.0,20,11,3,1,0,0,0,0,13,9,1,0,6,6,3,14,2,0,0
Levadia - Trans 3:0,Estonia. A.LeCoq Premium Liiga,2023-10-01,LCB,67,35,25,0,0,0,0,0.0,21,17,2,0,0,0,1,0,11,8,0,0,3,5,0,7,0,0,0
Pärnu JK Vaprus - Trans 3:2,Estonia. A.LeCoq Premium Liiga,2023-09-27,LCB,101,64,44,0,0,0,0,0.0,45,33,12,2,0,0,1,1,13,11,3,2,7,11,2,18,2,0,0
Trans - Laagri 1:3,Estonia. A.LeCoq Premium Liiga,2023-09-23,LCB,102,107,90,0,0,0,0,0.0,90,82,12,8,0,0,0,0,13,8,2,2,2,7,4,9,1,0,0
Tartu Tammeka - Trans 3:0,Estonia. A.LeCoq Premium Liiga,2023-09-15,LCB,99,65,52,0,0,0,0,0.0,54,43,13,7,0,0,0,0,8,7,1,1,2,9,3,11,2,0,0
Trans - Tallinna Kalev 2:1,Estonia. A.LeCoq Premium Liiga,2023-09-01,LCB,97,50,28,0,0,0,0,0.0,31,23,10,6,0,0,0,0,10,3,6,2,9,8,4,11,0,71,0
Trans - Paide 0:0,Estonia. A.LeCoq Premium Liiga,2023-08-27,LCB,99,66,43,0,0,0,0,0.0,51,37,12,3,0,0,0,0,10,5,2,1,6,11,7,12,1,0,0
Laagri - Trans 0:2,Estonia. A.LeCoq Premium Liiga,2023-08-18,LCB,96,53,45,0,0,0,0,0.0,35,32,3,1,0,0,0,0,12,9,3,2,5,2,1,14,0,0,0
Trans - Kuressaare 2:0,Estonia. A.LeCoq Premium Liiga,2023-08-13,LCB,97,47,28,0,0,0,0,0.0,25,18,7,6,0,0,0,0,16,9,5,2,7,13,9,11,1,0,0
Nõmme Kalju - Trans 4:0,Estonia. A.LeCoq Premium Liiga,2023-08-05,LCB,97,46,26,0,0,0,0,0.0,30,19,9,5,0,0,0,0,9,5,3,1,6,16,11,11,1,0,0
