Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
São Bernardo FC - Caxias 1:0,Brazil. Serie C 2025,18/5/2025,RCB,100,44,34,0,0,0,0,0,28,26,7,5,0,0,0,0,11,7,2,0,3,3,1,10,0,0,0
Figueirense - Caxias 2:3,Brazil. Serie C 2025,6/5/2025,"CB, RCB",104,60,40,0,0,0,0,0,38,34,6,4,0,0,0,0,11,4,4,2,9,12,9,11,0,0,0
Caxias - Guarani 2:0,Brazil. Serie C 2025,29/4/2025,"RCB, RCB3",99,50,30,0,0,1,0,0.09,32,23,7,1,1,0,1,1,10,5,2,1,1,8,2,6,1,0,0
Confiança - Caxias 2:1,Brazil. Serie C 2025,20/4/2025,RCB,98,68,49,0,0,1,0,0.03,45,36,8,4,0,0,1,1,12,8,4,3,9,11,5,14,1,0,0
Caxias - Floresta EC 1:0,Brazil. Serie C 2025,13/4/2025,RCB,99,105,84,0,0,1,1,0.29,82,70,10,4,0,0,0,0,13,7,4,1,2,9,4,13,3,0,0
Caxias - Fluminense 1:2,Brazil. Copa do Brasil  2025,5/3/2025,LCB,96,68,45,0,0,1,0,0.12,52,41,11,5,0,0,0,0,4,1,1,0,7,15,8,9,0,72,0
Internacional - Caxias 3:1,Brazil. Gaúcho 1  2025,2/3/2025,LCB,98,47,28,0,0,0,0,0,25,21,4,1,0,0,0,0,16,6,5,2,3,4,2,8,1,0,0
Caxias - Internacional 0:2,Brazil. Gaúcho 1  2025,22/2/2025,LCB,97,45,32,0,0,0,0,0,32,26,7,3,0,0,0,0,7,4,1,0,4,6,2,7,0,18,0
Caxias - EC São José 1:1,Brazil. Gaúcho 1  2025,15/2/2025,LCB,101,49,32,0,0,0,0,0,27,23,1,1,0,0,0,0,18,8,8,4,1,5,4,10,0,0,0
Guarany de Bagé - Caxias 0:0,Brazil. Gaúcho 1  2025,12/2/2025,LCB,100,47,30,0,0,0,0,0,28,22,5,3,0,0,1,1,12,7,5,2,7,5,3,5,0,2,0
Caxias - São Luiz 1:0,Brazil. Gaúcho 1  2025,8/2/2025,LCB,113,72,54,0,0,0,0,0,52,46,8,4,0,0,0,0,12,4,4,0,5,5,3,6,1,0,0
Avenida - Caxias 0:1,Brazil. Gaúcho 1  2025,5/2/2025,LCB,112,36,21,0,0,0,0,0,20,15,6,2,0,0,1,1,6,4,2,1,6,7,1,9,0,0,0
Caxias - Juventude 0:2,Brazil. Gaúcho 1  2025,2/2/2025,LCB,102,47,33,0,0,0,0,0,32,25,6,3,0,0,0,0,10,7,1,1,4,6,3,6,1,0,0
Grêmio - Caxias 4:0,Brazil. Gaúcho 1  2025,27/1/2025,LCB,29,25,12,0,0,0,0,0,9,5,2,2,0,0,0,0,10,6,1,1,2,7,4,4,2,0,0
Monsoon FC - Caxias 0:1,Brazil. Gaúcho 1  2025,23/1/2025,LCB,98,65,56,0,0,0,0,0,52,48,6,3,0,0,0,0,9,5,3,2,2,3,0,10,1,0,0
CSA - Caxias 2:1,Brazil. Serie C 2024,24/8/2024,"RCB, RCB3",98,54,39,0,0,1,0,0,37,28,5,3,0,0,0,0,12,9,0,0,4,14,4,8,1,0,0
Caxias - ABC 2:0,Brazil. Serie C 2024,18/8/2024,RCB3,101,51,25,0,0,0,0,0,33,20,12,5,0,0,0,0,12,5,5,1,2,19,6,5,2,0,0
Caxias - Ferroviário 2:1,Brazil. Serie C 2024,11/8/2024,RCB3,49,36,27,0,0,0,0,0,27,20,6,2,1,1,0,0,7,5,1,0,5,6,2,8,2,0,0
Ypiranga Erechim - Caxias 1:0,Brazil. Serie C 2024,8/8/2024,"CB, RCB, RCB3",100,55,41,0,0,0,0,0,34,28,5,3,0,0,0,0,16,12,3,1,4,10,2,10,0,0,0
São Bernardo FC - Caxias 2:0,Brazil. Serie C 2024,5/8/2024,RCB3,98,60,41,0,0,0,0,0,43,33,4,2,4,1,1,0,13,8,2,0,2,10,3,8,2,0,0
Caxias - Confiança 1:0,Brazil. Serie C 2024,1/8/2024,"RCB, RCB3",97,56,40,1,0,2,1,0.18,38,31,8,5,1,0,1,0,12,6,4,1,1,8,2,8,2,0,0
Caxias - EC São José 1:0,Brazil. Serie C 2024,28/7/2024,RCB3,100,57,39,0,0,0,0,0,39,30,6,3,0,0,0,0,12,8,2,2,2,7,4,8,1,69,0
Londrina - Caxias 2:0,Brazil. Serie C 2024,20/7/2024,"RCB, RCB3",101,57,34,0,0,0,0,0,37,28,9,5,1,0,0,0,11,6,2,2,8,13,6,12,3,0,0
Caxias - Aparecidense 3:0,Brazil. Serie C 2024,18/7/2024,RCB3,97,34,22,0,0,2,0,0.64,15,13,4,3,0,0,0,0,10,8,1,1,6,4,4,9,0,0,0
Floresta EC - Caxias 2:1,Brazil. Serie C 2024,30/6/2024,RCB,104,67,51,0,0,1,0,0.31,45,40,3,1,0,0,0,0,12,10,7,6,9,7,4,10,1,0,0
Volta Redonda - Caxias 1:0,Brazil. Serie C 2024,24/6/2024,RCB,110,53,39,0,0,0,0,0,34,28,9,4,0,0,0,0,11,7,4,2,5,8,4,12,1,0,0
Caxias - Ferroviária 0:0,Brazil. Serie C 2024,17/6/2024,RCB,102,43,30,0,0,0,0,0,21,18,6,3,1,1,1,1,15,11,6,5,3,7,4,17,2,0,0
Sampaio Corrêa - Caxias 2:1,Brazil. Serie C 2024,13/6/2024,RCB,100,52,34,0,0,0,0,0,34,29,4,1,0,0,0,0,10,3,1,1,6,9,2,7,0,0,0
Náutico - Caxias 2:2,Brazil. Serie C 2024,10/6/2024,"LCB, RCB",100,45,25,0,0,0,0,0,20,18,7,5,0,0,0,0,10,5,3,3,6,8,5,9,0,25,0
Caxias - Figueirense 2:1,Brazil. Serie C 2024,2/6/2024,LCB,97,37,22,0,0,0,0,0,14,11,4,1,0,0,1,0,14,10,4,3,2,8,3,8,0,0,0
Caxias - Athletic Club 0:4,Brazil. Serie C 2024,21/4/2024,0,4,4,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Portuguesa Santista - Noroeste 1:1 (P),Brazil. Paulista A2 2024,7/4/2024,RCB,98,56,36,0,0,0,0,0,29,24,10,6,0,0,0,0,16,9,3,2,12,8,7,13,2,0,0
Noroeste - Portuguesa Santista 0:0,Brazil. Paulista A2 2024,30/3/2024,RCB,104,38,27,0,0,0,0,0,30,22,9,3,0,0,0,0,5,5,3,3,6,8,5,12,0,0,0
XV de Piracicaba - Portuguesa Santista 1:1,Brazil. Paulista A2 2024,28/3/2024,RCB,100,54,31,0,0,0,0,0,31,21,8,1,0,0,0,0,12,8,6,3,9,16,9,14,0,0,0
Portuguesa Santista - XV de Piracicaba 3:2,Brazil. Paulista A2 2024,24/3/2024,RCB,100,46,33,0,0,0,0,0,34,27,9,4,0,0,0,0,10,6,4,3,2,6,1,6,0,0,0
