Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Prachuap - Bangkok United 2:4,Thailand. Thai League,2025-04-30,"CF, LAMF",106,29,16,1,0,6,4,1.98,10,7,1,0,1,0,1,1,10,4,3,2,0,4,0,2,1,94,0
Bangkok United - BG Pathum United 3:0,Thailand. Thai League,2025-04-19,"LWF, RWF",103,60,31,0,0,4,0,0.29,25,21,2,2,2,0,4,4,25,10,4,3,0,13,3,4,3,0,0
Bangkok United - Buriram United 1:2 (E),Thailand. League Cup,2025-04-16,CF,13,6,2,0,0,0,0,0.0,1,1,1,1,0,0,0,0,3,1,1,1,0,2,0,0,0,0,0
Bangkok United - Muang Thong United 1:2 (E),Thailand. FA Cup,2025-04-09,AMF,73,37,21,0,0,2,0,0.3,21,15,2,2,1,0,2,1,12,6,3,0,2,10,2,4,0,0,0
Ratchaburi - Bangkok United 1:2,Thailand. Thai League,2025-04-02,LAMF,80,53,36,0,0,3,2,0.71,29,28,0,0,0,0,6,4,16,6,3,0,1,5,1,0,0,48,0
Bangkok United - Chiangrai United 3:2,Thailand. Thai League,2025-03-08,"LAMF, LWF",108,53,24,1,0,2,1,0.5,26,17,2,1,4,1,3,2,18,6,4,2,3,16,3,1,1,0,0
Bangkok United - Sydney 2:3 (E),Asia. AFC Champions League Two,2025-02-19,"LAMF, RAMF",116,45,21,1,0,4,3,0.77,15,11,2,2,2,0,1,1,15,6,4,2,5,8,4,3,0,33,0
Sydney - Bangkok United 2:2,Asia. AFC Champions League Two,2025-02-12,"LWF, RWF",105,56,29,0,0,3,1,0.08,27,19,1,0,4,0,1,1,21,9,8,3,0,12,3,4,0,0,0
Bangkok United - Nong Bua Pitchaya FC 3:0,Thailand. FA Cup,2025-01-29,"LAMF, RAMF",97,70,48,1,0,5,2,0.52,49,35,5,3,4,0,5,5,14,11,3,2,1,15,1,3,3,0,0
Bangkok United - Nakhon Pathom 1:1,Thailand. Thai League,2025-01-20,LW,76,31,15,0,0,2,0,0.07,21,13,0,0,2,0,2,1,7,2,0,0,1,8,2,1,1,0,0
Uthai Thani - Bangkok United 0:2,Thailand. Thai League,2025-01-16,RW,23,19,13,0,0,0,0,0.0,11,10,2,2,1,1,0,0,8,3,2,1,0,2,1,1,1,0,0
Bangkok United - Buriram United 3:2,Thailand. Thai League,2025-01-12,LW,64,35,18,0,1,3,0,0.1,13,12,0,0,2,1,0,0,13,6,2,1,1,4,2,4,0,56,0
Bangkok United - Nam Dinh 3:2,Asia. AFC Champions League Two,2024-12-04,RB,18,8,3,0,1,0,0,0.0,4,3,1,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0
BG Pathum United - Bangkok United 1:0,Thailand. Thai League,2024-12-01,LAMF,79,23,13,0,0,1,0,0.09,13,10,2,0,2,0,1,1,8,3,2,0,1,1,0,0,0,0,0
Tampines Rovers - Bangkok United 1:0,Asia. AFC Champions League Two,2024-11-27,"RW, CF",94,25,9,0,0,3,1,0.6,9,5,0,0,1,0,0,0,6,2,4,1,0,8,0,1,1,0,0
Muang Thong United - Bangkok United 2:1,Thailand. Thai League,2024-11-23,RWF,15,10,3,0,0,2,0,0.11,4,2,1,0,1,0,1,0,3,1,1,1,0,1,0,1,1,0,0
Bangkok United - Pattaya Dolphins 3:1,Thailand. FA Cup,2024-11-20,"LWF, RWF",97,41,26,1,0,4,1,1.64,24,21,1,1,0,0,2,0,10,4,4,2,2,7,0,2,1,0,0
Khon Kaen United - Bangkok United 2:3,Thailand. Thai League,2024-11-10,RWF,11,11,4,0,0,2,0,0.04,1,1,0,0,0,0,1,1,7,3,1,1,0,2,0,2,2,0,0
Bangkok United - Lee Man 4:1,Asia. AFC Champions League Two,2024-11-06,RW,63,42,26,0,0,5,2,0.49,23,20,0,0,3,1,3,0,13,4,4,2,1,4,1,2,1,0,0
Nong Bua Pitchaya FC - Bangkok United 2:3,Thailand. Thai League,2024-10-06,RWF,102,42,23,1,1,2,2,0.49,23,17,1,0,4,3,2,0,13,4,2,1,0,9,0,0,0,0,0
Nam Dinh - Bangkok United 0:0,Asia. AFC Champions League Two,2024-10-02,LWF,98,44,28,0,0,0,0,0.0,27,24,1,0,1,0,2,1,12,4,2,1,5,8,2,3,1,0,0
Bangkok United - Ratchaburi 0:0,Thailand. Thai League,2024-09-27,RW,65,33,21,0,0,1,0,0.01,20,16,0,0,4,1,3,2,11,4,2,1,0,5,2,3,1,0,0
Rayong - Bangkok United 0:3,Thailand. Thai League,2024-09-22,RWF,89,47,28,1,2,3,1,0.35,32,21,5,1,5,2,1,1,10,6,4,2,0,11,2,3,1,0,0
Bangkok United - Tampines Rovers 4:2,Asia. AFC Champions League Two,2024-09-18,"RCMF, RW",94,69,40,0,0,2,0,0.26,36,27,3,1,1,0,4,2,24,13,1,0,0,12,2,4,2,0,0
Nakhon Ratchasima - Bangkok United 1:1,Thailand. Thai League,2024-09-14,RWF,38,20,13,0,1,2,0,0.17,16,12,2,2,0,0,0,0,2,1,1,1,1,4,1,1,1,0,0
Bangkok United - Lamphun Warrior 3:2,Thailand. Thai League,2024-09-01,LWF,100,43,24,1,0,4,1,0.16,21,17,0,0,5,3,3,1,13,6,4,2,3,6,2,4,2,0,0
Nakhon Pathom - Bangkok United 0:3,Thailand. Thai League,2024-08-29,RWF,88,40,28,1,0,2,1,0.69,22,19,0,0,4,2,2,2,15,8,3,3,0,6,0,5,2,0,0
Buriram United - Bangkok United 4:2,Thailand. Thai League,2024-08-18,"LW, RW",50,31,23,0,0,3,1,0.17,14,12,0,0,2,1,2,2,14,10,4,2,0,4,3,5,3,0,0
Shandong Taishan - Bangkok United (P) 1:1,Asia. AFC Champions League Elite,2024-08-13,RW,67,33,21,0,0,1,1,0.06,22,17,1,0,1,0,0,0,7,3,1,0,2,6,1,3,1,0,0
Bangkok United - Prachuap 2:1,Thailand. Thai League,2024-08-09,LWF,68,30,14,0,0,2,0,0.03,11,9,1,1,2,1,1,1,12,5,0,0,1,6,2,0,0,0,0
Bangkok United - Kanchanaburi (P) 1:1,Thailand. FA Cup,2024-06-15,"RCMF, RW",62,31,21,0,0,5,0,0.7,13,12,0,0,1,0,4,3,12,8,1,1,0,7,0,2,2,0,0
