Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Persib - Barito Putera 1:1,Indonesia. Liga 1 24/25,9/5/2025,RCB,105,100,80,0,0,1,1,0.15,76,66,10,4,0,0,0,0,16,10,3,2,2,12,3,11,3,61,0
Malut United FC - Persib 1:0,Indonesia. Liga 1 24/25,2/5/2025,RCB,100,69,51,0,0,0,0,0,45,40,5,3,0,0,0,0,14,9,4,3,6,7,4,6,1,0,0
Persib - PSS Sleman 3:0,Indonesia. Liga 1 24/25,26/4/2025,RCB,99,64,51,0,0,3,0,0.21,50,46,2,1,0,0,1,1,8,5,2,2,3,6,4,5,1,69,0
Persib - Bali United 2:1,Indonesia. Liga 1 24/25,18/4/2025,RCB,112,56,40,0,0,0,0,0,34,29,5,2,0,0,1,0,13,9,6,4,9,12,8,11,0,0,0
Borneo FC - Persib 2:2,Indonesia. Liga 1 24/25,11/4/2025,"RCB, RCB3",102,48,33,0,0,0,0,0,25,23,4,2,0,0,0,0,14,8,3,1,4,5,0,10,0,34,0
Persib - Persik Kediri 4:1,Indonesia. Liga 1 24/25,5/3/2025,RCB,104,42,33,1,0,1,1,0.08,26,25,4,3,0,0,0,0,8,6,2,2,2,2,0,6,0,12,0
Persebaya Surabaya - Persib 4:1,Indonesia. Liga 1 24/25,1/3/2025,RCB,102,74,64,0,0,0,0,0,57,52,9,6,0,0,1,1,10,8,3,2,7,5,3,11,2,0,0
Persija - Persib 2:2,Indonesia. Liga 1 24/25,16/2/2025,RCB,104,60,43,1,0,1,1,0,32,28,6,3,0,0,1,1,15,10,4,3,6,8,4,13,2,0,0
PSIS Semarang - Persib 0:1,Indonesia. Liga 1 24/25,9/2/2025,"CB, RCB",100,55,37,1,0,1,1,0.17,31,26,4,1,0,0,0,0,12,8,5,3,7,10,6,10,1,0,0
Persib - PSM 1:0,Indonesia. Liga 1 24/25,1/2/2025,RCB,97,73,58,0,0,1,0,0.12,60,54,4,2,0,0,0,0,6,4,1,1,4,6,3,7,0,0,0
Arema - Persib 1:3,Indonesia. Liga 1 24/25,24/1/2025,RCB,101,62,41,0,0,0,0,0,45,35,8,1,0,0,0,0,13,5,3,0,4,9,3,6,1,0,0
PSBS Biak Numfor - Persib 1:1,Indonesia. Liga 1 24/25,11/1/2025,CB,58,45,31,0,0,0,0,0,27,26,3,2,0,0,0,0,9,3,1,0,4,2,1,3,0,52,52
Bali United - Persib 1:1,Indonesia. Liga 1 24/25,7/1/2025,RCB,105,70,49,0,0,1,0,0.18,35,30,4,1,0,0,0,0,28,17,9,7,3,7,6,11,1,0,0
Persis Solo - Persib 0:1,Indonesia. Liga 1 24/25,29/12/2024,RCB,101,67,56,0,0,0,0,0,53,47,3,1,0,0,2,2,6,4,0,0,4,7,4,10,1,38,0
Persib - Persita 3:1,Indonesia. Liga 1 24/25,22/12/2024,RCB,99,44,32,0,0,0,0,0,28,25,3,3,0,0,0,0,12,7,3,2,3,2,1,8,2,0,0
Barito Putera - Persib 1:2,Indonesia. Liga 1 24/25,18/12/2024,CB,102,64,50,0,0,0,0,0,49,45,8,5,0,0,0,0,10,4,1,0,1,6,1,3,0,0,0
Persib - Malut United FC 2:0,Indonesia. Liga 1 24/25,13/12/2024,RCB,102,73,57,0,0,0,0,0,49,48,6,5,0,0,0,0,18,9,7,3,1,6,3,7,1,0,0
PSS Sleman - Persib 1:2,Indonesia. Liga 1 24/25,9/12/2024,RCB,102,51,39,0,0,0,0,0,37,33,5,2,0,0,1,0,10,5,5,2,1,4,0,6,0,0,0
Persib - Zhejiang Professional 3:4,Asia. AFC Champions League Two,5/12/2024,"CB, RCB3",68,36,23,0,0,0,0,0,22,19,3,1,0,0,0,0,8,4,6,4,4,9,7,5,0,21,0
Port FC - Persib 2:2,Asia. AFC Champions League Two,28/11/2024,"CB, RCB",101,64,47,0,0,0,0,0,48,40,6,1,0,0,0,0,12,6,5,2,2,7,2,7,3,0,0
Persib - Borneo FC 1:0,Indonesia. Liga 1 24/25,22/11/2024,CB,107,20,10,0,1,0,0,0,8,7,3,2,0,0,0,0,7,3,2,1,4,4,4,4,1,60,0
Lion City Sailors FC - Persib 2:3,Asia. AFC Champions League Two,7/11/2024,CB,99,86,65,0,1,1,0,0.05,60,53,4,1,0,0,1,1,22,12,11,7,1,12,4,12,3,0,0
Persib - Semen Padang 1:1,Indonesia. Liga 1 24/25,1/11/2024,RCB,101,79,70,0,0,0,0,0,63,62,6,5,0,0,0,0,13,7,5,2,1,0,0,7,4,0,0
Persik Kediri - Persib 0:2,Indonesia. Liga 1 24/25,28/10/2024,CB,100,41,28,0,0,0,0,0,27,24,3,1,0,0,0,0,6,1,1,0,4,3,2,10,1,0,0
Persib - Lion City Sailors FC 1:1,Asia. AFC Champions League Two,24/10/2024,"CB, RCB",99,71,60,0,0,0,0,0,58,54,7,4,0,0,0,0,9,6,7,4,6,6,4,12,2,0,0
Persib - Persebaya Surabaya 2:0,Indonesia. Liga 1 24/25,18/10/2024,CB,101,58,48,0,0,0,0,0,53,46,8,3,0,0,0,0,2,1,1,0,2,4,2,9,0,0,0
Zhejiang Professional - Persib 1:0,Asia. AFC Champions League Two,3/10/2024,"CB, RCB",96,98,72,0,0,1,0,0.02,75,65,7,4,1,0,0,0,15,6,3,0,7,10,3,9,1,0,0
Madura United - Persib 2:2,Indonesia. Liga 1 24/25,28/9/2024,RCB,18,9,5,0,0,0,0,0,3,2,1,0,0,0,0,0,5,3,3,3,0,2,1,4,0,0,0
Persib - Persija 2:0,Indonesia. Liga 1 24/25,23/9/2024,RCB,100,50,39,0,0,0,0,0,37,33,10,7,0,0,0,0,9,5,2,1,1,6,4,6,0,0,0
