Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Kaya - One Taguig 2:0,Philippines. PFL,2025-03-30,GK,103,2,2.08,6,4,2,2,10,8,15,14,5,1,4
One Taguig - Dynamic Herb Cebu 0:0,Philippines. PFL,2025-03-08,GK,105,0,0.2,2,2,0,1,1,0,45,45,4,4,0
One Taguig - Aguilas 0:2,Philippines. PFL,2025-02-23,GK,104,2,0.82,2,0,0,0,3,2,25,24,5,3,2
Stallion - One Taguig 1:2,Philippines. PFL,2025-02-16,GK,100,1,0.64,2,1,1,4,6,3,20,17,7,4,3
One Taguig - Manila Digger 0:1,Philippines. PFL,2025-02-09,GK,104,1,2.77,12,11,6,1,5,3,14,14,11,2,8
Maharlika Taguig - One Taguig 0:5,Philippines. PFL,2025-01-26,GK,50,0,0.06,1,1,0,2,1,1,14,14,5,5,0
Thailand - Philippines 3:1 (E),Asia. ASEAN Championship,2024-12-30,GK,140,3,2.23,8,5,2,5,20,14,35,33,13,7,6
Philippines - Thailand 2:1,Asia. ASEAN Championship,2024-12-27,GK,101,1,1.76,5,4,3,2,13,7,8,8,10,1,9
Indonesia - Philippines 0:1,Asia. ASEAN Championship,2024-12-21,GK,105,0,1.24,6,6,2,5,6,2,6,6,6,3,3
One Taguig - Kaya 0:1,Philippines. PFL,2024-12-01,GK,101,1,2.03,9,8,5,0,18,13,8,8,11,2,9
One Taguig - PFF Youth National Team 4:0,Philippines. PFL,2024-11-23,GK,99,0,0,0,0,0,1,4,1,22,21,3,2,1
One Taguig - Mendiola 7:0,Philippines. PFL,2024-11-09,GK,92,0,0.11,1,1,1,0,1,1,14,14,3,2,1
Aguilas - One Taguig 1:2,Philippines. PFL,2024-10-20,GK,105,1,0.4,2,1,0,3,10,5,11,10,8,3,5
One Taguig - Stallion 0:2,Philippines. PFL,2024-10-06,GK,104,2,0.49,2,0,0,1,11,4,13,13,7,5,2
Manila Digger - One Taguig 1:3,Philippines. PFL,2024-09-29,GK,100,1,0.79,2,1,1,3,13,8,6,6,6,2,4
Kaya - Incheon United 1:3,Asia. AFC Champions League Elite,2023-12-13,GK,100,3,2.26,7,4,2,4,5,2,8,8,11,3,8
Shandong Taishan - Kaya 6:1,Asia. AFC Champions League Elite,2023-11-28,GK,96,6,4.2,10,4,1,3,12,6,2,2,13,1,12
Kaya - Yokohama F. Marinos 1:2,Asia. AFC Champions League Elite,2023-11-07,GK,99,2,2.54,5,3,3,1,10,6,1,1,15,1,14
Yokohama F. Marinos - Kaya 3:0,Asia. AFC Champions League Elite,2023-10-25,GK,102,3,2.97,11,8,5,6,11,5,1,1,15,0,15
Incheon United - Kaya 4:0,Asia. AFC Champions League Elite,2023-10-03,GK,96,4,2.94,5,1,1,1,13,5,3,2,11,1,10
Kaya - Shandong Taishan 1:3,Asia. AFC Champions League Elite,2023-09-19,GK,100,3,2.57,6,3,2,2,12,10,4,4,11,0,11
Myanmar U22 - Philippines U22 1:0,Asia. Southeast Asian Games,2023-05-10,GK,97,1,2.18,7,6,4,1,7,3,13,13,5,2,3
Timor-Leste U22 - Philippines U22 3:0,Asia. Southeast Asian Games,2023-05-04,GK,95,3,2.82,7,4,3,2,7,4,12,12,10,8,2
Philippines U22 - Cambodia U22 1:1,Asia. Southeast Asian Games,2023-05-02,GK,101,1,0.42,3,2,0,1,5,3,9,9,2,1,1
Indonesia U22 - Philippines U22 3:0,Asia. Southeast Asian Games,2023-04-29,GK,98,3,2.85,7,4,2,1,8,5,9,9,14,3,11
Kaya - Bali United 0:1,Asia. AFC Champions League Two,2022-06-30,GK,94,1,1.9,6,5,5,1,6,2,10,9,5,1,4
Kedah - Kaya 4:1,Asia. AFC Champions League Two,2022-06-27,GK,96,4,3.49,6,2,2,1,8,3,8,8,6,1,5
Kaya - Visakha 1:2,Asia. AFC Champions League Two,2022-06-24,GK,97,2,1.42,7,5,4,0,10,6,6,5,15,3,12
Philippines U23 - Indonesia U23 0:4,Asia. Southeast Asian Games,2022-05-13,GK,94,4,3.3,8,4,4,3,10,5,9,8,8,3,5
Myanmar U23 - Philippines U23 3:2,Asia. Southeast Asian Games,2022-05-10,GK,98,3,2.03,5,2,1,1,11,8,7,7,2,0,2
Vietnam U23 - Philippines U23 0:0,Asia. Southeast Asian Games,2022-05-08,GK,96,0,0.22,3,3,3,1,10,5,2,2,19,0,19
Philippines U23 - Timor-Leste U23 4:0,Asia. Southeast Asian Games,2022-05-06,GK,97,0,0.42,2,2,1,0,6,3,3,3,4,0,4
Philippines U23 - Cambodia U23 0:1,Asia. AFF U23 Championship,2022-02-17,GK,96,1,0.85,4,3,1,1,5,4,7,7,6,1,5
Timor-Leste U23 - Philippines U23 2:2,Asia. AFF U23 Championship,2022-02-14,GK,95,2,1.4,7,5,0,0,7,6,10,10,9,4,5
Philippines U23 - Singapore U23 0:1,Asia. AFC U23 Asian Cup Qualification,2021-10-28,GK,95,1,1.72,8,7,3,1,8,6,12,12,5,1,4
Korea Republic U23 - Philippines U23 3:0,Asia. AFC U23 Asian Cup Qualification,2021-10-25,GK,97,3,2.48,12,9,6,1,11,7,5,5,19,4,15
