Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Boeung Ket - Visakha 3:0,Cambodia. Hun Sen Cup,2025-05-25,CF,101,49,22,0,0,0,0,0.0,15,11,1,1,0,0,0,0,32,11,5,2,0,10,2,5,4,0,0
Visakha - Angkor Tiger 2:1,Cambodia. Cambodian Premier League,2025-05-18,CF,100,64,27,0,0,10,3,1.35,13,11,0,0,1,1,7,5,35,13,9,2,1,10,0,2,1,0,0
Boeung Ket - Visakha 1:3,Cambodia. Cambodian Premier League,2025-05-11,CF,100,54,30,2,1,8,5,1.97,15,14,0,0,0,0,5,4,27,11,6,4,2,10,1,3,2,0,0
Visakha - Phnom Penh Crown 0:1,Cambodia. Hun Sen Cup,2025-05-07,CF,102,56,18,0,0,5,0,0.2,18,9,0,0,1,0,6,2,27,9,7,4,1,17,0,1,1,0,0
Phnom Penh Crown - Visakha 2:2,Cambodia. Hun Sen Cup,2025-04-30,CF,101,62,29,0,1,5,3,0.95,17,13,1,1,1,0,4,1,33,12,7,4,3,13,4,4,2,0,0
Naga World - Visakha 1:0,Cambodia. Cambodian Premier League,2025-04-27,"AMF, CF",103,59,23,0,0,4,1,0.95,18,12,1,1,1,0,6,2,35,10,7,2,1,15,0,4,3,0,0
Phnom Penh Crown - Visakha 1:0,Cambodia. Cambodian Premier League,2025-04-19,CF,101,57,26,0,0,2,0,0.69,21,15,0,0,0,0,1,0,25,9,2,1,2,11,5,3,0,0,0
Angkor Tiger - Visakha 2:3,Cambodia. Cambodian Premier League,2025-04-06,LWF,98,60,33,1,0,3,2,0.32,23,18,1,1,2,1,5,4,31,13,7,2,1,13,2,4,3,0,0
Visakha - Tiffy Army FC 4:0,Cambodia. Hun Sen Cup,2025-04-02,CF,87,47,21,1,0,4,1,0.54,20,14,4,2,0,0,0,0,18,6,7,2,1,13,2,0,0,0,0
Visakha - Boeung Ket 3:1,Cambodia. Cambodian Premier League,2025-03-30,CF,88,62,32,2,0,5,5,0.87,22,16,2,1,1,1,1,0,25,10,7,4,0,10,2,2,2,24,0
Svay Rieng - Visakha 1:2,Cambodia. Cambodian Premier League,2025-03-09,CF,100,89,46,1,0,5,4,1.45,26,17,5,3,2,0,9,5,52,25,15,8,1,22,4,4,4,0,0
Visakha - Naga World 1:0,Cambodia. Cambodian Premier League,2025-03-02,CF,102,58,23,0,0,2,1,0.18,20,15,2,1,1,0,3,2,32,7,7,1,2,17,1,5,2,0,0
Tiffy Army FC - Visakha 2:2,Cambodia. Hun Sen Cup,2025-02-26,CF,101,75,42,0,0,5,2,0.58,30,24,3,3,1,0,6,5,36,16,8,4,2,16,1,4,3,0,0
Boeung Ket - Visakha 0:2,Cambodia. Cambodian Premier League,2025-02-15,CF,99,82,26,0,0,4,2,0.33,21,11,1,0,3,0,2,1,40,12,15,8,4,21,6,4,1,0,95
Kirivong Sok Sen Chey - Visakha 1:2,Cambodia. Cambodian Premier League,2025-02-02,CF,99,44,20,0,0,4,1,0.38,12,10,1,1,1,1,4,1,22,9,3,2,0,8,1,5,5,86,0
Dangkor Senchey - Visakha 4:2,Cambodia. Cambodian Premier League,2025-01-25,CF,100,64,21,1,0,4,2,0.81,12,7,1,0,2,0,4,1,40,12,14,7,3,23,3,7,5,0,0
Visakha - Tiffy Army FC 2:0,Cambodia. Cambodian Premier League,2025-01-19,CF,94,52,30,1,0,6,2,1.11,22,18,1,1,0,0,1,0,22,9,7,2,0,10,1,2,2,0,0
Angkor Tiger - Visakha 0:2,Cambodia. Cambodian Premier League,2025-01-11,CF,71,42,18,0,0,3,1,1.11,16,13,0,0,0,0,2,0,22,4,5,0,0,12,1,1,1,0,0
Visakha - Ministry of Interior 4:1,Cambodia. Cambodian Premier League,2025-01-05,CF,40,28,17,0,0,3,0,0.43,11,9,0,0,1,0,2,2,12,8,3,3,0,6,1,1,1,0,0
Svay Rieng - Visakha 1:0,Cambodia. Cambodian Premier League,2024-12-29,CF,100,65,30,0,0,2,2,0.37,20,12,2,2,2,0,7,5,34,15,9,2,1,18,2,0,0,0,0
Life Sihanoukville - Visakha 0:3,Cambodia. Cambodian Premier League,2024-12-01,CF,102,71,42,1,0,6,3,1.1,26,20,1,1,2,1,11,9,39,19,12,5,0,16,0,2,2,0,0
Visakha - Phnom Penh Crown 3:3,Cambodia. Cambodian Premier League,2024-11-09,CF,101,80,26,1,1,1,1,0.08,17,8,2,1,1,1,3,1,43,17,6,3,6,18,2,6,5,50,0
Visakha - Boeung Ket 1:0,Cambodia. Cambodian Premier League,2024-11-02,CF,101,64,27,1,0,2,1,0.27,23,16,1,0,2,0,1,1,34,10,8,6,0,18,3,4,2,0,0
Visakha - Kirivong Sok Sen Chey 7:0,Cambodia. Cambodian Premier League,2024-10-23,CF,64,50,22,2,0,3,2,0.8,17,12,1,0,0,0,5,1,25,8,5,4,0,8,1,0,0,0,0
