Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
FLC Thanh Hoa - H? Chí Minh City 1:2,Vietnam. V.League 1,4/5/2025,CF,101,47,29,0,0,2,0,0.18,25,21,1,0,1,0,2,1,18,8,8,5,0,13,1,3,3,0,0
Da Nang - FLC Thanh Hoa 1:0,Vietnam. V.League 1,27/4/2025,CF,100,30,12,0,0,2,1,0.26,9,6,0,0,1,0,1,1,12,5,6,2,0,6,0,2,2,0,0
FLC Thanh Hoa - Viettel 3:1,Vietnam. V.League 1,19/4/2025,CF,99,42,18,3,0,4,3,1.06,11,7,1,0,0,0,3,2,23,8,10,3,0,14,1,2,2,0,0
FLC Thanh Hoa - Song Lam Nghe An 1:1,Vietnam. V.League 1,12/4/2025,CF,102,61,26,1,0,5,4,0.94,18,12,0,0,0,0,4,0,32,9,14,6,2,21,4,2,1,0,0
Ha Noi - FLC Thanh Hoa 3:1,Vietnam. V.League 1,6/4/2025,CF,97,44,27,0,1,0,0,0,26,21,1,1,2,1,4,1,18,6,6,3,0,11,1,1,1,0,0
FLC Thanh Hoa - Hoang Anh Gia Lai 2:2,Vietnam. V.League 1,9/3/2025,"AMF, CF",104,48,28,2,0,5,2,1.56,17,13,0,0,0,0,1,1,25,13,13,9,1,15,1,3,2,0,0
FLC Thanh Hoa - Quang Nam 1:1,Vietnam. V.League 1,23/2/2025,CF,100,42,25,1,0,1,1,0.13,19,17,0,0,0,0,2,0,20,7,8,5,0,9,3,2,1,0,0
Quang Nam - FLC Thanh Hoa 1:0,Vietnam. V.League 1,19/2/2025,CF,99,50,22,0,0,2,2,0.54,12,10,0,0,0,0,1,0,29,10,10,5,3,13,4,4,3,0,0
H? Chí Minh City - FLC Thanh Hoa 2:2,Vietnam. V.League 1,14/2/2025,CF,110,60,24,0,1,2,1,0.81,25,16,1,1,4,1,5,0,29,7,10,3,0,21,2,2,2,0,0
FLC Thanh Hoa - H?ng L?nh Hà T?nh 1:1,Vietnam. V.League 1,18/1/2025,CF,104,64,26,0,1,4,1,1.12,18,12,0,0,1,0,3,0,38,13,16,6,0,27,4,1,1,0,0
FLC Thanh Hoa - Nam Dinh 1:1,Vietnam. V.League 1,14/1/2025,CF,95,56,24,1,0,6,2,0.56,11,9,1,1,0,0,4,2,36,13,14,7,2,12,2,2,2,0,0
FLC Thanh Hoa - Da Nang 1:0,Vietnam. V.League 1,20/11/2024,CF,99,54,26,0,0,3,1,0.25,17,13,1,0,0,0,8,2,33,11,10,5,2,10,2,4,2,0,0
