Match,Competition,Date,Position,Minutes played,Total actions,Total actions successful,Goals,Assists,Shots,Shots On Target,xG,Passes,Passes accurate,Long passes,Long passes accurate,Crosses,Crosses accurate,Dribbles,Dribbles successful,Duels,Duels won,Aerial duels,Aerial duels won,Interceptions,Losses,Losses own half,Recoveries,Recoveries opp. half,Yellow card,Red card
Al Faisaly - Al Kholood 1:1,Saudi Arabia. Division 1,12/3/2023,CF,35,23,9,1,0,1,1,0.76,3,3,0,0,0,0,2,1,15,5,7,1,0,4,3,1,0,33,0
Al Kholood - Al Shoalah 2:0,Saudi Arabia. Division 1,7/3/2023,"CF, RW",110,42,17,2,0,2,2,0.56,18,10,2,1,1,0,0,0,14,4,5,2,5,14,5,4,1,0,0
Al Sahel - Al Kholood 0:3,Saudi Arabia. Division 1,1/3/2023,CF,97,50,23,1,0,1,1,0.11,20,17,0,0,0,0,2,0,18,5,9,3,1,14,4,2,1,0,0
Al Kholood - Al Hazem 0:2,Saudi Arabia. Division 1,20/2/2023,"CF, RAMF",94,47,23,0,0,3,1,0.22,26,18,2,1,1,0,1,1,9,3,4,1,4,11,1,1,0,0,0
Al Arabi - Al Kholood 2:2,Saudi Arabia. Division 1,14/2/2023,"CF, RAMF",103,64,30,1,0,1,1,0.17,25,19,1,1,0,0,2,1,31,10,17,5,2,18,6,3,3,0,0
Al Kholood - Al Ahli 1:2,Saudi Arabia. Division 1,7/2/2023,CF,101,66,24,0,0,2,1,0.1,18,12,0,0,0,0,1,0,34,11,14,5,1,20,3,4,4,0,0
Al Riyadh - Al Kholood 1:1,Saudi Arabia. Division 1,31/1/2023,"CF, RAMF",108,66,31,0,0,0,0,0,28,19,4,3,0,0,1,0,30,12,11,5,1,18,2,5,2,0,0
Al Hazem - Al Ain 2:0,Saudi Arabia. Division 1,28/12/2022,CF,101,64,31,0,0,4,2,0.74,19,13,1,0,0,0,2,1,32,16,18,9,2,16,1,3,1,0,0
Al Hazem - Al Jabalain 2:2,Saudi Arabia. Division 1,15/11/2022,CF,99,47,19,0,0,4,3,0.75,13,10,1,0,0,0,2,2,23,6,7,2,2,9,0,4,4,50,0
Al Shoalah - Al Hazem 0:0,Saudi Arabia. Division 1,9/11/2022,CF,97,71,35,0,0,4,0,0.36,23,19,5,4,2,1,1,1,31,16,10,6,3,9,1,3,3,0,0
Al Hazem - Al Riyadh 2:1,Saudi Arabia. Division 1,31/10/2022,"CF, LW",89,43,17,0,0,1,1,0.56,10,5,2,0,0,0,1,0,22,11,7,5,2,16,4,1,0,81,0
Al Hazem - Al Akhdoud 1:0,Saudi Arabia. Division 1,25/10/2022,CF,106,35,15,0,0,2,0,0.1,8,8,0,0,0,0,0,0,18,7,12,5,3,8,2,1,0,0,0
Ohod - Al Hazem 2:1,Saudi Arabia. Division 1,19/10/2022,CF,26,12,5,0,0,0,0,0,7,4,1,0,0,0,0,0,3,1,1,0,1,4,0,1,1,0,0
Al Qaisoma - Al Hazem 1:1,Saudi Arabia. Division 1,12/9/2022,CF,31,16,3,0,0,1,0,0,3,3,1,1,0,0,1,0,7,0,2,0,2,5,2,0,0,0,0
Al Hazem - Najran 4:1,Saudi Arabia. Division 1,5/9/2022,CF,32,18,9,0,0,0,0,0,11,8,0,0,1,0,2,0,5,0,2,0,1,4,0,0,0,0,0
Mirassol - Criciúma 2:0,Brazil. Serie C,17/7/2021,CF,19,6,2,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0
Botafogo SP - Criciúma 3:1,Brazil. Serie C,13/7/2021,AMF,14,14,5,0,0,0,0,0,3,1,0,0,0,0,0,0,9,4,5,2,0,5,1,3,3,0,0
Criciúma - Paraná 2:0,Brazil. Serie C,4/7/2021,RW,31,20,7,0,0,0,0,0,6,2,1,0,2,0,2,1,11,5,4,2,1,9,4,3,2,0,0
Criciúma - Grêmio Novorizontino 1:0,Brazil. Serie C,27/6/2021,LAMF,16,13,4,0,0,1,0,0.33,2,1,1,0,0,0,0,0,7,3,1,1,1,1,0,0,0,95,0
Criciúma - Ypiranga Erechim 2:1,Brazil. Serie C,13/6/2021,CF,14,10,5,0,0,0,0,0,1,1,0,0,0,0,0,0,7,4,4,3,0,2,1,0,0,0,0
Criciúma - América Mineiro (P) 2:2,Brazil. Copa do Brasil,10/6/2021,CF,65,52,23,0,0,1,0,0.03,17,15,0,0,0,0,2,1,27,8,8,4,2,11,1,4,3,60,0
América Mineiro - Criciúma 0:0,Brazil. Copa do Brasil,3/6/2021,CF,82,52,25,0,0,0,0,0,13,10,0,0,0,0,1,1,32,15,16,8,0,15,4,4,1,0,0
Criciúma - Ituano 1:0,Brazil. Serie C,29/5/2021,CF,13,14,6,0,0,0,0,0,3,2,0,0,1,0,0,0,10,4,5,3,0,4,0,0,0,0,0
Criciúma - Avaí 0:1,Brazil. Catarinense 1,22/4/2021,CF,98,63,32,0,0,4,3,1.21,22,18,1,1,0,0,1,0,25,10,13,5,1,13,4,6,4,0,0
Concórdia - Criciúma 0:0,Brazil. Catarinense 1,18/4/2021,CF,83,66,36,0,0,2,0,0.4,22,17,1,1,1,0,5,2,34,15,6,3,1,5,1,3,2,0,0
Criciúma - Metropolitano 2:0,Brazil. Catarinense 1,13/4/2021,CF,87,49,22,1,0,2,1,0.8,10,8,2,1,0,0,1,1,29,13,11,7,0,11,1,1,1,71,0
Criciúma - Ponte Preta (P) 1:1,Brazil. Copa do Brasil,9/4/2021,CF,89,49,13,0,0,1,0,0.03,10,6,0,0,0,0,1,1,24,6,8,2,1,15,1,4,2,54,0
Marcílio Dias - Criciúma 1:1,Brazil. Catarinense 1,4/4/2021,CF,52,40,14,0,0,1,0,0.02,13,9,1,1,0,0,2,1,13,5,0,0,2,5,2,3,0,94,0
Criciúma - Prospera Criciuma 0:1,Brazil. Catarinense 1,1/4/2021,CF,49,36,13,0,0,2,1,0.12,8,5,1,1,1,0,2,2,23,8,4,0,0,3,0,2,2,0,0
Juventus Jaraguá - Criciúma 2:0,Brazil. Catarinense 1,27/2/2021,CF,81,77,26,0,0,1,0,0,17,10,4,2,1,0,4,0,49,16,26,10,2,30,5,6,5,0,0
Criciúma - Hercílio Luz 1:1,Brazil. Catarinense 1,25/2/2021,CF,88,72,28,0,0,3,0,0.18,29,22,0,0,1,0,2,1,20,6,7,2,6,11,2,6,4,0,0
Paysandu - Galvez 4:1,Brazil. Copa Verde,28/1/2021,CF,95,54,25,1,0,4,3,1.02,27,20,3,2,4,1,0,0,13,2,3,1,1,7,1,2,2,0,0
Paysandu - Remo 0:1,Brazil. Serie C,10/1/2021,RWB,52,47,26,0,0,2,0,0.28,28,21,1,1,6,3,4,2,10,3,1,1,4,7,0,2,2,0,0
Londrina - Paysandu 0:0,Brazil. Serie C,5/1/2021,"CF, RWF",38,23,12,0,0,0,0,0,10,6,0,0,0,0,0,0,10,6,6,2,0,6,0,2,1,0,0
Paysandu - Ypiranga Erechim 2:1,Brazil. Serie C,13/12/2020,RAMF,33,15,7,0,0,0,0,0,4,2,1,0,1,0,2,1,7,5,2,1,1,1,0,2,2,0,0
Paysandu - Ferroviário 3:0,Brazil. Serie C,22/11/2020,0,6,5,2,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
Imperatriz - Paysandu 0:3,Brazil. Serie C,17/11/2020,RWF,68,51,31,0,1,0,0,0,31,25,5,4,1,1,1,1,17,5,0,0,2,8,1,3,1,0,0
Jacuipense - Paysandu 0:1,Brazil. Serie C,9/11/2020,RAMF,97,65,32,1,0,4,3,1.22,29,18,3,0,1,1,1,1,20,8,8,3,5,15,3,4,2,0,0
Paysandu - Manaus 1:1,Brazil. Serie C,31/10/2020,"CF, RAMF",98,52,20,1,0,4,1,0.99,18,12,0,0,2,0,2,2,16,6,1,0,2,9,5,2,1,60,0
