Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Persebaya Surabaya - Semen Padang 1:1,Indonesia. Liga 1,2025-05-11,GK,101,1,1.73,4,3,2,2,9,7,11,11,11,0,11
Semen Padang - Madura United 2:1,Indonesia. Liga 1,2025-05-04,GK,99,1,1.12,2,1,1,2,4,2,12,12,6,3,3
Persija - Semen Padang 0:2,Indonesia. Liga 1,2025-04-27,GK,97,0,0.94,6,6,3,7,11,7,10,10,15,6,9
Semen Padang - PSIS Semarang 3:2,Indonesia. Liga 1,2025-04-17,GK,105,2,1.0,7,5,2,6,11,6,17,17,13,5,8
Semen Padang - Persib 1:4,Indonesia. Liga 1,2025-03-10,GK,103,4,1.78,5,1,1,7,7,3,26,26,7,6,1
Dewa United - Semen Padang 6:0,Indonesia. Liga 1,2025-03-05,GK,95,6,4.24,10,4,3,1,12,5,14,14,6,2,4
Semen Padang - PSBS Biak Numfor 1:1,Indonesia. Liga 1,2025-03-01,GK,102,1,0.44,4,3,3,1,10,7,4,4,14,3,11
Persis Solo - Semen Padang 1:1,Indonesia. Liga 1,2025-02-21,GK,98,1,1.46,7,6,4,4,13,6,3,3,13,0,13
Semen Padang - Persita 2:0,Indonesia. Liga 1,2025-02-14,GK,111,0,1.09,5,5,3,6,12,5,9,9,11,3,8
Barito Putera - Semen Padang 2:1,Indonesia. Liga 1,2025-02-08,GK,101,2,2.1,5,3,3,4,4,3,21,21,10,7,3
Semen Padang - Malut United FC 1:1,Indonesia. Liga 1,2025-02-02,GK,100,1,0.54,3,2,0,0,4,1,16,16,10,6,4
PSS Sleman - Semen Padang 2:4,Indonesia. Liga 1,2025-01-26,GK,106,2,2.86,11,9,6,0,7,6,13,13,11,5,6
Semen Padang - Bali United 1:5,Indonesia. Liga 1,2025-01-20,GK,103,5,3.36,9,4,2,0,13,8,7,7,10,1,9
