Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Semen Padang - Persija 0:1,Indonesia. Liga 1,2024-12-06,GK,98,1,0.19,2,1,1,1,6,5,10,10,12,5,7
PSIS Semarang - Semen Padang 1:0,Indonesia. Liga 1,2024-12-01,GK,96,1,0.93,5,4,3,2,3,3,13,13,7,4,3
Semen Padang - PSM 1:1,Indonesia. Liga 1,2024-11-21,GK,97,1,0.73,3,2,0,7,9,5,4,3,11,1,10
Persib - Semen Padang 1:1,Indonesia. Liga 1,2024-11-01,GK,101,1,1.95,6,5,2,2,13,11,3,3,19,3,16
Semen Padang - Barito Putera 1:2,Indonesia. Liga 1,2024-09-18,GK,104,2,0.7,2,0,0,2,2,1,10,10,5,2,3
Malut United FC - Semen Padang 2:1,Indonesia. Liga 1,2024-09-13,GK,96,2,1.43,5,3,2,1,4,2,5,5,6,4,2
Semen Padang - PSS Sleman 1:0,Indonesia. Liga 1,2024-08-26,GK,106,0,0.3,3,3,1,4,7,5,4,4,8,1,7
Bali United - Semen Padang 2:0,Indonesia. Liga 1,2024-08-18,GK,95,2,2.1,7,5,3,3,5,1,12,12,12,2,10
Persikabo 1973 - Barito Putera 3:4,Indonesia. Liga 1,2024-04-29,GK,49,0,0.02,1,1,0,0,1,0,5,5,2,1,1
Persis Solo - Persikabo 1973 2:1,Indonesia. Liga 1,2024-04-22,GK,98,2,1.74,5,3,3,3,4,2,16,15,12,11,1
PSS Sleman - Persikabo 1973 2:2,Indonesia. Liga 1,2024-02-04,GK,96,2,1.81,3,1,1,1,4,2,3,3,12,2,9
Borneo FC - Persikabo 1973 3:2,Indonesia. Liga 1,2023-08-13,GK,98,3,2.18,8,5,3,0,5,2,11,11,13,9,4
Persikabo 1973 - PSM 0:1,Indonesia. Liga 1,2023-07-14,GK,98,1,1.31,5,4,2,0,1,0,10,10,8,5,3
Persebaya Surabaya - Persikabo 1973 3:2,Indonesia. Liga 1,2023-03-25,GK,73,2,2.22,6,4,2,2,4,4,2,2,6,3,3
Persikabo 1973 - Madura United 0:2,Indonesia. Liga 1,2023-02-11,GK,97,2,1.27,3,1,0,0,3,1,9,9,8,5,3
Persikabo 1973 - Persib 1:1,Indonesia. Liga 1,2022-12-24,GK,100,1,1.74,7,6,3,5,12,7,6,6,8,1,7
Persikabo 1973 - Persik Kediri 0:0,Indonesia. Liga 1,2022-12-21,GK,95,0,0.56,2,2,1,1,4,3,13,13,7,4,3
