Match,Competition,Date,Position,Minutes played,Conceded goals,xCG,Shots against,Saves,Saves with reflexes,Exits,Long passes,Long passes accurate,Short passes,Short passes accurate,Goal kicks,Short goal kicks,Long goal kicks
Semen Padang - Arema 1:2,Indonesia. Liga 1,2024-12-27,GK,104,2,1.82,4,2,1,0,2,2,10,10,4,2,2
Persik Kediri - Semen Padang 3:1,Indonesia. Liga 1,2024-12-21,GK,101,3,2.15,7,4,2,4,4,3,1,1,21,4,17
Semen Padang - Persebaya Surabaya 0:0,Indonesia. Liga 1,2024-12-15,GK,97,0,0.6,4,4,2,4,2,1,11,10,11,3,8
Madura United - Semen Padang 0:1,Indonesia. Liga 1,2024-12-10,GK,99,0,0.02,2,2,0,1,4,3,8,8,10,2,8
Semen Padang - Dewa United 1:8,Indonesia. Liga 1,2024-10-25,GK,101,8,5.34,9,1,1,4,1,1,13,11,4,1,3
PSBS Biak Numfor - Semen Padang 3:2,Indonesia. Liga 1,2024-10-18,GK,103,3,2.55,6,3,3,1,2,1,2,2,9,3,6
Semen Padang - Persis Solo 0:0,Indonesia. Liga 1,2024-09-29,GK,98,0,0.87,5,5,2,3,5,4,4,4,16,5,11
Persita - Semen Padang 1:0,Indonesia. Liga 1,2024-09-22,GK,99,1,1.05,6,5,1,5,2,1,11,11,6,3,3
Semen Padang - Borneo FC 1:3,Indonesia. Liga 1,2024-08-12,GK,99,3,1.76,3,0,0,2,8,3,7,5,6,2,4
Madura United - Arema 0:0,Indonesia. Liga 1,2024-04-30,GK,96,0,0.08,1,1,1,3,8,6,10,10,10,6,4
Arema - PSM 3:2,Indonesia. Liga 1,2024-04-25,GK,100,2,2.0,5,3,3,1,4,3,5,5,9,2,7
Borneo FC - Arema 1:2,Indonesia. Liga 1,2024-04-21,GK,98,1,1.96,7,6,2,2,14,8,6,6,9,2,7
Arema - Persebaya Surabaya 0:1,Indonesia. Liga 1,2024-03-27,GK,62,1,1.46,3,2,1,1,2,1,5,5,5,2,3
Arema - Bali United 1:3,Indonesia. Liga 1,2023-07-21,GK,96,3,2.66,6,3,2,2,3,2,12,11,7,2,5
Arema - Persib 3:3,Indonesia. Liga 1,2023-07-07,GK,99,3,2.87,4,1,1,1,6,4,7,7,17,7,10
Dewa United - Arema 1:0,Indonesia. Liga 1,2023-07-02,GK,98,1,2.2,7,6,4,2,7,4,10,10,8,7,1
Persebaya Surabaya - Arema 1:0,Indonesia. Liga 1,2023-04-11,GK,100,1,1.5,4,3,2,4,12,9,9,9,8,6,2
Madura United - Arema 1:1,Indonesia. Liga 1,2023-04-07,GK,28,0,0.15,1,1,0,2,4,4,1,1,3,0,3
Persib - Arema 1:0,Indonesia. Liga 1,2023-02-23,GK,98,1,0.24,2,1,1,4,10,7,5,5,8,1,7
Arema - Barito Putera 1:0,Indonesia. Liga 1,2023-02-18,GK,95,0,0.17,3,3,2,3,7,6,13,13,11,4,7
Persija - Arema 2:0,Indonesia. Liga 1,2023-02-12,GK,97,2,2.8,6,4,2,3,9,7,6,5,10,5,5
Rans Nusantara - Arema 1:2,Indonesia. Liga 1,2023-02-08,GK,98,1,1.24,6,5,2,4,8,6,10,10,4,3,1
Persik Kediri - Arema 0:1,Indonesia. Liga 1,2022-09-17,GK,22,0,0.0,0,0,0,1,3,2,0,0,7,2,5
Arema - Persib 1:2,Indonesia. Liga 1,2022-09-11,GK,96,2,1.43,4,2,0,3,6,3,10,9,4,3,1
PSM - Arema 1:0,Indonesia. Liga 1,2022-08-20,GK,98,1,0.9,3,2,1,1,1,0,7,7,9,5,4
Persik Kediri - Arema 0:1,Indonesia. Piala Presiden,2022-06-15,GK,102,0,0.0,0,0,0,1,3,3,7,7,5,4,1
Arema - Persiraja Banda Aceh 1:1,Indonesia. Liga 1,2022-02-10,GK,96,1,0.48,4,3,0,1,3,3,8,8,8,6,2
Arema - Persija 1:1,Indonesia. Liga 1,2022-02-05,GK,99,1,1.66,5,4,2,3,4,3,2,2,4,0,4
Persela - Arema 0:1,Indonesia. Liga 1,2022-02-01,GK,62,0,0.0,0,0,0,0,4,3,4,4,5,4,1
PSIS Semarang - Arema 0:0,Indonesia. Liga 1,2022-01-17,GK,97,0,1.59,6,6,2,1,3,1,10,10,11,6,5
Arema - PSS Sleman 2:0,Indonesia. Liga 1,2022-01-13,GK,95,0,0.49,2,2,1,2,12,9,2,1,12,1,11
PSIS Semarang - Arema 2:0,Indonesia. Liga 1,2020-03-14,GK,93,2,1.69,5,3,1,3,3,2,8,8,7,1,6
Arema - Persib 1:2,Indonesia. Liga 1,2020-03-08,GK,98,2,1.63,4,2,1,1,5,2,0,0,9,3,6
PS TIRA - Arema 0:2,Indonesia. Liga 1,2020-03-02,GK,97,0,0.57,5,5,3,4,7,5,5,5,6,0,6
PS TIRA - Persepar Kalteng Putra 5:2,Indonesia. Liga 1,2019-07-26,GK,98,2,1.87,4,2,2,4,5,4,12,12,13,6,7
PS TIRA - Persija 5:3,Indonesia. Liga 1,2019-07-16,0,1,0,0.0,0,0,0,0,0,0,0,0,1,0,1
