Player,Team,Position,Age,Matches played,Minutes played,Conceded goals,Conceded goals per 90,xG against,xG against per 90,Prevented goals,Prevented goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",Exits per 90,Aerial duels per 90
S. Stevens,Dewa United,GK,32,32,3213,31,0.87,38.81,1.09,7.81,0.219,152,4.26,13,79.61,0.95,0.22
N. Argawinata,Borneo FC,GK,28,28,2710,27,0.9,30.86,1.02,3.86,0.128,100,3.32,10,73.0,1.49,0.56
M. Riyandi,Persis Solo,GK,25,25,2538,32,1.13,35.34,1.25,3.34,0.118,104,3.69,6,69.23,1.91,0.46
Alan,PSS Sleman,GK,30,31,3108,45,1.35,47.84,1.43,2.84,0.085,171,5.12,5,73.68,1.35,0.33
Adilson Maringá,Bali United,GK,34,26,2643,31,1.06,33.65,1.15,2.65,0.09,108,3.68,6,71.3,1.6,0.31
E. Ari,Persebaya Surabaya,GK,23,23,2305,23,0.9,25.47,0.99,2.47,0.096,98,3.83,7,76.53,2.34,0.55
M. Fahri,Malut United FC,GK,24,13,1304,16,1.1,17.96,1.24,1.96,0.135,60,4.14,4,73.33,2.55,1.24
T. Paku Alam,Persib,GK,31,7,722,9,1.12,10.78,1.34,1.78,0.222,38,4.74,1,76.32,2.37,0.75
K. Ajie,Persita,GK,28,5,511,9,1.59,10.68,1.88,1.68,0.296,32,5.64,0,71.88,1.06,0.53
Carlos Eduardo,Persija,GK,33,15,1422,15,1.02,16.38,1.12,1.38,0.094,75,5.11,5,80.0,1.16,0.2
Igor Rodrigues,Persita,GK,30,27,2732,32,1.05,33.33,1.1,1.33,0.044,134,4.41,8,76.12,1.98,0.33
A. Ardhiyasa,Persija,GK,33,19,1754,20,1.03,21.0,1.08,1.0,0.051,72,3.69,5,72.22,1.03,0.36
M. Saputra,Madura United,GK,29,11,1056,10,0.85,10.79,0.92,0.79,0.067,39,3.32,3,74.36,2.05,0.6
S. Fadil,PSIS Semarang,GK,29,15,1517,21,1.25,21.64,1.28,0.64,0.038,86,5.1,3,75.58,1.6,0.59
Husna Al Malik,Persik Kediri,GK,21,5,508,5,0.89,5.14,0.91,0.14,0.025,19,3.37,1,73.68,1.95,0.71
A. Ramadhani,Persebaya Surabaya,GK,26,11,919,10,0.98,10.12,0.99,0.12,0.012,41,4.02,3,75.61,0.88,0.29
R. Redondo,Malut United FC,GK,28,5,495,4,0.73,4.08,0.74,0.08,0.015,19,3.45,1,78.95,1.82,0.36
K. Mendoza,Persib,GK,30,26,2622,19,0.65,19.03,0.65,0.03,0.001,82,2.81,10,76.83,1.82,0.65
G. Pandeynuwu,Persis Solo,GK,27,7,707,10,1.27,9.48,1.21,-0.52,-0.066,29,3.69,2,65.52,1.53,0.38
R. Arya,PSM,GK,24,16,1617,22,1.22,21.45,1.19,-0.55,-0.031,70,3.9,2,68.57,1.89,0.56
D. Indrayana,Semen Padang,GK,27,8,793,10,1.13,8.34,0.95,-1.66,-0.188,33,3.75,1,69.7,2.5,0.57
H. Syah,PSM,GK,27,12,1156,7,0.54,4.93,0.38,-2.07,-0.161,30,2.34,4,76.67,0.86,0.23
A. Saputro,Borneo FC,GK,31,5,449,6,1.2,3.81,0.76,-2.19,-0.439,20,4.01,1,70.0,1.4,0.6
B. Norhalid,Barito Putera,GK,27,8,805,10,1.12,7.48,0.84,-2.52,-0.282,31,3.47,1,67.74,1.57,0.22
Léo Navacchio,Persik Kediri,GK,32,26,2637,33,1.13,30.15,1.03,-2.85,-0.097,123,4.2,10,73.17,1.33,0.38
A. Satryo,PSIS Semarang,GK,23,17,1558,23,1.42,19.99,1.23,-3.01,-0.186,65,4.02,5,64.62,3.21,0.99
Arthur Augusto,Semen Padang,GK,25,14,1421,27,1.71,23.75,1.5,-3.25,-0.206,81,5.13,2,66.67,3.04,0.95
T. Amiruddin,Semen Padang,GK,31,9,901,20,2.0,16.16,1.61,-3.84,-0.384,46,4.59,3,56.52,2.4,0.4
J. Pigai,PSBS Biak Numfor,GK,25,29,2860,34,1.07,29.87,0.94,-4.13,-0.13,109,3.43,8,68.81,1.45,0.38
A. Harlan,Madura United,GK,37,7,654,14,1.93,9.61,1.32,-4.39,-0.604,31,4.27,1,54.84,2.34,1.1
Lucas Frigeri,Arema,GK,35,30,3036,44,1.3,37.15,1.1,-6.85,-0.203,126,3.74,5,65.08,1.69,0.39
S. Tama,Barito Putera,GK,28,23,2299,38,1.49,29.88,1.17,-8.12,-0.318,103,4.03,4,63.11,1.45,0.35
Dida,Malut United FC,GK,27,26,2605,43,1.49,31.28,1.08,-11.72,-0.405,106,3.66,3,59.43,1.21,0.45
